Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
314,Thiago Maia,BRA,MF,Lille,22,1997,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
315,Habib Maïga,CIV,MF,Metz,23,1996,25.2,47,1.87,41,0,1,3,0,2,10,0.40,8,0,0,1,0,1
316,Mike Maignan,FRA,GK,Lille,24,1995,28.0,5,0.18,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
317,Josh Maja,NGA,FW,Bordeaux,20,1998,8.2,25,3.06,16,0,3,1,3,2,4,0.49,2,0,1,1,0,0
318,Abdul Majeed Waris,GHA,FW,Strasbourg,27,1991,4.1,8,1.94,7,0,1,0,0,0,2,0.49,2,0,0,0,0,0
319,Jean-Victor Makengo,FRA,MF,Toulouse,21,1998,11.0,21,1.91,19,1,1,0,0,0,0,0.00,0,0,0,0,0,0
320,Hianga Mananga Mbock,FRA,MF,Brest,19,1999,1.6,3,1.91,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
321,Vincent Manceau,FRA,DF,Angers,30,1989,22.0,33,1.50,28,4,1,0,0,0,2,0.09,2,0,0,0,0,0
322,Steve Mandanda,FRA,GK,Marseille,34,1985,26.3,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
323,Reinildo Mandava,MOZ,DF|MF,Lille,25,1994,12.3,17,1.38,13,0,0,0,3,1,0,0.00,0,0,0,0,0,0
324,Thomas Mangani,FRA,MF,Angers,32,1987,20.8,84,4.04,53,26,2,3,0,0,3,0.14,2,1,0,0,0,0
325,Myziane Maolida,COM,FW|MF,Nice,20,1999,7.5,33,4.40,25,0,3,2,3,0,2,0.27,2,0,0,0,0,0
326,Faitout Maouassa,FRA,DF,Rennes,21,1998,20.0,35,1.75,25,0,6,0,4,0,3,0.15,2,0,1,0,0,0
327,Fernando Marçal,BRA,DF,Lyon,30,1989,9.2,20,2.17,17,1,0,2,0,0,2,0.22,1,0,0,1,0,0
328,Marcelo,BRA,DF,Lyon,32,1987,16.7,12,0.72,11,1,0,0,0,0,1,0.06,1,0,0,0,0,0
329,Dario Maresic,AUT,DF,Reims,19,1999,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
330,Jordan Marié,FRA,MF|FW,Dijon,27,1991,2.2,4,1.79,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
331,Guillermo Maripán,CHI,DF,Monaco,25,1994,19.5,11,0.56,9,0,0,1,0,1,1,0.05,1,0,0,0,0,0
332,Marquinhos,BRA,MF|DF,Paris S-G,25,1994,16.4,24,1.46,21,1,0,2,0,0,3,0.18,2,0,0,1,0,0
333,Jonas Martin,FRA,MF,Rennes,29,1990,1.3,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
334,Jonas Martin,FRA,MF,Strasbourg,29,1990,2.7,7,2.55,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
335,Pablo Martinez,FRA,DF,Nîmes,30,1989,26.0,20,0.77,17,0,0,1,1,1,4,0.15,3,0,0,0,1,0
336,Gelson Martins,POR,DF|FW,Monaco,24,1995,18.6,65,3.49,48,0,11,3,2,1,6,0.32,4,0,0,2,0,0
337,Stephy Mavididi,ENG,FW|MF,Dijon,21,1998,15.5,27,1.75,18,0,7,0,2,0,1,0.06,0,0,1,0,0,0
338,Eric Maxim Choupo-Moting,CMR,FW|MF,Paris S-G,30,1989,5.0,14,2.79,8,0,1,1,4,0,4,0.80,2,0,1,1,0,0
339,Kévin Mayi,GAB,FW|MF,Brest,26,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
340,Kylian Mbappé,FRA,FW,Paris S-G,20,1998,16.8,94,5.59,59,2,19,7,7,0,12,0.71,9,0,2,0,1,0
341,Loïc Mbe Soh,FRA,DF,Paris S-G,18,2001,0.6,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
342,Isaac Mbenza,BEL,FW,Amiens,23,1996,0.9,5,5.36,2,1,1,1,0,0,0,0.00,0,0,0,0,0,0
343,Nathanael Mbuku,FRA,FW|MF,Reims,17,2002,4.4,10,2.28,5,1,2,1,1,0,1,0.23,1,0,0,0,0,0
344,Farid El Melali,ALG,MF|FW,Angers,22,1997,3.4,10,2.94,6,0,2,1,1,0,1,0.29,1,0,0,0,0,0
345,Memphis,NED,FW|MF,Lyon,25,1994,11.3,55,4.86,22,13,10,3,6,1,5,0.44,2,0,2,0,1,0
346,Pedro Mendes,POR,DF,Montpellier,28,1990,15.3,6,0.39,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0
347,Thiago Mendes,BRA,MF,Lyon,27,1992,20.1,44,2.19,38,3,0,3,0,0,9,0.45,9,0,0,0,0,0
348,Stiven Mendoza,COL,FW|MF,Amiens,27,1992,12.2,30,2.45,18,2,5,1,3,1,4,0.33,3,0,1,0,0,0
349,Alexandre Mendy,GNB,FW,Brest,25,1994,10.0,16,1.60,9,0,3,3,1,0,3,0.30,2,0,0,1,0,0
350,Edouard Mendy,SEN,GK,Rennes,27,1992,24.0,3,0.12,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
351,Hamza Mendyl,MAR,DF,Dijon,21,1997,16.0,32,2.00,26,3,2,1,0,0,2,0.12,1,0,0,1,0,0
352,Thomas Meunier,BEL,DF,Paris S-G,27,1991,13.8,29,2.10,27,1,1,0,0,0,2,0.14,2,0,0,0,0,0
353,Mexer,MOZ,DF,Bordeaux,30,1988,16.5,13,0.79,12,1,0,0,0,0,2,0.12,2,0,0,0,0,0
354,Florian Miguel,FRA,DF,Nîmes,22,1996,22.8,40,1.75,21,13,1,0,4,1,2,0.09,0,0,1,0,1,0
355,Georges Mikautadze,GEO,FW,Metz,18,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
356,Stefan Mitrović,SRB,DF,Strasbourg,29,1990,22.8,7,0.31,5,0,0,2,0,0,1,0.04,1,0,0,0,0,0
357,Florent Mollet,FRA,MF|FW,Montpellier,27,1991,18.7,75,4.01,41,28,1,3,1,1,10,0.53,5,3,0,1,0,1
358,Thomas Monconduit,FRA,MF,Amiens,28,1991,15.2,23,1.52,12,6,2,1,2,0,0,0.00,0,0,0,0,0,0
359,Steven Moreira,CPV,DF,Toulouse,24,1994,15.4,30,1.94,22,2,0,2,2,2,3,0.19,1,0,0,1,1,0
360,Jérémy Morel,MAD,DF,Rennes,35,1984,20.1,22,1.10,18,2,0,2,0,0,0,0.00,0,0,0,0,0,0
361,Lebo Mothiba,RSA,FW,Strasbourg,23,1996,11.6,26,2.23,21,0,2,3,0,0,3,0.26,3,0,0,0,0,0
