Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
326,Hugo Novoa,ESP,DF|FW,RB Leipzig,19,2003,2.0,1,3,2,66.7,1.47,0.98,0.33,0.50,13.2,0,0,0,0.9,0.9,0.29,+0.1,+0.1
327,Ørjan Nyland,NOR,GK,RB Leipzig,31,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
328,Tim Oermann,GER,DF,Bochum,18,2003,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
329,Finn Ole Becker,GER,MF,Hoffenheim,22,2000,5.7,0,6,2,33.3,1.05,0.35,0.00,0.00,24.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
330,Mathias Olesen,LUX,MF,Köln,21,2001,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
331,Dani Olmo,ESP,MF|FW,RB Leipzig,24,1998,14.2,2,43,16,37.2,3.02,1.12,0.05,0.13,21.6,0,0,0,2.9,2.9,0.07,-0.9,-0.9
332,Jan Olschowsky,GER,GK,M'Gladbach,20,2001,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
333,Jonas Omlin,SUI,GK,M'Gladbach,28,1994,14.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
334,Karim Onisiwo,AUT,FW|MF,Mainz 05,30,1992,28.2,10,68,32,47.1,2.41,1.13,0.15,0.31,15.6,0,0,0,8.2,8.2,0.12,+1.8,+1.8
335,Willi Orban,HUN,DF,RB Leipzig,29,1992,32.8,4,27,10,37.0,0.82,0.30,0.15,0.40,11.5,1,0,0,3.0,3.0,0.11,+1.0,+1.0
336,Ivan Ordets,UKR,DF,Bochum,30,1992,27.2,0,17,1,5.9,0.62,0.04,0.00,0.00,11.7,0,0,0,1.4,1.4,0.08,-1.4,-1.4
337,Jordi Osei-Tutu,ENG,DF|FW,Bochum,23,1998,8.3,0,12,5,41.7,1.44,0.60,0.00,0.00,19.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7
338,Patrick Osterhage,GER,MF,Bochum,22,2000,11.4,0,6,0,0.0,0.52,0.00,0.00,,21.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
339,Paulo Otávio,BRA,DF,Wolfsburg,27,1994,22.7,0,19,1,5.3,0.84,0.04,0.00,0.00,23.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8
340,Thomas Ouwejan,NED,DF,Schalke 04,25,1996,10.0,0,5,1,20.0,0.50,0.10,0.00,0.00,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
341,Reece Oxford,ENG,DF,Augsburg,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
342,Salih Özcan,TUR,MF,Dortmund,24,1998,17.5,0,3,1,33.3,0.17,0.06,0.00,0.00,9.3,0,0,0,0.6,0.6,0.19,-0.6,-0.6
343,Levin Öztunalı,GER,MF,Union Berlin,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
344,Exequiel Palacios,ARG,MF,Leverkusen,23,1998,18.4,4,17,4,23.5,0.93,0.22,0.06,0.25,26.3,0,3,3,3.0,0.6,0.04,+1.0,+0.4
345,Miloš Pantović,SRB,MF,Union Berlin,26,1996,2.3,1,5,2,40.0,2.18,0.87,0.20,0.50,18.4,0,0,1,1.4,0.6,0.11,-0.4,+0.4
346,Antonios Papadopoulos,GER,DF,Dortmund,22,1999,0.1,0,1,0,0.0,6.92,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.01,0.0,0.0
347,Kevin Paredes,USA,FW|MF,Wolfsburg,19,2003,5.9,1,4,2,50.0,0.68,0.34,0.25,0.50,21.4,0,0,0,0.2,0.2,0.04,+0.8,+0.8
348,Marco Pašalić,CRO,MF,Dortmund,21,2000,0.1,0,1,0,0.0,8.18,0.00,0.00,,22.7,0,0,0,0.0,0.0,0.05,0.0,0.0
349,Felix Passlack,GER,DF,Dortmund,24,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
350,Paulinho,BRA,FW,Leverkusen,22,2000,0.9,1,2,1,50.0,2.20,1.10,0.50,1.00,16.1,0,0,0,0.5,0.5,0.26,+0.5,+0.5
351,Benjamin Pavard,FRA,DF,Bayern Munich,26,1996,27.0,4,34,12,35.3,1.26,0.44,0.12,0.33,18.3,0,0,0,2.5,2.5,0.07,+1.5,+1.5
352,Jiří Pavlenka,CZE,GK,Werder Bremen,30,1992,32.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
353,Kristian Pedersen,DEN,DF,Köln,27,1994,3.1,0,1,0,0.0,0.33,0.00,0.00,,4.2,0,0,0,0.1,0.1,0.10,-0.1,-0.1
354,Mads Pedersen,DEN,DF|MF,Augsburg,25,1996,20.4,0,9,0,0.0,0.44,0.00,0.00,,23.3,1,0,0,0.4,0.4,0.04,-0.4,-0.4
355,Jordan Pefok,USA,FW,Union Berlin,26,1996,15.1,4,32,6,18.8,2.12,0.40,0.13,0.67,12.2,0,0,2,4.5,2.9,0.09,-0.5,+1.1
356,Dženan Pejčinović,GER,FW,Wolfsburg,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
357,Peter Pekarík,SVK,DF,Hertha BSC,35,1986,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
358,Luca Pellegrini,ITA,DF,Eint Frankfurt,23,1999,6.2,0,14,2,14.3,2.26,0.32,0.00,0.00,27.7,3,0,0,0.6,0.6,0.04,-0.6,-0.6
359,Ricardo Pepi,USA,FW,Augsburg,19,2003,1.1,0,1,0,0.0,0.95,0.00,0.00,,14.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1
360,Juan Perea,COL,FW,Stuttgart,22,2000,4.6,1,2,1,50.0,0.43,0.22,0.50,1.00,10.6,0,0,0,0.2,0.2,0.09,+0.8,+0.8
361,Nils Petersen,GER,FW,Freiburg,33,1988,3.1,1,9,2,22.2,2.92,0.65,0.11,0.50,17.7,0,0,0,1.2,1.2,0.13,-0.2,-0.2
362,Lukas Petkov,BUL,MF|FW,Augsburg,21,2000,1.6,0,2,0,0.0,1.23,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0
363,Luca Pfeiffer,GER,FW,Stuttgart,25,1996,7.8,0,12,1,8.3,1.54,0.13,0.00,0.00,13.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6
364,Maximilian Philipp,GER,FW,Wolfsburg,28,1994,1.3,0,1,1,100.0,0.78,0.78,0.00,0.00,18.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
365,Maximilian Philipp,GER,FW|MF,Werder Bremen,28,1994,4.9,1,11,3,27.3,2.24,0.61,0.09,0.33,16.0,0,0,0,2.0,2.0,0.18,-1.0,-1.0
366,Amos Pieper,GER,DF,Werder Bremen,24,1998,21.7,2,11,4,36.4,0.51,0.18,0.18,0.50,13.0,0,0,0,0.7,0.7,0.07,+1.3,+1.3
367,Marvin Plattenhardt,GER,DF,Hertha BSC,30,1992,26.7,0,8,1,12.5,0.30,0.04,0.00,0.00,27.3,4,0,0,0.3,0.3,0.04,-0.3,-0.3
368,Alassane Pléa,FRA,FW,M'Gladbach,29,1993,19.7,2,27,11,40.7,1.37,0.56,0.04,0.09,18.6,1,1,2,5.0,3.4,0.13,-3.0,-2.4
369,Joel Pohjanpalo,FIN,FW|MF,Leverkusen,27,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
370,Sebastian Polter,GER,FW,Schalke 04,31,1991,7.0,2,12,7,58.3,1.71,1.00,0.17,0.29,9.8,0,0,0,2.0,2.0,0.17,0.0,0.0
371,Stefan Posch,AUT,DF,Hoffenheim,25,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
372,Yussuf Poulsen,DEN,FW,RB Leipzig,28,1994,4.6,2,13,6,46.2,2.85,1.31,0.15,0.33,13.4,0,0,0,1.3,1.3,0.10,+0.7,+0.7
373,Grischa Prömel,GER,MF,Hoffenheim,27,1995,16.2,1,24,5,20.8,1.49,0.31,0.04,0.20,16.2,0,0,0,2.5,2.5,0.11,-1.5,-1.5
374,Tymoteusz Puchacz,POL,DF,Union Berlin,23,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
375,Eduardo Quaresma,POR,DF,Hoffenheim,20,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
376,Joshua Quarshie,GER,MF,Hoffenheim,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
377,Diant Ramaj,GER,GK,Eint Frankfurt,20,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
378,Nicolai Rapp,GER,MF|DF,Werder Bremen,25,1996,0.8,0,1,0,0.0,1.27,0.00,0.00,,12.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
379,David Raum,GER,DF|MF,RB Leipzig,24,1998,18.7,0,14,5,35.7,0.75,0.27,0.00,0.00,23.1,0,0,0,0.6,0.6,0.04,-0.6,-0.6
380,Rocco Reitz,GER,MF,M'Gladbach,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
381,Marco Reus,GER,MF|FW,Dortmund,33,1989,15.0,6,36,10,27.8,2.39,0.67,0.14,0.50,16.6,6,1,1,5.1,4.3,0.12,+0.9,+0.7
382,Elvis Rexhbeçaj,GER,MF,Augsburg,24,1997,28.0,0,16,5,31.3,0.57,0.18,0.00,0.00,27.0,0,0,0,0.3,0.3,0.02,-0.3,-0.3
383,Gio Reyna,USA,FW|MF,Dortmund,19,2002,6.9,7,24,11,45.8,3.46,1.58,0.25,0.55,15.1,1,1,1,4.3,3.5,0.16,+2.7,+2.5
384,Marco Richter,GER,MF|FW,Hertha BSC,24,1997,20.4,6,49,15,30.6,2.40,0.74,0.12,0.40,22.3,4,0,0,3.7,3.7,0.08,+2.3,+2.3
385,Manuel Riemann,GER,GK,Bochum,33,1988,34.0,0,1,0,0.0,0.03,0.00,0.00,,11.5,0,0,0,0.0,0.0,0.04,0.0,0.0
386,Sebastian Rode,GER,MF,Eint Frankfurt,31,1990,15.7,4,9,4,44.4,0.57,0.25,0.44,1.00,18.7,0,0,0,0.9,0.9,0.10,+3.1,+3.1
387,Agustín Rogel,URU,DF,Hertha BSC,24,1997,15.8,0,5,0,0.0,0.32,0.00,0.00,,7.6,0,0,0,0.8,0.8,0.16,-0.8,-0.8
388,Merlin Röhl,GER,MF|FW,Freiburg,20,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
389,Tony Rölke,GER,FW,Hertha BSC,19,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
390,Tom Rothe,GER,DF,Dortmund,17,2004,0.3,0,1,0,0.0,3.46,0.00,0.00,,7.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
391,Jérôme Roussillon,FRA,MF|DF,Wolfsburg,29,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
392,Jérôme Roussillon,FRA,DF,Union Berlin,29,1993,10.6,0,9,2,22.2,0.85,0.19,0.00,0.00,22.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
393,Sebastian Rudy,GER,MF,Hoffenheim,32,1990,8.8,0,5,2,40.0,0.57,0.23,0.00,0.00,29.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2
394,Georginio Rutter,FRA,FW,Hoffenheim,20,2002,11.2,2,27,14,51.9,2.41,1.25,0.07,0.14,15.7,0,0,0,3.0,3.0,0.11,-1.0,-1.0
395,Julian Ryerson,NOR,DF,Union Berlin,24,1997,11.5,0,16,5,31.3,1.39,0.43,0.00,0.00,24.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7
396,Julian Ryerson,NOR,DF,Dortmund,24,1997,15.7,1,10,3,30.0,0.64,0.19,0.10,0.33,22.4,0,0,0,0.5,0.5,0.05,+0.5,+0.5
397,Frederik Rønnow,DEN,GK,Union Berlin,29,1992,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
398,Marcel Sabitzer,AUT,MF,Bayern Munich,28,1994,7.0,1,15,5,33.3,2.15,0.72,0.07,0.20,21.7,0,0,0,1.1,1.1,0.07,-0.1,-0.1
399,Dikeni Salifou,TOG,MF,Werder Bremen,19,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
400,Roland Sallai,HUN,MF|FW,Freiburg,25,1997,11.1,1,32,11,34.4,2.87,0.99,0.03,0.09,17.4,0,0,0,2.6,2.6,0.08,-1.6,-1.6
401,Diadie Samassékou,MLI,MF|FW,Hoffenheim,26,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
