Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
693,Matìas Soulé,ARG,FW,Juventus,18,2003,2,5,3,0.1,0.1,0,,0,2,3,7,2.00,0,0,0,0.00,-0.53,0.9,0.0,+0.9,+15.66,+15.33
694,Adama Soumaoro,FRA,DF,Bologna,29,1992,28,2266,81,66.3,25.2,26,86,23,2,19,5,1.25,27,26,+1,+0.04,+0.98,30.3,32.2,-1.9,-0.07,+0.38
695,Jonathan Spedalieri,ITA,DF,Napoli,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
696,Leonardo Spinazzola,ITA,DF,Roma,28,1993,3,127,42,3.7,1.4,2,63,0,1,1,4,1.33,3,1,+2,+1.42,+1.03,2.9,0.9,+2.0,+1.44,+0.76
697,Marco Sportiello,ITA,GK,Atalanta,29,1992,5,450,90,13.2,5.0,5,90,5,0,,31,0.50,3,6,-3,-0.60,-1.21,8.4,4.8,+3.7,+0.73,+0.32
698,Luca Stanga,ITA,DF,Milan,19,2002,1,3,3,0.1,0.0,0,,0,1,3,3,3.00,0,0,0,0.00,-1.00,0.0,0.0,0.0,+0.45,-0.18
699,Riccardo Stivanello,ITA,DF,Bologna,17,2004,1,45,45,1.3,0.5,0,,0,1,45,4,3.00,1,0,+1,+2.00,+2.32,0.5,0.5,0.0,-0.10,+0.11
700,Petar Stojanović,SVN,DF,Empoli,25,1995,33,2735,83,80.0,30.4,32,85,23,1,28,1,1.18,39,48,-9,-0.30,+1.15,36.6,50.8,-14.2,-0.47,+0.45
701,Denis Stojković,SRB,FW,Torino,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
702,Thomas Strakosha,ALB,GK,Lazio,26,1995,23,2070,90,60.5,23.0,23,90,23,0,,15,1.83,48,29,+19,+0.83,+0.83,36.0,26.7,+9.3,+0.40,+0.52
703,Diego Stramaccioni,ITA,DF,Juventus,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
704,Stefan Strandberg,NOR,DF,Salernitana,31,1990,11,933,85,27.3,10.4,11,85,10,0,,0,0.64,8,19,-11,-1.06,+0.17,10.4,16.4,-6.0,-0.58,+0.24
705,Dávid Strelec,SVK,FW|MF,Spezia,20,2001,10,502,50,14.7,5.6,7,62,1,3,22,15,0.40,4,8,-4,-0.72,+0.08,4.7,8.7,-3.9,-0.70,-0.07
706,Kevin Strootman,NED,MF,Cagliari,31,1990,10,640,64,18.7,7.1,7,77,2,3,33,6,0.70,9,14,-5,-0.70,+0.24,7.9,10.0,-2.1,-0.30,+0.34
707,Jens Stryger Larsen,DEN,DF,Udinese,30,1991,11,684,62,20.0,7.6,8,76,2,3,25,0,1.00,7,12,-5,-0.66,-0.92,6.6,11.9,-5.3,-0.70,-0.84
708,Leo Štulac,SVN,MF,Empoli,26,1994,23,833,36,24.4,9.3,8,67,1,15,20,14,1.39,14,21,-7,-0.76,-0.30,9.5,22.1,-12.6,-1.37,-1.07
709,Stefano Sturaro,ITA,MF,Genoa,28,1993,25,1766,71,51.6,19.6,24,72,8,1,45,0,0.81,8,25,-17,-0.87,0.00,15.7,26.8,-11.1,-0.57,-0.25
