Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
612,Mattia Zaccagni,ITA,MF,Hellas Verona,26,1995,2.0,14,7.00,4,6,1,0,2,1,2,1.00,0,0,1,0,1,0
613,Mattia Zaccagni,ITA,FW,Lazio,26,1995,20.8,62,2.97,46,1,3,4,7,1,13,0.62,7,0,1,1,4,0
614,Denis Zakaria,SUI,MF,Juventus,24,1996,6.6,9,1.36,5,0,1,2,1,0,1,0.15,1,0,0,0,0,0
615,Nicola Zalewski,POL,DF,Roma,19,2002,8.8,25,2.83,17,3,1,2,2,0,1,0.11,1,0,0,0,0,0
616,Andre-Frank Zambo Anguissa,CMR,MF,Napoli,25,1995,21.4,63,2.94,52,1,4,1,2,3,7,0.33,6,0,0,0,0,1
617,Nicolò Zaniolo,ITA,FW|MF,Roma,22,1999,21.9,86,3.92,44,4,13,12,11,2,11,0.50,4,0,2,1,4,0
618,Alessandro Zanoli,ITA,DF,Napoli,20,2000,5.1,6,1.18,5,0,0,0,0,1,1,0.20,1,0,0,0,0,0
619,Mattia Zanotti,ITA,DF,Inter,18,2003,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
620,Duván Zapata,COL,FW,Atalanta,30,1991,19.1,86,4.49,57,1,12,13,2,1,8,0.42,6,0,1,1,0,0
621,Gabriele Zappa,ITA,DF,Cagliari,21,1999,12.7,19,1.49,17,1,0,1,0,0,0,0.00,0,0,0,0,0,0
622,Davide Zappacosta,ITA,DF,Atalanta,29,1992,26.1,72,2.76,51,3,4,8,3,3,8,0.31,6,0,0,1,1,0
623,Simone Zaza,ITA,FW|DF,Torino,30,1991,1.4,2,1.41,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
624,Marvin Zeegelaar,NED,DF,Udinese,30,1990,7.1,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
625,Piotr Zieliński,POL,MF,Napoli,27,1994,23.2,92,3.96,73,7,2,4,3,3,14,0.60,11,2,0,1,0,0
626,David Zima,CZE,DF,Torino,20,2000,14.6,9,0.62,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0
627,Jeroen Zoet,NED,GK,Spezia,30,1991,7.0,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
628,Nadir Zortea,ITA,DF|MF,Salernitana,22,1999,15.7,37,2.36,25,3,3,1,3,2,3,0.19,3,0,0,0,0,0
629,Petar Zovko,BIH,GK,Spezia,19,2002,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
630,Szymon Żurkowski,POL,MF,Empoli,23,1997,25.6,77,3.00,57,0,4,8,8,0,6,0.23,4,0,0,2,0,0
631,Milan Đurić,BIH,FW,Salernitana,31,1990,24.1,58,2.41,43,0,1,10,4,0,8,0.33,5,0,0,2,1,0
632,Filip Đuričić,SRB,MF|FW,Sassuolo,29,1992,7.5,26,3.48,19,0,5,1,0,1,2,0.27,2,0,0,0,0,0
