Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,Tammy Abraham,ENG,FW,Roma,23,1997,34.3,1064,32,73,508,495,173,1061,77,38,49.4,39,50.6,494,2592,1129,41,31,22,86,41,736,199
2,Francesco Acerbi,ITA,DF,Lazio,33,1988,28.2,2295,268,1102,1143,59,22,2295,6,4,66.7,2,33.3,1364,6893,4301,31,19,0,13,4,1641,10
3,Michel Aebischer,SUI,MF,Bologna,24,1997,4.9,292,12,68,171,56,8,292,4,1,25.0,3,75.0,143,635,297,2,2,2,9,5,196,9
4,Felix Afena-Gyan,GHA,FW|MF,Roma,18,2003,7.4,278,0,17,91,175,39,278,20,5,25.0,15,75.0,193,1367,519,19,16,9,42,21,212,77
5,Kevin Agudelo,COL,MF|FW,Spezia,22,1998,13.7,583,10,72,266,262,32,583,51,28,54.9,23,45.1,323,2163,1155,41,35,15,40,37,374,56
6,Ola Aina,NGA,DF,Torino,24,1996,16.0,950,48,227,441,294,27,950,40,18,45.0,22,55.0,483,2872,1398,42,34,7,32,10,530,78
7,Marley Aké,FRA,FW|MF,Juventus,20,2001,0.9,24,0,4,12,9,0,24,2,0,0.0,2,100.0,18,186,76,3,2,0,3,1,18,4
8,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,28,1992,3.5,166,10,45,88,37,1,166,10,6,60.0,4,40.0,89,417,216,5,4,0,13,4,107,8
9,Luis Alberto,ESP,MF,Lazio,28,1992,26.1,2177,16,259,1216,728,30,2177,44,27,61.4,17,38.6,1343,6796,3999,84,89,7,29,23,1682,89
10,Giorgio Altare,ITA,DF,Cagliari,22,1998,16.3,1000,96,426,456,129,25,1000,10,8,80.0,2,20.0,461,1852,925,13,15,0,6,3,479,10
11,Wisdom Amey,ITA,DF,Bologna,15,2005,0.8,41,1,17,23,2,0,41,1,0,0.0,1,100.0,19,125,68,0,1,0,0,0,17,0
12,Kelvin Amian,FRA,DF,Spezia,23,1998,29.4,1446,122,592,577,294,34,1446,37,23,62.2,14,37.8,670,3141,1537,38,25,5,27,20,739,50
13,Nadiem Amiri,GER,MF|FW,Genoa,24,1996,7.6,402,1,34,197,177,16,402,29,12,41.4,17,58.6,238,1400,672,17,27,2,33,13,277,34
14,Ethan Ampadu,WAL,MF|DF,Venezia,20,2000,25.4,1472,125,587,706,194,12,1472,17,13,76.5,4,23.5,712,3664,1759,26,23,3,19,10,767,23
15,Sofyan Amrabat,MAR,MF,Fiorentina,24,1996,10.5,799,28,176,530,101,0,799,12,10,83.3,2,16.7,506,2432,1014,13,9,0,9,6,572,3
16,Felipe Anderson,BRA,FW,Lazio,28,1993,32.1,1869,31,204,846,850,130,1869,108,58,53.7,50,46.3,1091,7188,4004,142,101,48,88,38,1335,264
17,Ebenezer Annan,GHA,DF,Bologna,18,2002,0.3,14,0,4,7,3,0,14,0,0,,0,,4,35,29,2,1,0,0,0,4,0
18,Cristian Ansaldi,ARG,DF,Torino,34,1986,7.7,500,22,106,206,190,14,500,16,8,50.0,8,50.0,288,1532,790,24,10,7,16,4,293,40
19,Janis Antiste,FRA,FW,Spezia,18,2002,8.8,312,6,63,119,135,39,312,21,8,38.1,13,61.9,156,995,395,10,6,8,24,7,192,60
