Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,Ismael Aaneba,FRA,DF,Strasbourg,19,1999,2.3,157,9,49,80,31,0,157,3,2,66.7,1,33.3,70,381,239,3,4,0,4,2,71,8
2,Yunis Abdelhamid,MAR,DF,Reims,30,1987,38.0,2027,259,1276,738,46,27,2027,23,21,91.3,2,8.7,1040,5366,2909,16,7,1,16,6,1182,1
3,Mehdi Abeid,ALG,MF,Dijon,25,1992,22.5,1356,30,252,870,258,21,1355,60,31,51.7,29,48.3,786,4914,2328,43,23,4,40,31,908,50
4,Charles Abi,FRA,DF|FW,Saint-Étienne,18,2000,0.4,29,1,6,10,14,4,29,3,2,66.7,1,33.3,16,123,52,2,2,0,3,2,17,0
5,Khaled Adénon,BEN,DF,Amiens,33,1985,22.2,1203,127,587,598,24,16,1203,1,1,100.0,0,0.0,687,3746,2202,13,4,0,5,7,701,1
6,Yacine Adli,FRA,MF,Bordeaux,18,2000,2.4,184,0,12,107,68,6,184,15,9,60.0,6,40.0,112,838,341,13,12,2,11,5,147,17
7,Nayef Aguerd,MAR,DF,Dijon,22,1996,11.7,747,68,336,383,36,9,747,7,6,85.7,1,14.3,376,1848,1032,11,6,0,8,5,460,3
8,Ruben Aguilar,FRA,DF,Montpellier,25,1993,28.1,1970,63,417,953,614,35,1970,71,36,50.7,35,49.3,921,5482,3172,85,60,9,47,26,1172,155
9,Jean-Eudes Aholou,CIV,MF,Monaco,24,1994,11.9,661,10,110,439,124,17,661,17,10,58.8,7,41.2,395,2337,1422,36,24,4,14,9,441,27
10,Youssef Aït Bennasser,MAR,MF,Saint-Étienne,22,1996,10.4,748,12,174,494,87,2,748,16,11,68.8,5,31.3,382,1634,900,6,2,0,6,7,557,12
11,Youssef Aït Bennasser,MAR,MF,Monaco,22,1996,11.9,841,34,217,566,73,0,841,14,12,85.7,2,14.3,542,2920,1654,21,20,0,11,7,564,13
12,Rayan Aït Nouri,ALG,DF|MF,Angers,17,2001,0.6,41,2,5,25,11,2,41,0,0,,0,,17,100,79,3,1,1,0,0,27,2
13,Ludovic Ajorque,FRA,FW,Strasbourg,24,1994,17.0,620,11,32,338,255,69,620,18,10,55.6,8,44.4,318,1204,334,11,13,4,41,23,482,126
14,Sofiane Alakouch,MAR,DF,Nîmes,20,1998,21.1,1382,55,390,633,367,17,1382,34,21,61.8,13,38.2,607,3159,1978,43,36,6,31,16,705,64
15,Alexis Alegue,FRA,FW,Nantes,21,1996,0.1,3,0,0,1,2,0,3,0,0,,0,,1,6,6,0,0,0,0,0,2,0
16,Rúnar Alex Rúnarsson,ISL,GK,Dijon,23,1995,25.0,917,733,911,7,0,0,917,2,2,100.0,0,0.0,406,2210,1483,0,0,0,3,0,368,0
17,Rachid Alioui,MAR,FW,Nîmes,26,1992,13.9,525,8,28,219,280,43,525,12,7,58.3,5,41.7,249,1297,628,24,25,4,16,12,365,79
18,Bobby Allain,FRA,GK,Dijon,26,1991,13.0,509,427,509,0,0,0,509,0,0,,0,,231,1692,1287,0,0,0,0,0,137,0
19,Mickaël Alphonse,GLP,DF,Dijon,29,1989,6.3,375,23,108,154,116,8,375,6,4,66.7,2,33.3,159,1141,649,21,13,2,10,3,194,38
20,Dani Alves,BRA,MF|DF,Paris S-G,35,1983,18.0,1745,24,244,1012,506,36,1745,30,16,53.3,14,46.7,1049,4226,2553,41,47,5,22,24,1389,131
21,Romain Amalfitano,FRA,MF|FW,Dijon,28,1989,28.0,1407,58,284,878,261,11,1407,51,27,52.9,24,47.1,791,4983,2345,44,42,4,53,36,912,62
22,Jordan Amavi,FRA,DF,Marseille,24,1994,24.2,1641,79,461,807,401,20,1641,43,23,53.5,20,46.5,806,4782,2657,74,66,5,37,25,817,98
23,Kelvin Amian,FRA,DF,Toulouse,20,1998,32.0,1548,121,531,758,280,11,1548,39,24,61.5,15,38.5,655,3921,2519,46,48,4,31,20,721,59
24,Yanis Ammour,FRA,MF,Montpellier,19,1999,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
25,Benjamin André,FRA,MF,Rennes,27,1990,27.7,1884,61,342,1165,397,46,1884,32,21,65.6,11,34.4,946,4992,2430,52,33,3,55,39,1181,86
26,Yoann Andreu,FRA,DF,Angers,29,1989,0.0,4,1,2,1,1,0,4,0,0,,0,,2,8,0,0,0,0,0,2,1,0
27,Houssem Aouar,ALG,MF,Lyon,20,1998,34.0,2457,35,306,1572,605,106,2457,97,58,59.8,39,40.2,1741,9785,4654,96,69,28,58,65,1956,163
28,Luiz Araújo,BRA,FW|MF,Lille,22,1996,8.7,436,3,44,212,191,17,436,38,23,60.5,15,39.5,286,1956,967,30,25,8,21,15,317,45
29,Alphonse Areola,FRA,GK,Paris S-G,25,1993,21.0,552,482,550,2,0,0,552,0,0,,0,,291,1571,1116,0,0,0,0,0,221,0
30,Yoël Armougom,FRA,DF,Caen,20,1998,20.6,1107,47,349,540,230,7,1107,31,11,35.5,20,64.5,528,3164,1687,45,31,4,28,9,596,49
31,Youcef Atal,ALG,DF|FW,Nice,22,1996,25.1,1772,61,364,790,657,87,1771,203,101,49.8,102,50.2,1013,7446,4352,137,96,53,82,33,1123,275
32,Ludovic Baal,GUF,DF,Rennes,32,1986,1.4,102,3,31,59,14,1,102,0,0,,0,,56,256,147,2,1,1,3,1,57,2
33,Benoît Badiashile,FRA,DF,Monaco,17,2001,19.6,1243,97,576,648,24,9,1243,1,1,100.0,0,0.0,799,4027,2654,18,4,0,4,5,865,2
34,Stéphane Bahoken,CMR,FW,Angers,26,1992,27.4,785,4,27,380,384,105,782,17,6,35.3,11,64.7,459,2332,700,31,21,17,102,59,557,173
35,Fodé Ballo-Touré,SEN,DF,Lille,21,1997,17.7,975,44,291,504,191,15,975,31,18,58.1,13,41.9,462,2550,1482,36,31,5,25,22,485,63
36,Fodé Ballo-Touré,SEN,DF,Monaco,21,1997,17.7,1066,31,270,533,283,11,1066,51,30,58.8,21,41.2,523,3430,2081,63,46,5,21,15,547,82
37,Florent Balmont,FRA,MF,Dijon,38,1980,12.0,806,17,145,524,142,2,806,4,4,100.0,0,0.0,449,2183,1208,15,11,0,13,10,567,13
38,Mario Balotelli,ITA,FW,Nice,27,1990,8.4,345,10,20,174,154,28,345,15,3,20.0,12,80.0,194,803,336,10,13,5,30,9,272,60
39,Mario Balotelli,ITA,FW,Marseille,27,1990,10.4,337,8,25,178,138,32,337,17,10,58.8,7,41.2,193,913,435,17,17,3,10,6,259,38
40,Abdoulaye Bamba,CIV,DF,Angers,28,1990,28.6,1540,58,480,759,312,17,1540,26,15,57.7,11,42.3,647,3223,2009,60,41,9,21,14,746,79
41,Jonathan Bamba,CIV,FW|MF,Lille,22,1996,33.4,1606,9,188,774,681,92,1605,76,34,44.7,42,55.3,1114,7785,3715,112,105,26,80,82,1173,265
42,Yacine Bammou,MAR,FW|MF,Caen,26,1991,10.3,452,21,76,208,172,24,451,6,3,50.0,3,50.0,224,995,412,12,13,4,20,17,282,63
43,Danilo Barbosa,BRA,MF,Nice,22,1996,17.2,890,29,181,532,186,31,890,53,33,62.3,20,37.7,457,2297,1250,27,19,7,42,39,670,63
44,Antonio Barreca,ITA,DF,Monaco,23,1995,6.6,359,13,117,164,83,10,359,10,2,20.0,8,80.0,154,893,434,15,8,4,12,6,173,29
45,Toma Bašić,CRO,MF,Bordeaux,21,1996,14.8,782,18,110,472,209,11,782,30,18,60.0,12,40.0,456,2453,1078,20,16,1,28,18,518,58
46,Thomas Basila,FRA,DF,Nantes,19,1999,1.0,39,6,18,21,0,0,39,0,0,,0,,16,54,47,0,0,0,0,0,17,0
47,Paul Baysse,FRA,DF,Bordeaux,30,1988,0.8,42,7,22,20,0,0,42,0,0,,0,,22,114,32,0,1,0,0,0,20,0
48,Paul Baysse,FRA,DF,Caen,30,1988,19.9,1052,142,581,449,31,17,1052,1,1,100.0,0,0.0,493,2308,1213,5,2,0,4,2,609,4
49,Claudio Beauvue,GLP,FW|MF,Caen,30,1988,16.7,603,27,80,287,245,66,602,26,10,38.5,16,61.5,298,1375,544,22,18,6,56,16,426,116
50,Hatem Ben Arfa,FRA,FW|MF,Rennes,31,1987,22.6,1234,0,71,645,553,58,1231,207,116,56.0,91,44.0,882,7166,3650,121,104,30,56,64,940,114
51,Diego Benaglio,SUI,GK,Monaco,34,1983,22.9,705,639,704,1,0,0,705,0,0,,0,,331,2022,1463,0,0,0,0,0,231,0
52,Nicolas Benezet,FRA,MF|FW,Guingamp,27,1991,18.5,1103,6,114,486,517,63,1103,50,34,68.0,16,32.0,610,4386,1991,66,47,14,65,54,741,163
53,Walter Benítez,ARG,GK,Nice,25,1993,35.0,1213,1142,1213,0,0,0,1213,0,0,,0,,520,2423,1732,0,0,0,1,0,489,0
54,Yassine Benrahou,FRA,MF|FW,Bordeaux,19,1999,2.0,149,1,21,58,73,4,149,9,2,22.2,7,77.8,71,548,200,6,9,2,6,4,102,19
55,Ramy Bensebaini,ALG,DF,Rennes,23,1995,23.9,1582,91,523,769,305,25,1582,28,12,42.9,16,57.1,751,4433,2726,61,41,4,31,10,854,93
56,Yassine Benzia,ALG,MF,Lille,23,1994,1.8,111,1,6,68,37,3,111,1,1,100.0,0,0.0,83,373,161,5,4,0,0,0,94,6
57,Robert Berić,SVN,FW,Saint-Étienne,27,1991,13.1,343,3,20,184,140,62,343,15,5,33.3,10,66.7,159,596,217,6,5,7,33,16,248,52
58,Paul Bernardoni,FRA,GK,Nîmes,21,1997,38.0,1227,951,1216,11,0,0,1227,0,0,,0,,516,2852,2096,0,0,0,0,0,376,0
59,Juan Bernat,ESP,DF|MF,Paris S-G,25,1993,20.4,1384,47,276,692,421,46,1384,32,18,56.3,14,43.8,813,3767,2003,50,28,13,29,22,996,152
60,Antoine Bernede,FRA,MF,Paris S-G,19,1999,1.9,197,3,32,140,26,0,197,0,0,,0,,115,435,175,0,3,0,2,4,153,4
61,Dimitry Bertaud,FRA,GK,Montpellier,20,1998,1.0,37,28,37,0,0,0,37,0,0,,0,,10,109,72,0,0,0,0,0,10,0
