Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Ismael Aaneba,FRA,DF,Strasbourg,19,1999,2.3,12,6,7,5,0,5,10,50.0,5,5,0,5,8,20,9,0
2,Yunis Abdelhamid,MAR,DF,Reims,30,1987,38.0,60,33,48,11,1,30,40,75.0,10,44,24,20,65,125,196,0
3,Mehdi Abeid,ALG,MF,Dijon,25,1992,22.5,51,33,27,16,8,15,45,33.3,30,33,7,26,29,80,23,1
4,Charles Abi,FRA,DF|FW,Saint-Étienne,18,2000,0.4,4,4,2,1,1,2,2,100.0,0,1,0,1,0,4,1,0
5,Khaled Adénon,BEN,DF,Amiens,33,1985,22.2,31,22,20,11,0,16,28,57.1,12,26,11,15,31,62,101,0
6,Yacine Adli,FRA,MF,Bordeaux,18,2000,2.4,7,2,2,3,2,3,9,33.3,6,3,0,3,2,9,0,0
7,Nayef Aguerd,MAR,DF,Dijon,22,1996,11.7,17,12,8,9,0,8,19,42.1,11,20,11,9,14,31,59,1
8,Ruben Aguilar,FRA,DF,Montpellier,25,1993,28.1,88,51,40,33,15,39,69,56.5,30,23,3,20,37,125,50,1
9,Jean-Eudes Aholou,CIV,MF,Monaco,24,1994,11.9,20,11,6,11,3,8,16,50.0,8,7,0,7,17,37,12,0
10,Youssef Aït Bennasser,MAR,MF,Saint-Étienne,22,1996,10.4,25,13,9,12,4,13,28,46.4,15,15,2,13,19,44,6,2
11,Youssef Aït Bennasser,MAR,MF,Monaco,22,1996,11.9,33,16,14,18,1,13,29,44.8,16,15,5,10,15,48,19,0
12,Rayan Aït Nouri,ALG,DF|MF,Angers,17,2001,0.6,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,1,0
13,Ludovic Ajorque,FRA,FW,Strasbourg,24,1994,17.0,17,13,1,10,6,4,9,44.4,5,5,0,5,5,22,9,0
14,Sofiane Alakouch,MAR,DF,Nîmes,20,1998,21.1,81,44,44,31,6,36,63,57.1,27,15,4,11,46,127,57,0
15,Alexis Alegue,FRA,FW,Nantes,21,1996,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
16,Rúnar Alex Rúnarsson,ISL,GK,Dijon,23,1995,25.0,2,0,2,0,0,2,6,33.3,4,0,0,0,1,3,7,2
17,Rachid Alioui,MAR,FW,Nîmes,26,1992,13.9,15,5,3,9,3,4,9,44.4,5,8,1,7,10,25,11,0
18,Bobby Allain,FRA,GK,Dijon,26,1991,13.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,16,1
19,Mickaël Alphonse,GLP,DF,Dijon,29,1989,6.3,10,5,6,1,3,3,4,75.0,1,3,1,2,9,19,30,0
20,Dani Alves,BRA,MF|DF,Paris S-G,35,1983,18.0,42,22,16,23,3,13,38,34.2,25,18,5,13,8,50,11,0
21,Romain Amalfitano,FRA,MF|FW,Dijon,28,1989,28.0,52,33,20,28,4,25,67,37.3,42,45,13,32,47,99,35,0
22,Jordan Amavi,FRA,DF,Marseille,24,1994,24.2,74,50,34,26,14,35,56,62.5,21,24,8,16,46,120,93,4
23,Kelvin Amian,FRA,DF,Toulouse,20,1998,32.0,68,45,54,12,2,20,30,66.7,10,36,13,23,36,104,113,1
24,Yanis Ammour,FRA,MF,Montpellier,19,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,Benjamin André,FRA,MF,Rennes,27,1990,27.7,101,60,39,50,12,33,85,38.8,52,40,6,34,54,155,58,0
26,Yoann Andreu,FRA,DF,Angers,29,1989,0.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
27,Houssem Aouar,ALG,MF,Lyon,20,1998,34.0,63,38,28,25,10,17,61,27.9,44,33,6,27,32,95,25,3
28,Luiz Araújo,BRA,FW|MF,Lille,22,1996,8.7,23,17,8,9,6,9,24,37.5,15,6,1,5,3,26,4,0
29,Alphonse Areola,FRA,GK,Paris S-G,25,1993,21.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,1
30,Yoël Armougom,FRA,DF,Caen,20,1998,20.6,31,21,20,9,2,15,29,51.7,14,9,3,6,21,52,66,0
31,Youcef Atal,ALG,DF|FW,Nice,22,1996,25.1,68,44,34,25,9,34,67,50.7,33,38,8,30,56,124,42,0
32,Ludovic Baal,GUF,DF,Rennes,32,1986,1.4,4,3,3,1,0,0,0,,0,1,0,1,2,6,1,0
33,Benoît Badiashile,FRA,DF,Monaco,17,2001,19.6,25,18,18,7,0,17,25,68.0,8,12,5,7,21,46,79,2
34,Stéphane Bahoken,CMR,FW,Angers,26,1992,27.4,15,7,0,10,5,3,21,14.3,18,35,3,32,8,23,5,0
35,Fodé Ballo-Touré,SEN,DF,Lille,21,1997,17.7,47,35,26,19,2,21,32,65.6,11,25,7,18,27,74,42,2
36,Fodé Ballo-Touré,SEN,DF,Monaco,21,1997,17.7,46,31,26,16,4,20,40,50.0,20,20,2,18,28,74,38,2
37,Florent Balmont,FRA,MF,Dijon,38,1980,12.0,29,16,16,10,3,9,36,25.0,27,13,2,11,6,35,8,0
38,Mario Balotelli,ITA,FW,Nice,27,1990,8.4,1,0,0,1,0,1,4,25.0,3,9,1,8,1,2,8,0
39,Mario Balotelli,ITA,FW,Marseille,27,1990,10.4,5,3,1,3,1,2,7,28.6,5,8,2,6,3,8,6,0
40,Abdoulaye Bamba,CIV,DF,Angers,28,1990,28.6,51,29,31,14,6,24,44,54.5,20,20,4,16,37,88,86,0
41,Jonathan Bamba,CIV,FW|MF,Lille,22,1996,33.4,29,19,7,17,5,13,39,33.3,26,24,1,23,41,70,18,0
42,Yacine Bammou,MAR,FW|MF,Caen,26,1991,10.3,14,7,7,4,3,3,8,37.5,5,14,3,11,9,23,17,0
43,Danilo Barbosa,BRA,MF,Nice,22,1996,17.2,29,20,13,13,3,6,17,35.3,11,17,2,15,15,44,25,1
44,Antonio Barreca,ITA,DF,Monaco,23,1995,6.6,11,8,8,3,0,7,11,63.6,4,3,2,1,7,18,18,0
45,Toma Bašić,CRO,MF,Bordeaux,21,1996,14.8,32,16,5,21,6,11,31,35.5,20,13,1,12,9,41,22,1
46,Thomas Basila,FRA,DF,Nantes,19,1999,1.0,2,1,1,1,0,0,0,,0,2,1,1,0,2,8,0
47,Paul Baysse,FRA,DF,Bordeaux,30,1988,0.8,1,0,1,0,0,0,1,0.0,1,1,1,0,1,2,6,0
48,Paul Baysse,FRA,DF,Caen,30,1988,19.9,25,14,20,5,0,13,18,72.2,5,25,20,5,31,56,113,1
