Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
550,Dídac Vilà,ESP,DF,Espanyol,30,1989,27.7,34,1.23,27,2,0,3,1,1,2,0.07,1,0,0,1,0,0
551,Toni Villa,ESP,MF,Valladolid,24,1995,15.0,39,2.59,27,0,8,1,2,1,4,0.27,3,0,1,0,0,0
552,Asier Villalibre,ESP,FW,Athletic Club,21,1997,5.9,7,1.18,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0
553,Iván Villar,ESP,GK,Celta Vigo,22,1997,3.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
554,Juan Villar,ESP,FW,Osasuna,31,1988,2.7,6,2.25,5,0,0,1,0,0,2,0.75,2,0,0,0,0,0
555,Vitolo,ESP,FW|MF,Atlético Madrid,29,1989,13.6,38,2.79,25,0,3,3,7,0,4,0.29,4,0,0,0,0,0
556,Šime Vrsaljko,CRO,DF,Atlético Madrid,27,1992,4.0,3,0.75,3,0,0,0,0,0,1,0.25,1,0,0,0,0,0
557,Nikola Vukčević,MNE,MF,Levante,27,1991,17.4,13,0.75,11,0,0,0,1,1,4,0.23,4,0,0,0,0,0
558,Moussa Wagué,SEN,DF,Barcelona,20,1998,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
559,Wakaso,GHA,MF,Alavés,29,1990,14.3,12,0.84,9,2,0,1,0,0,0,0.00,0,0,0,0,0,0
560,Daniel Wass,DEN,DF|MF,Valencia,30,1989,30.4,44,1.45,37,2,1,2,2,0,7,0.23,6,0,1,0,0,0
561,Iñaki Williams,GHA,FW,Athletic Club,25,1994,32.7,87,2.66,54,0,10,7,15,1,9,0.28,5,0,2,1,1,0
562,Yoel,ESP,GK,Eibar,30,1988,3.0,1,0.33,0,1,0,0,0,0,1,0.33,0,1,0,0,0,0
563,Okay Yokuşlu,TUR,MF,Celta Vigo,25,1994,21.9,16,0.73,13,0,0,3,0,0,3,0.14,2,0,0,1,0,0
564,Joseba Zaldúa,ESP,DF,Real Sociedad,27,1992,28.3,37,1.31,29,1,0,1,5,1,7,0.25,6,0,0,0,1,0
565,Andre-Frank Zambo Anguissa,CMR,MF,Villarreal,23,1995,28.7,58,2.02,41,0,6,4,3,4,6,0.21,2,0,1,2,0,1
566,Igor Zubeldia,ESP,MF|DF,Real Sociedad,22,1997,29.3,15,0.51,14,0,0,1,0,0,2,0.07,2,0,0,0,0,0
567,Martín Zubimendi,ESP,MF,Real Sociedad,20,1999,5.8,14,2.20,13,0,1,0,0,0,1,0.16,1,0,0,0,0,0
568,David Zurutuza,ESP,MF,Real Sociedad,33,1986,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
569,Martin Ødegaard,NOR,MF,Real Sociedad,20,1998,28.1,134,4.77,84,36,6,4,3,1,19,0.68,13,3,1,1,0,1
570,Hugo Guillamón,,DF|MF,Valencia,19,2000,5.5,,,,,,,,,,,,,,,,
