Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
382,Francesco Magnanelli,ITA,MF,Sassuolo,33,1984,26,1859,72,54.4,20.7,21,85,16,5,13,10,1.15,27,26,+1,+0.05,+0.51,25.9,32.1,-6.2,-0.30,-0.14
383,Giangiacomo Magnani,ITA,DF,Sassuolo,22,1995,19,1516,80,44.3,16.8,17,87,16,2,16,14,1.37,24,27,-3,-0.18,+0.01,23.6,25.7,-2.1,-0.12,+0.20
384,Raffaele Maiello,ITA,MF,Frosinone,27,1991,29,2043,70,59.7,22.7,22,82,13,7,35,5,0.83,18,33,-15,-0.66,+0.97,22.7,34.0,-11.2,-0.49,+0.28
385,Domenico Maietta,ITA,DF,Empoli,35,1982,21,1714,82,50.1,19.0,21,82,15,0,,7,1.05,26,36,-10,-0.53,-0.05,27.2,31.1,-3.9,-0.21,+0.18
386,Nikola Maksimović,SRB,DF,Napoli,26,1991,17,1375,81,40.2,15.3,15,86,13,2,42,17,2.29,31,12,+19,+1.24,+0.41,26.7,13.4,+13.3,+0.87,+0.42
387,Kévin Malcuit,MAR,DF,Napoli,27,1991,24,1805,75,52.8,20.1,20,86,15,4,21,14,1.96,42,19,+23,+1.15,+0.31,30.7,22.6,+8.2,+0.41,-0.45
388,Gianluca Mancini,ITA,DF,Atalanta,22,1996,30,2246,75,65.7,25.0,25,82,17,5,37,7,1.83,48,32,+16,+0.64,-0.51,47.2,24.9,+22.3,+0.89,+0.22
389,Rolando Mandragora,ITA,MF,Udinese,21,1997,35,2918,83,85.3,32.4,33,88,27,2,13,0,1.23,33,41,-8,-0.25,+0.83,38.1,47.9,-9.8,-0.30,+1.03
390,Mario Mandžukić,CRO,FW,Juventus,32,1986,25,2014,81,58.9,22.4,23,85,15,2,29,2,2.56,44,12,+32,+1.43,+0.92,37.7,20.5,+17.2,+0.77,+0.27
391,Kostas Manolas,GRE,DF,Roma,27,1991,27,2324,86,68.0,25.8,27,86,23,0,,3,1.96,51,32,+19,+0.74,+0.82,46.9,36.9,+10.1,+0.39,+0.21
392,Juan Manuel Valencia,COL,FW,Bologna,20,1998,1,28,28,0.8,0.3,0,,0,1,28,11,0.00,0,0,0,0.00,+0.21,0.0,0.6,-0.5,-1.71,-1.66
393,Iván Marcano,ESP,DF,Roma,31,1987,10,810,81,23.7,9.0,9,85,8,1,45,28,1.60,14,13,+1,+0.11,-0.48,14.4,10.9,+3.4,+0.38,+0.08
394,Federico Marchetti,ITA,GK,Genoa,35,1983,4,360,90,10.5,4.0,4,90,4,0,,27,1.50,7,10,-3,-0.75,-0.31,4.3,7.0,-2.7,-0.67,-0.56
395,Giuseppe Marcianò,ITA,GK,Frosinone,18,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
396,Michał Marcjanik,POL,DF,Empoli,23,1994,0,,,,,0,,0,0,,17,,,,,,,,,,,
397,Gian Marco Ferrari,ITA,DF,Sassuolo,26,1992,31,2790,90,81.6,31.0,31,90,31,0,,6,1.19,45,45,0,0.00,+1.00,38.7,45.1,-6.4,-0.21,+0.15
398,Andrea Marcucci,ITA,MF,Roma,19,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
399,Davide Marfella,ITA,GK,Napoli,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
400,João Mário,POR,MF|FW,Inter,25,1993,20,1082,54,31.6,12.0,12,79,5,8,17,16,1.90,19,5,+14,+1.16,+0.78,20.5,8.8,+11.7,+0.98,+0.44
401,Marlon,BRA,DF,Sassuolo,22,1995,18,1508,84,44.1,16.8,18,84,15,0,,6,1.06,21,24,-3,-0.18,+0.01,20.4,22.3,-1.9,-0.11,+0.22
402,Alessandro Marongiu,ITA,MF,Cagliari,19,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
403,Lautaro Martínez,ARG,FW|MF,Inter,20,1997,27,1344,50,39.3,14.9,13,85,9,14,17,7,1.74,29,17,+12,+0.80,+0.28,29.2,13.4,+15.8,+1.06,+0.63
404,Adam Marušić,MNE,DF,Lazio,25,1992,26,2111,81,61.7,23.5,24,87,20,2,12,7,1.58,32,29,+3,+0.13,-0.35,34.5,29.3,+5.2,+0.22,-0.34
405,Andrea Masiello,ITA,DF,Atalanta,32,1986,24,1836,77,53.7,20.4,22,82,15,2,18,8,1.67,34,23,+11,+0.54,-0.60,35.6,21.1,+14.4,+0.71,-0.24
406,Luca Matarese,ITA,FW,Frosinone,20,1998,2,16,8,0.5,0.2,0,,0,2,8,5,0.00,0,1,-1,-5.63,-4.59,0.0,0.0,0.0,+0.05,+0.66
407,Alessandro Matri,ITA,FW,Sassuolo,33,1984,19,603,32,17.6,6.7,6,68,1,13,15,18,1.16,8,12,-4,-0.60,-0.50,12.5,9.2,+3.3,+0.50,+0.89
408,Federico Mattiello,ITA,DF|FW,Bologna,23,1995,17,1333,78,39.0,14.8,16,83,13,1,5,5,0.82,9,20,-11,-0.74,-0.87,13.0,20.4,-7.5,-0.51,-0.73
