Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
375,Simone Padoin,ITA,DF|MF,Cagliari,34,1984,21.3,813,1052,77.3,13780,5303,358,389,92.0,332,442,75.1,83,154,53.9,2,1.1,1.2,+0.9,15,61,21,14,80
376,Luca Paganini,ITA,DF|MF,Frosinone,25,1993,12.5,316,416,76.0,4682,1193,200,228,87.7,88,118,74.6,18,36,50.0,0,0.4,0.7,-0.4,9,27,7,4,36
377,Marko Pajač,CRO,FW|DF,Empoli,25,1993,8.2,280,364,76.9,4488,1445,147,160,91.9,101,144,70.1,20,35,57.1,2,1.3,0.8,+0.7,10,12,8,5,17
378,Marko Pajač,CRO,DF,Cagliari,25,1993,1.1,40,60,66.7,692,246,19,22,86.4,17,23,73.9,3,13,23.1,0,0.1,0.1,-0.1,1,2,1,0,3
379,Rodrigo Palacio,ARG,FW,Bologna,36,1982,25.9,563,815,69.1,8272,1738,330,393,84.0,180,255,70.6,32,68,47.1,6,4.2,3.2,+1.8,39,33,29,12,71
380,Alberto Paloschi,ITA,FW,SPAL,28,1990,9.6,122,162,75.3,1552,233,74,90,82.2,34,45,75.6,3,7,42.9,0,0.6,0.4,-0.6,5,9,1,1,11
381,Goran Pandev,MKD,FW|MF,Genoa,35,1983,12.5,272,366,74.3,4600,1281,129,158,81.6,95,121,78.5,35,51,68.6,2,1.6,2.0,+0.4,21,24,20,4,51
382,Lucas Paquetá,BRA,MF,Milan,20,1997,9.4,282,372,75.8,3845,1334,176,210,83.8,72,99,72.7,16,29,55.2,1,0.8,0.7,+0.2,9,32,8,0,48
383,Vittorio Parigini,ITA,MF|DF,Torino,22,1996,4.2,86,139,61.9,1314,440,37,43,86.0,35,53,66.0,5,14,35.7,0,1.1,0.2,-1.1,8,8,4,3,7
384,Marco Parolo,ITA,MF,Lazio,33,1985,28.5,841,1111,75.7,13199,4039,439,516,85.1,302,387,78.0,59,97,60.8,3,3.8,4.1,-0.8,31,74,26,7,99
385,Mario Pašalić,CRO,MF,Atalanta,23,1995,18.0,831,1011,82.2,14528,2967,347,414,83.8,365,420,86.9,81,100,81.0,3,1.8,1.2,+1.2,23,63,15,2,82
386,Manuel Pasqual,ITA,DF,Empoli,36,1982,14.9,697,1057,65.9,12372,5615,321,360,89.2,270,389,69.4,85,227,37.4,2,2.5,2.4,-0.5,21,80,29,20,91
387,Javier Pastore,ARG,MF|FW,Roma,29,1989,6.6,327,391,83.6,5059,1541,169,184,91.8,110,127,86.6,27,39,69.2,0,0.9,1.4,-0.9,18,39,18,2,62
388,Patric,ESP,DF,Lazio,25,1993,12.1,578,722,80.1,10861,3132,236,262,90.1,259,307,84.4,74,118,62.7,0,1.2,0.7,-1.2,8,49,14,1,58
389,Leonardo Pavoletti,ITA,FW,Cagliari,29,1988,30.4,585,853,68.6,7001,908,334,450,74.2,133,217,61.3,23,42,54.8,1,1.6,1.1,-0.6,25,29,11,0,40
390,Nehuén Paz,ARG,DF,Bologna,25,1993,1.3,34,46,73.9,682,220,14,15,93.3,15,18,83.3,5,11,45.5,0,0.0,0.0,0.0,0,0,0,0,0
391,João Pedro,ITA,FW|MF,Cagliari,26,1992,28.4,566,793,71.4,8694,1649,298,364,81.9,175,238,73.5,49,91,53.8,2,3.5,3.7,-1.5,33,28,19,3,51
392,Gianluca Pegolo,ITA,GK,Sassuolo,37,1981,2.3,48,74,64.9,1601,1213,4,4,100.0,18,18,100.0,26,52,50.0,0,0.0,0.0,0.0,0,1,0,0,0
393,Lorenzo Pellegrini,ITA,MF,Roma,22,1996,20.2,727,982,74.0,11822,3912,371,426,87.1,224,301,74.4,88,165,53.3,3,4.6,4.1,-1.6,59,61,27,6,93
394,Luca Pellegrini,ITA,DF,Cagliari,19,1999,10.4,328,509,64.4,5470,2203,144,172,83.7,127,183,69.4,31,86,36.0,1,0.9,1.5,+0.1,10,15,13,8,25
395,Luca Pellegrini,ITA,DF,Roma,19,1999,1.8,104,130,80.0,1771,684,50,58,86.2,40,48,83.3,12,18,66.7,1,0.4,0.1,+0.6,1,10,3,1,12
396,Sergio Pellissier,ITA,FW,Chievo,39,1979,10.6,139,196,70.9,1919,234,78,98,79.6,39,52,75.0,9,14,64.3,1,2.0,0.7,-1.0,12,3,4,0,13
397,Federico Peluso,ITA,DF,Sassuolo,34,1984,15.1,711,844,84.2,13262,5110,269,293,91.8,364,406,89.7,70,119,58.8,0,0.0,0.1,0.0,0,41,3,1,47
398,Pepín,EQG,MF,Parma,21,1996,0.9,19,27,70.4,306,54,12,12,100.0,5,9,55.6,2,4,50.0,1,0.2,0.0,+0.8,1,0,2,0,2
399,Pedro Pereira,POR,DF|FW,Genoa,20,1998,15.4,493,693,71.1,7985,3562,253,286,88.5,191,261,73.2,37,101,36.6,0,1.3,1.5,-1.3,17,34,15,10,53
400,Stipe Perica,CRO,FW,Frosinone,23,1995,5.3,63,94,67.0,931,171,31,44,70.5,25,34,73.5,3,5,60.0,0,0.0,0.0,0.0,0,9,0,0,11
401,Mattia Perin,ITA,GK,Juventus,25,1992,9.0,182,230,79.1,5196,3561,20,20,100.0,98,99,99.0,63,108,58.3,0,0.0,0.0,0.0,0,0,0,0,0
402,Ivan Perišić,CRO,FW,Inter,29,1989,30.0,943,1401,67.3,14786,4043,514,615,83.6,299,463,64.6,82,177,46.3,3,6.8,7.1,-3.8,60,51,55,31,90
403,Diego Perotti,ARG,FW|MF,Roma,30,1988,7.4,254,346,73.4,3490,827,150,176,85.2,69,95,72.6,16,35,45.7,0,2.4,1.5,-2.4,18,16,11,4,30
404,Matteo Pessina,ITA,MF|FW,Atalanta,21,1997,2.6,169,196,86.2,2799,688,77,85,90.6,73,81,90.1,12,14,85.7,1,0.1,0.3,+0.9,2,12,4,1,26
405,Andrea Petagna,ITA,FW,SPAL,23,1995,33.7,600,776,77.3,9670,1525,307,357,86.0,184,228,80.7,69,98,70.4,1,2.2,1.9,-1.2,28,41,19,7,68
406,Germán Pezzella,ARG,DF,Fiorentina,27,1991,31.7,1404,1637,85.8,29211,10606,372,413,90.1,823,900,91.4,196,289,67.8,1,0.6,0.6,+0.4,6,68,3,0,84
407,Giuseppe Pezzella,ITA,DF,Udinese,20,1997,2.0,44,69,63.8,653,368,22,24,91.7,16,26,61.5,3,12,25.0,0,0.1,0.1,-0.1,2,3,1,1,1
408,Giuseppe Pezzella,ITA,DF|MF,Genoa,20,1997,1.2,32,43,74.4,617,335,14,15,93.3,10,14,71.4,7,11,63.6,0,0.1,0.1,-0.1,1,4,2,1,4
409,Krzysztof Piątek,POL,FW,Genoa,23,1995,17.7,222,315,70.5,3325,552,117,146,80.1,71,99,71.7,18,28,64.3,0,1.4,0.4,-1.4,15,14,8,0,30
410,Krzysztof Piątek,POL,FW,Milan,23,1995,15.3,191,250,76.4,2619,335,120,145,82.8,48,64,75.0,11,16,68.8,0,1.2,0.6,-1.2,14,7,7,1,16
411,Lucas Piazon,BRA,MF|FW,Chievo,24,1994,0.9,23,34,67.6,305,74,12,14,85.7,6,8,75.0,1,4,25.0,0,0.0,0.0,0.0,1,3,0,0,2
412,Roberto Piccoli,ITA,FW|MF,Atalanta,17,2001,0.5,5,11,45.5,33,5,3,6,50.0,0,2,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
413,Andrea Pinamonti,ITA,FW,Frosinone,19,1999,18.1,292,412,70.9,4237,707,169,220,76.8,84,113,74.3,19,24,79.2,3,0.5,0.6,+2.5,16,21,9,2,31
414,Carlo Pinsoglio,ITA,GK,Juventus,28,1990,1.0,27,36,75.0,784,504,2,2,100.0,14,14,100.0,11,20,55.0,0,0.0,0.0,0.0,0,0,0,0,0
415,Fabio Pisacane,ITA,DF,Cagliari,32,1986,25.2,973,1166,83.4,18444,5900,329,369,89.2,501,562,89.1,113,181,62.4,1,1.2,0.8,-0.2,6,25,1,1,44
416,Marko Pjaca,CRO,FW|MF,Fiorentina,23,1995,8.3,164,225,72.9,2443,509,101,119,84.9,49,66,74.2,9,17,52.9,1,1.0,0.6,0.0,16,10,9,0,26
417,Miralem Pjanić,BIH,MF,Juventus,28,1990,25.3,1825,2074,88.0,34365,9554,752,791,95.1,740,797,92.8,275,386,71.2,6,5.9,5.2,+0.1,72,194,29,4,202
418,Andrea Poli,ITA,MF,Bologna,28,1989,21.5,663,759,87.4,10205,2775,379,408,92.9,218,238,91.6,45,66,68.2,1,0.9,1.0,+0.1,14,73,14,2,86
419,Matteo Politano,ITA,FW,Inter,24,1993,28.3,1067,1488,71.7,17315,4695,545,648,84.1,373,516,72.3,100,209,47.8,6,5.6,7.0,+0.4,64,70,65,20,150
420,Giacomo Poluzzi,ITA,GK,SPAL,30,1988,0.1,3,3,100.0,56,23,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
421,Manolo Portanova,ITA,MF,Juventus,18,2000,0.4,7,12,58.3,112,26,1,2,50.0,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,0,0,0,2
422,Dennis Praet,BEL,MF,Sampdoria,24,1994,32.1,1556,1868,83.3,23139,6816,905,1000,90.5,484,567,85.4,104,175,59.4,3,5.0,4.4,-2.0,37,157,40,11,183
423,Silvio Proto,BEL,GK,Lazio,35,1983,2.0,45,64,70.3,1656,1415,2,2,100.0,20,20,100.0,23,42,54.8,0,0.0,0.0,0.0,0,0,0,0,0
424,Ivan Provedel,ITA,GK,Empoli,24,1994,16.0,358,485,73.8,10639,7942,36,36,100.0,178,183,97.3,143,263,54.4,0,0.1,0.0,-0.1,3,7,0,0,0
425,Manuel Pucciarelli,ITA,FW,Chievo,27,1991,3.4,71,94,75.5,781,67,44,54,81.5,16,21,76.2,1,5,20.0,0,0.0,0.0,0.0,1,4,0,0,2
426,Erick Pulgar,CHI,MF,Bologna,24,1994,26.2,1243,1583,78.5,23165,8006,530,597,88.8,522,618,84.5,171,309,55.3,2,3.8,3.7,-1.8,60,135,20,4,151
427,Ignacio Pussetto,ARG,FW|MF,Udinese,22,1995,24.2,493,725,68.0,6426,1722,315,410,76.8,124,188,66.0,21,45,46.7,4,2.3,1.7,+1.7,22,30,12,4,45
