Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
224,Joelinton,BRA,FW|MF,Newcastle Utd,23,1996,22.0,3,0,0,24,36,6,12,9,21,1,0,0,105,81,118,40.7
225,Ben Johnson,ENG,DF|FW,West Ham,20,2000,5.8,1,0,0,6,3,0,19,11,5,0,0,0,29,6,7,46.2
226,Sam Johnstone,ENG,GK,West Brom,27,1993,37.0,1,0,0,1,5,0,0,2,0,0,1,0,37,5,1,83.3
227,Curtis Jones,ENG,MF,Liverpool,19,2001,13.1,2,0,0,18,13,1,7,19,6,0,0,0,80,14,18,43.8
228,Jorginho,ITA,MF,Chelsea,28,1991,22.3,2,0,0,32,29,0,3,40,30,0,1,0,168,17,13,56.7
229,Willian José,BRA,FW,Wolves,28,1991,12.3,0,0,0,8,10,2,6,1,1,1,0,0,40,26,34,43.3
230,Diogo Jota,POR,FW,Liverpool,23,1996,12.4,2,0,0,25,20,1,18,5,6,0,0,0,53,14,37,27.5
231,James Justin,ENG,DF,Leicester City,22,1998,23.0,4,0,0,16,38,3,59,30,37,2,0,0,103,26,42,38.2
232,Ozan Kabak,TUR,DF,Liverpool,20,2000,8.9,3,0,0,12,3,0,0,12,10,0,0,0,54,26,20,56.5
233,Aboubakar Kamara,MTN,FW|MF,Fulham,25,1995,3.5,1,1,0,9,3,0,13,1,2,0,1,0,19,11,8,57.9
234,Harry Kane,ENG,FW,Tottenham,27,1993,34.2,1,0,0,26,60,13,38,11,12,2,0,0,89,75,113,39.9
235,N'Golo Kanté,FRA,MF,Chelsea,29,1991,23.8,7,0,0,36,7,0,8,59,42,0,0,0,194,17,28,37.8
236,Moise Kean,ITA,FW|MF,Everton,20,2000,0.2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,
237,Michael Keane,ENG,DF,Everton,27,1993,33.2,4,0,0,15,8,0,1,51,15,0,0,0,125,109,48,69.4
238,Neeskens Kebano,COD,FW|MF,Fulham,28,1992,1.3,0,0,0,3,1,1,7,0,0,0,0,0,10,0,3,0.0
239,Naby Keïta,GUI,MF,Liverpool,25,1995,5.8,1,0,0,13,2,0,3,9,5,0,0,0,35,4,9,30.8
240,Caoimhín Kelleher,IRL,GK,Liverpool,21,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
241,Martin Kelly,ENG,DF,Crystal Palace,30,1990,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
242,Jonjoe Kenny,ENG,DF,Everton,23,1997,0.9,0,0,0,0,0,1,6,1,1,0,0,0,0,0,0,
243,Reda Khadra,GER,MF,Brighton,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
244,Max Kilman,ENG,DF,Wolves,23,1997,14.6,4,0,0,20,4,0,0,19,14,0,1,0,64,20,25,44.4
245,Joshua King,NOR,MF|FW,Everton,28,1992,1.6,0,0,0,4,1,3,1,1,1,0,0,0,10,5,6,45.5
246,Mateusz Klich,POL,MF,Leeds United,30,1990,26.6,6,0,0,46,20,6,63,11,20,0,1,0,163,13,18,41.9
247,Robin Koch,GER,DF|MF,Leeds United,24,1996,12.6,1,0,0,17,8,0,1,27,16,0,2,0,76,37,29,56.1
248,Sead Kolašinac,BIH,DF,Arsenal,27,1993,1.0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,1,50.0
249,Terence Kongolo,NED,DF,Fulham,26,1994,1.0,0,0,0,1,1,0,1,2,2,0,0,0,3,3,2,60.0
250,Ezri Konsa,ENG,DF,Aston Villa,22,1997,35.5,3,0,0,19,54,1,3,29,13,0,1,0,156,93,54,63.3
251,Cheikhou Kouyaté,SEN,DF,Crystal Palace,30,1989,34.7,4,0,0,36,15,0,3,32,37,0,0,0,177,82,54,60.3
252,Mateo Kovačić,CRO,MF,Chelsea,26,1994,20.2,4,0,0,16,30,0,6,15,28,0,0,0,121,11,12,47.8
253,Emil Krafth,SWE,DF,Newcastle Utd,25,1994,14.3,4,0,0,12,9,1,18,15,8,0,0,0,61,25,19,56.8
254,Filip Krovinović,CRO,MF,West Brom,24,1995,6.1,0,0,0,5,12,0,11,4,10,0,0,0,39,7,10,41.2
