Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
35,Fodé Ballo-Touré,SEN,DF,Lille,21,1997,17.7,0,4,2,50.0,0.23,0.11,0.00,0.00,20.2,0,0,0,0.4,0.4,0.10,-0.4,-0.4
36,Fodé Ballo-Touré,SEN,DF,Monaco,21,1997,17.7,0,4,1,25.0,0.23,0.06,0.00,0.00,14.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
37,Florent Balmont,FRA,MF,Dijon,38,1980,12.0,0,5,0,0.0,0.42,0.00,0.00,,32.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
38,Mario Balotelli,ITA,FW,Nice,27,1990,8.4,0,33,8,24.2,3.95,0.96,0.00,0.00,23.3,5,0,0,3.1,3.1,0.09,-3.1,-3.1
39,Mario Balotelli,ITA,FW,Marseille,27,1990,10.4,8,43,16,37.2,4.15,1.54,0.19,0.50,19.3,3,0,0,5.5,5.5,0.13,+2.5,+2.5
40,Abdoulaye Bamba,CIV,DF,Angers,28,1990,28.6,0,7,0,0.0,0.24,0.00,0.00,,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
41,Jonathan Bamba,CIV,FW|MF,Lille,22,1996,33.4,13,66,27,40.9,1.98,0.81,0.18,0.44,20.1,1,1,1,8.4,7.6,0.12,+4.6,+4.4
42,Yacine Bammou,MAR,FW|MF,Caen,26,1991,10.3,2,16,4,25.0,1.56,0.39,0.06,0.25,23.5,0,1,1,1.4,0.6,0.04,+0.6,+0.4
43,Danilo Barbosa,BRA,MF,Nice,22,1996,17.2,0,22,6,27.3,1.28,0.35,0.00,0.00,22.3,5,0,0,1.9,1.9,0.08,-1.9,-1.9
44,Antonio Barreca,ITA,DF,Monaco,23,1995,6.6,0,5,1,20.0,0.76,0.15,0.00,0.00,24.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
45,Toma Bašić,CRO,MF,Bordeaux,21,1996,14.8,2,20,7,35.0,1.35,0.47,0.10,0.29,25.7,5,0,0,1.2,1.2,0.06,+0.8,+0.8
46,Thomas Basila,FRA,DF,Nantes,19,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
47,Paul Baysse,FRA,DF,Bordeaux,30,1988,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
48,Paul Baysse,FRA,DF,Caen,30,1988,19.9,0,9,3,33.3,0.45,0.15,0.00,0.00,13.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8
49,Claudio Beauvue,GLP,FW|MF,Caen,30,1988,16.7,3,39,13,33.3,2.34,0.78,0.05,0.15,16.5,0,1,1,4.7,3.9,0.10,-1.7,-1.9
50,Hatem Ben Arfa,FRA,FW|MF,Rennes,31,1987,22.6,7,51,13,25.5,2.26,0.58,0.10,0.38,22.6,10,2,3,7.0,4.6,0.09,0.0,+0.4
51,Diego Benaglio,SUI,GK,Monaco,34,1983,22.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
52,Nicolas Benezet,FRA,MF|FW,Guingamp,27,1991,18.5,3,28,8,28.6,1.51,0.43,0.11,0.38,15.9,3,0,0,3.1,3.1,0.11,-0.1,-0.1
53,Walter Benítez,ARG,GK,Nice,25,1993,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
54,Yassine Benrahou,FRA,MF|FW,Bordeaux,19,1999,2.0,0,6,4,66.7,3.05,2.03,0.00,0.00,21.0,2,0,0,0.3,0.3,0.05,-0.3,-0.3
55,Ramy Bensebaini,ALG,DF,Rennes,23,1995,23.9,1,17,3,17.6,0.71,0.13,0.06,0.33,18.5,0,0,0,1.2,1.2,0.07,-0.2,-0.2
56,Yassine Benzia,ALG,MF,Lille,23,1994,1.8,0,6,1,16.7,3.38,0.56,0.00,0.00,25.0,1,0,0,0.2,0.2,0.04,-0.2,-0.2
57,Robert Berić,SVN,FW,Saint-Étienne,27,1991,13.1,9,37,19,51.4,2.83,1.46,0.24,0.47,10.9,0,0,0,7.5,7.5,0.20,+1.5,+1.5
58,Paul Bernardoni,FRA,GK,Nîmes,21,1997,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
59,Juan Bernat,ESP,DF|MF,Paris S-G,25,1993,20.4,1,5,1,20.0,0.25,0.05,0.20,1.00,11.1,0,0,0,0.8,0.8,0.16,+0.2,+0.2
60,Antoine Bernede,FRA,MF,Paris S-G,19,1999,1.9,0,1,1,100.0,0.53,0.53,0.00,0.00,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0
61,Dimitry Bertaud,FRA,GK,Montpellier,20,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
62,Giulian Biancone,FRA,DF,Monaco,18,2000,1.0,0,1,0,0.0,1.00,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.03,0.0,0.0
63,Ludovic Blas,FRA,MF|FW,Guingamp,20,1997,26.4,1,41,8,19.5,1.56,0.30,0.00,0.00,23.2,0,1,1,3.3,2.5,0.06,-2.3,-2.5
64,Alexis Blin,FRA,MF,Amiens,21,1996,22.1,1,7,1,14.3,0.32,0.05,0.14,1.00,19.4,0,0,0,0.4,0.4,0.06,+0.6,+0.6
65,Antonin Bobichon,FRA,MF,Nîmes,22,1995,23.9,7,36,11,30.6,1.50,0.46,0.19,0.64,23.3,5,0,0,1.9,1.9,0.05,+5.1,+5.1
66,Yann Bodiger,FRA,MF,Toulouse,23,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
67,Mathieu Bodmer,FRA,MF|FW,Amiens,35,1982,11.9,1,13,5,38.5,1.09,0.42,0.08,0.20,18.3,0,0,0,0.9,0.9,0.07,+0.1,+0.1
68,Sacha Boey,FRA,DF,Rennes,17,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
69,Olivier Boscagli,FRA,DF,Nice,20,1997,9.6,0,4,0,0.0,0.42,0.00,0.00,,25.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
70,Gabriel Boschilia,BRA,FW|MF,Nantes,22,1996,14.7,4,40,17,42.5,2.73,1.16,0.10,0.24,22.3,8,0,0,4.4,4.4,0.11,-0.4,-0.4
71,John Bostock,TRI,MF,Toulouse,26,1992,10.9,0,7,0,0.0,0.64,0.00,0.00,,27.9,1,0,0,0.2,0.2,0.03,-0.2,-0.2
72,Denis Bouanga,GAB,MF|FW,Nîmes,23,1994,29.3,8,86,32,37.2,2.94,1.09,0.09,0.25,19.4,0,0,0,7.8,7.8,0.09,+0.2,+0.2
73,Zacharie Boucher,FRA,GK,Angers,26,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
74,Arnold Bouka Moutou,CGO,DF|FW,Dijon,29,1988,0.7,0,1,0,0.0,1.36,0.00,0.00,,33.8,0,0,0,0.0,0.0,0.02,0.0,0.0
75,Benjamin Bourigeaud,FRA,MF|FW,Rennes,24,1994,26.9,6,44,14,31.8,1.63,0.52,0.09,0.29,22.9,8,2,3,6.5,4.2,0.10,-0.5,-0.2
76,Bilal Boutobba,FRA,FW|MF,Montpellier,19,1998,0.4,0,3,0,0.0,8.44,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
77,Umut Bozok,TUR,FW,Nîmes,21,1996,13.7,2,28,9,32.1,2.04,0.66,0.07,0.22,19.8,0,0,2,4.3,2.7,0.10,-2.3,-0.7
78,Pedro Brazão,POR,MF|FW,Nice,15,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
79,Anthony Briançon,FRA,DF,Nîmes,23,1994,32.5,2,20,8,40.0,0.62,0.25,0.10,0.25,12.2,0,0,0,3.1,3.1,0.15,-1.1,-1.1
80,Jimmy Briand,FRA,FW,Bordeaux,32,1985,27.7,7,51,19,37.3,1.84,0.69,0.12,0.32,15.0,0,1,1,7.0,6.2,0.12,0.0,-0.2
81,Gianluigi Buffon,ITA,GK,Paris S-G,40,1978,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
82,Patrick Burner,MTQ,DF,Nice,22,1996,15.0,0,8,0,0.0,0.53,0.00,0.00,,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
83,Ludovic Butelle,FRA,GK,Angers,35,1983,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
84,Rémy Cabella,FRA,MF|FW,Saint-Étienne,28,1990,33.3,8,81,24,29.6,2.43,0.72,0.09,0.29,18.9,1,1,1,9.9,9.1,0.12,-1.9,-2.1
85,Anthony Caci,FRA,DF,Strasbourg,21,1997,25.5,0,6,0,0.0,0.23,0.00,0.00,,27.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
86,Mathieu Cafaro,FRA,FW|MF,Reims,21,1997,23.3,7,70,22,31.4,3.01,0.95,0.10,0.32,24.5,11,0,0,3.6,3.6,0.05,+3.4,+3.4
87,Yannick Cahuzac,FRA,MF|DF,Toulouse,33,1985,15.9,1,3,1,33.3,0.19,0.06,0.33,1.00,16.6,0,0,0,0.3,0.3,0.11,+0.7,+0.7
88,Marc-Aurèle Caillard,FRA,GK,Guingamp,24,1994,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
89,Duje Ćaleta-Car,CRO,DF,Marseille,21,1996,17.2,0,9,4,44.4,0.52,0.23,0.00,0.00,14.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
90,Mahdi Camara,FRA,FW,Saint-Étienne,20,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
91,Souleymane Camara,SEN,FW|MF,Montpellier,35,1982,1.5,3,9,6,66.7,5.91,3.94,0.33,0.50,14.1,0,0,0,0.9,0.9,0.10,+2.1,+2.1
92,Eduardo Camavinga,FRA,MF,Rennes,15,2002,4.0,0,2,1,50.0,0.49,0.25,0.00,0.00,21.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
93,Pierrick Capelle,FRA,DF|MF,Angers,31,1987,20.5,3,28,7,25.0,1.37,0.34,0.11,0.43,19.8,3,0,0,2.7,2.7,0.11,+0.3,+0.3
94,Yoan Cardinale,FRA,GK,Nice,24,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
95,Diego Carlos,BRA,DF,Nantes,25,1993,35.0,1,31,4,12.9,0.89,0.11,0.03,0.25,18.9,3,0,0,2.0,2.0,0.06,-1.0,-1.0
96,Louis Carnot,FRA,MF,Guingamp,17,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
97,Lionel Carole,FRA,DF|FW,Strasbourg,27,1991,19.2,0,8,2,25.0,0.42,0.10,0.00,0.00,19.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5
98,Moreto Cassamã,GNB,MF,Reims,20,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
99,Edinson Cavani,URU,FW,Paris S-G,31,1987,18.6,18,47,17,36.2,2.53,0.92,0.30,0.82,14.2,2,4,5,14.5,10.6,0.22,+3.5,+3.4
100,Zeki Çelik,TUR,DF,Lille,21,1997,33.0,1,15,4,26.7,0.45,0.12,0.07,0.25,19.6,0,0,0,1.1,1.1,0.08,-0.1,-0.1
101,Nacer Chadli,BEL,MF|DF,Monaco,28,1989,7.7,0,2,1,50.0,0.26,0.13,0.00,0.00,23.0,1,0,0,0.1,0.1,0.05,-0.1,-0.1
102,Fouad Chafik,MAR,DF,Dijon,31,1986,20.5,0,9,3,33.3,0.44,0.15,0.00,0.00,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3
103,Kwon Chang-hoon,KOR,FW|MF,Dijon,24,1994,10.4,2,20,6,30.0,1.92,0.58,0.10,0.33,17.7,1,0,0,1.7,1.7,0.09,+0.3,+0.3
104,Xavier Chavalerin,FRA,MF,Reims,27,1991,36.0,2,22,7,31.8,0.61,0.19,0.09,0.29,24.6,0,0,0,1.0,1.0,0.05,+1.0,+1.0
105,Pablo Chavarría,ARG,FW,Reims,30,1988,21.9,5,43,18,41.9,1.96,0.82,0.12,0.28,12.8,0,0,0,5.8,5.8,0.13,-0.8,-0.8
106,Pape Cheikh Diop,SEN,MF,Lyon,20,1997,5.0,0,4,1,25.0,0.79,0.20,0.00,0.00,13.2,0,0,0,0.4,0.4,0.10,-0.4,-0.4
107,Laurent Ciman,BEL,DF,Dijon,32,1985,8.0,0,9,2,22.2,1.13,0.25,0.00,0.00,22.5,2,0,0,0.4,0.4,0.04,-0.4,-0.4
108,Till Cissokho,FRA,DF,Bordeaux,18,2000,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
109,Marcus Coco,FRA,FW|MF,Guingamp,22,1996,20.4,1,26,7,26.9,1.27,0.34,0.04,0.14,18.0,0,0,0,2.8,2.8,0.11,-1.8,-1.8
110,Racine Coly,SEN,DF|MF,Nice,22,1995,5.6,0,4,0,0.0,0.72,0.00,0.00,,18.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
111,Daniel Congré,FRA,DF,Montpellier,33,1985,36.6,2,15,5,33.3,0.41,0.14,0.13,0.40,11.3,0,0,0,2.3,2.3,0.16,-0.3,-0.3
