Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Rúnar Alex Rúnarsson,ISL,GK,Dijon,23,1995,25,25,2250,25.0,43,1.72,99,56,58.6,7,5,13,5,20.0,2,2,0,0,0.0
2,Bobby Allain,FRA,GK,Dijon,26,1991,13,13,1170,13.0,17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,0.0
3,Alphonse Areola,FRA,GK,Paris S-G,25,1993,21,21,1890,21.0,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0.0
4,Diego Benaglio,SUI,GK,Monaco,34,1983,23,22,2057,22.9,38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,0,40.0
5,Walter Benítez,ARG,GK,Nice,25,1993,35,35,3150,35.0,29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,0,60.0
6,Paul Bernardoni,FRA,GK,Nîmes,21,1997,38,38,3420,38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0
7,Dimitry Bertaud,FRA,GK,Montpellier,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
8,Zacharie Boucher,FRA,GK,Angers,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
9,Gianluigi Buffon,ITA,GK,Paris S-G,40,1978,17,17,1530,17.0,18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,0,50.0
10,Ludovic Butelle,FRA,GK,Angers,35,1983,36,36,3239,36.0,48,1.33,161,113,72.0,9,15,12,11,30.6,5,3,2,0,40.0
11,Marc-Aurèle Caillard,FRA,GK,Guingamp,24,1994,21,21,1890,21.0,34,1.62,93,58,64.5,4,7,10,6,28.6,2,1,1,0,50.0
12,Yoan Cardinale,FRA,GK,Nice,24,1994,3,3,270,3.0,6,2.00,12,6,58.3,0,1,2,0,0.0,1,1,0,0,0.0
13,Benoît Costil,FRA,GK,Bordeaux,31,1987,37,37,3330,37.0,42,1.14,152,109,76.3,9,11,17,9,24.3,7,6,1,0,14.3
14,Abdoulaye Diallo,SEN,GK,Rennes,26,1992,6,6,495,5.5,4,0.73,20,16,85.0,3,2,1,2,33.3,1,1,0,0,0.0
15,Maxime Dupé,FRA,GK,Nantes,25,1993,11,10,939,10.4,17,1.63,34,16,55.9,5,3,2,1,10.0,3,2,1,0,33.3
16,Mauro Goicoechea,URU,GK,Toulouse,30,1988,8,7,712,7.9,12,1.52,35,23,68.6,2,3,2,3,42.9,1,1,0,0,0.0
17,Mathieu Gorgelin,FRA,GK,Lyon,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,
18,Régis Gurtner,FRA,GK,Amiens,31,1986,38,38,3420,38.0,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25.0
19,Karl-Johan Johnsson,SWE,GK,Guingamp,28,1990,17,17,1530,17.0,34,2.00,78,43,59.0,1,5,11,4,23.5,4,2,1,1,33.3
20,Eiji Kawashima,JPN,GK,Strasbourg,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
21,Tomáš Koubek,CZE,GK,Rennes,25,1992,33,32,2925,32.5,48,1.48,138,90,67.4,10,11,11,9,28.1,4,3,1,0,25.0
