Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec
Amiens,26,,38.0,20420,2115,6267,10079,4295,507,20417,485,257,53.0,227,46.8,10378,57014,28955,518,388,85,645,402,11837
Angers,24,,38.0,21133,1925,6496,10339,4544,649,21123,561,316,56.3,245,43.7,10395,59303,31790,700,537,134,611,446,12834
Bordeaux,33,,38.0,22991,2210,7383,11299,4566,556,22985,657,345,52.5,312,47.5,12741,69799,37229,742,532,140,606,427,14411
Caen,26,,38.0,20025,2201,6881,9794,3563,450,20021,535,268,50.1,267,49.9,9667,53957,26317,500,405,66,656,412,11381
Dijon,26,,38.0,21354,2162,6625,10126,4857,598,21350,602,350,58.1,252,41.9,11125,67253,35482,677,515,115,603,383,12929
Guingamp,30,,38.0,19990,1856,5712,9693,4825,680,19984,573,354,61.8,219,38.2,9165,59010,29292,645,489,139,605,475,11242
Lille,25,,38.0,22423,1942,6276,11493,4899,672,22410,632,365,57.8,267,42.2,12898,73225,39974,757,648,172,550,461,14412
Lyon,25,,38.0,26905,1993,6483,14139,6516,1008,26895,764,463,60.6,301,39.4,17306,95052,52811,977,708,255,601,454,18891
Marseille,24,,38.0,24294,1972,6839,12198,5526,787,24289,655,355,54.2,299,45.6,14818,78072,41164,809,639,159,570,366,15837
Monaco,42,,38.0,22263,1881,6325,10873,5284,694,22258,574,292,50.9,282,49.1,12649,70228,39454,773,547,134,640,350,14006
Montpellier,25,,38.0,22177,2056,6793,10466,5110,659,22174,563,303,53.8,260,46.2,10848,60471,30342,601,426,127,600,387,13466
Nantes,33,,38.0,22164,2063,6408,10385,5599,691,22156,507,280,55.2,227,44.8,11768,58910,31689,656,509,131,645,396,13223
Nice,30,,38.0,25818,2474,8543,12993,4533,667,25809,927,506,54.6,421,45.4,13450,70876,39675,740,517,242,653,409,17947
Nîmes,23,,38.0,20197,1847,6344,9054,5034,663,20191,681,362,53.2,319,46.8,10101,58854,31970,717,482,185,645,405,11265
Paris S-G,30,,38.0,28901,1840,6504,15314,7323,1110,28888,748,453,60.6,293,39.2,17807,95583,54256,993,746,253,501,454,21754
Reims,27,,38.0,20060,2151,7361,8846,4127,608,20058,588,319,54.3,269,45.7,10123,61064,32182,593,398,123,603,338,11495
Rennes,28,,38.0,22207,1905,6565,10831,5086,673,22197,768,390,50.8,378,49.2,12496,73573,39806,884,602,180,611,373,14057
Saint-Étienne,29,,38.0,23365,2117,7530,10996,5066,769,23360,568,314,55.3,254,44.7,11619,64037,34370,753,492,177,518,408,14976
Strasbourg,26,,38.0,22722,2144,7076,10905,4953,565,22716,515,286,55.5,229,44.5,13141,68647,37582,683,549,109,591,399,14623
Toulouse,29,,38.0,21560,2377,6780,10135,4892,662,21549,695,366,52.7,328,47.2,11336,63368,34445,684,513,159,696,447,12795
