Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Ismael Aaneba,FRA,DF,Strasbourg,19,1999,2.3,73,120,60.8,1324,635,32,43,74.4,31,51,60.8,9,17,52.9,0,0.4,0.2,-0.4,2,6,2,2,8
2,Yunis Abdelhamid,MAR,DF,Reims,30,1987,38.0,1330,1614,82.4,28130,10765,344,405,84.9,804,877,91.7,171,289,59.2,0,0.1,0.3,-0.1,3,49,3,0,71
3,Mehdi Abeid,ALG,MF,Dijon,25,1992,22.5,903,1068,84.6,15602,3725,419,466,89.9,365,405,90.1,90,143,62.9,0,1.6,0.8,-1.6,22,92,5,2,97
4,Charles Abi,FRA,DF|FW,Saint-Étienne,18,2000,0.4,6,17,35.3,45,8,5,7,71.4,0,4,0.0,0,2,0.0,0,0.0,0.0,0.0,1,0,1,0,1
5,Khaled Adénon,BEN,DF,Amiens,33,1985,22.2,837,973,86.0,17115,6832,237,258,91.9,476,518,91.9,109,168,64.9,0,0.1,0.2,-0.1,5,53,3,0,63
6,Yacine Adli,FRA,MF,Bordeaux,18,2000,2.4,111,151,73.5,1783,526,54,69,78.3,45,59,76.3,9,16,56.3,0,0.8,0.9,-0.8,6,17,2,1,17
7,Nayef Aguerd,MAR,DF,Dijon,22,1996,11.7,465,604,77.0,9427,4171,153,167,91.6,223,264,84.5,80,148,54.1,0,0.1,0.1,-0.1,2,39,3,2,32
8,Ruben Aguilar,FRA,DF,Montpellier,25,1993,28.1,1315,1640,80.2,20563,7554,730,806,90.6,468,573,81.7,86,159,54.1,4,2.5,2.7,+1.5,44,82,46,25,128
9,Jean-Eudes Aholou,CIV,MF,Monaco,24,1994,11.9,463,549,84.3,7732,2051,217,245,88.6,193,218,88.5,40,56,71.4,1,0.6,0.5,+0.4,8,50,4,1,64
10,Youssef Aït Bennasser,MAR,MF,Saint-Étienne,22,1996,10.4,572,656,87.2,10579,2532,247,274,90.1,241,269,89.6,72,83,86.7,0,0.4,0.4,-0.4,7,42,7,2,67
11,Youssef Aït Bennasser,MAR,MF,Monaco,22,1996,11.9,633,737,85.9,12117,3794,237,257,92.2,303,336,90.2,82,119,68.9,2,0.8,0.6,+1.2,12,70,6,0,86
12,Rayan Aït Nouri,ALG,DF|MF,Angers,17,2001,0.6,30,35,85.7,352,145,21,23,91.3,6,9,66.7,1,1,100.0,0,0.0,0.1,0.0,0,3,1,0,3
13,Ludovic Ajorque,FRA,FW,Strasbourg,24,1994,17.0,339,459,73.9,4886,562,199,254,78.3,88,114,77.2,28,36,77.8,1,1.0,1.1,0.0,13,20,7,1,25
14,Sofiane Alakouch,MAR,DF,Nîmes,20,1998,21.1,832,1096,75.9,11690,5247,522,588,88.8,237,313,75.7,38,105,36.2,0,1.5,1.3,-1.5,21,50,15,5,79
15,Alexis Alegue,FRA,FW,Nantes,21,1996,0.1,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
16,Rúnar Alex Rúnarsson,ISL,GK,Dijon,23,1995,25.0,623,871,71.5,19553,15144,70,70,100.0,302,305,99.0,250,487,51.3,0,0.0,0.1,0.0,0,10,1,0,0
17,Rachid Alioui,MAR,FW,Nîmes,26,1992,13.9,266,383,69.5,3443,668,182,231,78.8,54,84,64.3,11,27,40.7,0,1.2,0.7,-1.2,20,20,14,3,22
18,Bobby Allain,FRA,GK,Dijon,26,1991,13.0,292,458,63.8,11262,9840,14,14,100.0,108,114,94.7,170,330,51.5,0,0.0,0.1,0.0,0,17,1,0,0
19,Mickaël Alphonse,GLP,DF,Dijon,29,1989,6.3,185,301,61.5,2970,1145,90,111,81.1,76,115,66.1,12,54,22.2,0,0.4,0.3,-0.4,8,13,4,4,18
20,Dani Alves,BRA,MF|DF,Paris S-G,35,1983,18.0,1316,1581,83.2,18569,6221,766,822,93.2,359,437,82.2,88,148,59.5,7,6.4,5.5,+0.6,33,135,47,11,163
21,Romain Amalfitano,FRA,MF|FW,Dijon,28,1989,28.0,835,1083,77.1,15893,4409,332,390,85.1,344,405,84.9,131,219,59.8,0,0.9,1.3,-0.9,15,105,26,6,134
22,Jordan Amavi,FRA,DF,Marseille,24,1994,24.2,961,1282,75.0,15187,4547,516,580,89.0,340,470,72.3,72,143,50.3,2,2.0,1.5,0.0,26,47,19,16,82
23,Kelvin Amian,FRA,DF,Toulouse,20,1998,32.0,942,1208,78.0,14384,6159,530,603,87.9,322,411,78.3,59,130,45.4,1,0.8,0.7,+0.2,8,75,12,4,106
