Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,Yunis Abdelhamid,MAR,DF,Reims,33,1987,33.1,1919,212,1017,843,84,24,1919,18,14,77.8,4,22.2,1194,6451,3558,23,19,0,28,13,1202,14
2,Salis Abdul Samed,GHA,MF,Clermont Foot,21,2000,27.4,1948,39,557,1146,261,16,1948,41,26,63.4,15,36.6,1386,6570,2687,24,23,3,42,30,1481,47
3,Laurent Abergel,FRA,MF,Lorient,28,1993,32.8,2032,24,404,1298,357,13,2032,61,39,63.9,22,36.1,1311,5629,2353,30,39,3,52,40,1410,73
4,Charles Abi,FRA,FW,Saint-Étienne,21,2000,0.5,12,0,0,5,8,1,12,0,0,,0,,7,11,1,0,0,0,3,0,9,4
5,Matthis Abline,FRA,FW,Rennes,18,2003,1.1,20,1,1,6,13,3,20,6,3,50.0,3,50.0,11,55,17,1,1,0,1,3,12,6
6,Mohamed Achi,FRA,MF,Nantes,19,2002,0.1,9,0,2,5,2,0,9,0,0,,0,,9,34,12,0,0,0,0,0,8,0
7,Martin Adeline,FRA,MF|FW,Reims,17,2003,3.9,193,8,42,91,64,7,193,9,6,66.7,3,33.3,108,528,247,5,5,1,8,6,101,13
8,Yacine Adli,FRA,MF|FW,Bordeaux,21,2000,25.1,1531,16,266,793,491,45,1531,80,46,57.5,34,42.5,996,5781,2665,66,50,17,59,47,1050,99
9,Lucien Agoume,FRA,MF,Brest,19,2002,20.8,1210,55,354,666,206,30,1210,32,22,68.8,10,31.3,705,3509,1564,16,19,6,19,17,741,28
10,Nayef Aguerd,MAR,DF,Rennes,25,1996,30.4,2469,221,1143,1274,59,34,2469,6,5,83.3,1,16.7,1611,7937,4516,11,7,0,7,4,1849,1
11,Ruben Aguilar,FRA,DF,Monaco,28,1993,23.8,1995,76,507,1015,487,27,1995,11,5,45.5,6,54.5,1133,5438,2920,61,54,4,31,5,1187,101
