Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Yunis Abdelhamid,MAR,DF,Reims,33,1987,33.1,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0,0.8,0.6,-0.8,9,95,7,0,119
2,Salis Abdul Samed,GHA,MF,Clermont Foot,21,2000,27.4,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0,0.9,0.8,-0.9,17,87,13,1,108
3,Laurent Abergel,FRA,MF,Lorient,28,1993,32.8,1342,1660,80.8,23767,6837,606,679,89.2,535,620,86.3,152,236,64.4,2,3.7,2.6,-1.7,35,147,23,9,171
4,Charles Abi,FRA,FW,Saint-Étienne,21,2000,0.5,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
5,Matthis Abline,FRA,FW,Rennes,18,2003,1.1,7,9,77.8,72,15,5,7,71.4,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,2
6,Mohamed Achi,FRA,MF,Nantes,19,2002,0.1,6,9,66.7,102,10,1,1,100.0,3,6,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
7,Martin Adeline,FRA,MF|FW,Reims,17,2003,3.9,107,147,72.8,1681,608,51,63,81.0,39,47,83.0,9,14,64.3,0,0.5,0.2,-0.5,3,8,3,0,16
8,Yacine Adli,FRA,MF|FW,Bordeaux,21,2000,25.1,906,1251,72.4,17505,6047,410,480,85.4,310,407,76.2,157,279,56.3,7,5.7,4.3,+1.3,59,122,36,4,164
9,Lucien Agoume,FRA,MF,Brest,19,2002,20.8,836,996,83.9,15009,4513,371,417,89.0,328,377,87.0,112,141,79.4,0,0.7,0.6,-0.7,13,86,8,0,116
10,Nayef Aguerd,MAR,DF,Rennes,25,1996,30.4,1959,2204,88.9,40414,15329,613,660,92.9,1050,1106,94.9,277,398,69.6,2,0.3,0.3,+1.7,4,118,2,0,101
