Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
87,John Boye,GHA,DF,Metz,32,1987,23.5,6,0,0,21,18,1,0,31,19,0,0,0,123,46,31,59.7
88,Domagoj Bradarić,CRO,DF,Lille,19,1999,15.8,1,0,0,11,14,1,93,22,11,0,0,0,78,10,22,31.3
89,Anthony Briançon,FRA,DF,Nîmes,24,1994,19.3,0,2,0,10,14,2,4,39,19,0,1,0,110,39,32,54.9
90,Jimmy Briand,FRA,FW,Bordeaux,33,1985,16.9,1,0,0,9,24,9,3,6,8,0,0,0,49,33,67,33.0
91,Dylan Bronn,TUN,DF,Metz,24,1995,9.0,0,0,0,4,5,0,0,6,5,0,0,0,36,13,13,50.0
92,Lucas Buadés,FRA,MF|FW,Nîmes,21,1997,1.3,0,0,0,3,4,1,0,1,4,0,0,0,7,0,0,
93,Patrick Burner,MTQ,DF,Nice,23,1996,15.9,6,1,1,18,9,0,24,30,25,0,0,0,86,8,24,25.0
94,Ludovic Butelle,FRA,GK,Angers,36,1983,26.0,0,0,0,0,5,0,0,0,1,0,0,0,20,6,0,100.0
95,Marcin Bułka,POL,GK,Paris S-G,19,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,Yohan Cabaye,FRA,MF,Saint-Étienne,33,1986,9.5,3,0,0,21,12,0,24,22,18,0,0,0,60,8,8,50.0
97,Manuel Cabit,MTQ,DF,Metz,26,1993,3.0,2,0,0,6,9,0,8,4,1,0,1,0,17,1,3,25.0
98,Anthony Caci,FRA,DF,Strasbourg,22,1997,7.7,0,0,0,11,5,0,21,19,17,0,0,0,46,6,9,40.0
99,Jhonder Cádiz,VEN,FW|MF,Dijon,24,1995,8.9,3,0,0,14,21,5,7,1,8,0,0,0,15,45,39,53.6
100,Mathieu Cafaro,FRA,FW|MF,Reims,22,1997,10.3,3,1,1,16,21,1,93,2,6,1,0,0,46,5,13,27.8
101,Jonathan Cafu,BRA,DF,Bordeaux,28,1991,2.2,0,0,0,5,7,1,3,1,3,0,0,0,11,0,6,0.0
