Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
32,Dennis Appiah,FRA,DF,Nantes,27,1992,19,1605,84,63.7,17.8,18,88,16,1,28,5,1.37,16,16,0,0.00,+0.30,19.8,18.9,+0.9,+0.05,+0.26
33,Luiz Araújo,BRA,FW|MF,Lille,23,1996,21,828,39,32.9,9.2,7,84,3,14,17,5,1.48,11,14,-3,-0.33,-0.91,14.1,13.1,+1.0,+0.10,-0.32
34,Alphonse Areola,FRA,GK,Paris S-G,26,1993,3,270,90,11.1,3.0,3,90,3,0,,1,2.00,8,2,+6,+2.00,+0.13,8.6,1.9,+6.7,+2.22,+0.37
35,Youcef Atal,ALG,FW|DF,Nice,23,1996,13,1003,77,39.8,11.1,12,81,8,1,28,0,1.31,15,16,-1,-0.09,-0.33,11.8,18.1,-6.3,-0.56,-0.45
36,Jean-Kévin Augustin,FRA,FW,Monaco,22,1997,10,266,27,10.6,3.0,2,70,0,8,16,6,1.60,5,5,0,0.00,0.00,6.0,3.3,+2.6,+0.89,+0.75
37,Mathias Autret,FRA,MF|FW,Brest,28,1991,23,1222,53,48.5,13.6,14,74,1,9,21,1,1.09,14,10,+4,+0.29,+0.78,14.1,19.0,-4.9,-0.36,+0.33
38,Ludovic Baal,GUF,DF,Brest,33,1986,11,827,75,32.8,9.2,9,90,9,2,8,13,1.45,14,10,+4,+0.44,+0.81,12.5,13.3,-0.8,-0.09,+0.65
39,Benoît Badiashile,FRA,DF,Monaco,18,2001,16,1411,88,56.0,15.7,16,88,14,0,,12,1.44,23,23,0,0.00,0.00,26.7,25.0,+1.7,+0.11,-0.25
40,Bastian Badu,FRA,FW,Montpellier,19,2000,1,9,9,0.4,0.1,0,,0,1,8,1,1.00,0,0,0,0.00,-0.04,0.1,0.1,0.0,-0.13,-0.15
41,Stéphane Bahoken,CMR,FW,Angers,27,1992,20,907,45,36.0,10.1,10,67,1,10,24,1,1.55,14,9,+5,+0.50,+1.05,12.4,9.0,+3.4,+0.33,+0.47
42,Dénys Bain,FRA,DF,Brest,26,1993,15,1268,85,50.3,14.1,13,88,12,2,59,3,1.27,16,15,+1,+0.07,+0.36,12.5,26.0,-13.5,-0.96,-0.86
43,Stefan Bajic,FRA,GK,Saint-Étienne,17,2001,1,90,90,3.6,1.0,1,90,1,0,,5,0.00,0,1,-1,-1.00,-0.44,1.3,0.8,+0.5,+0.50,+0.79
44,Tiemoué Bakayoko,FRA,MF,Monaco,24,1994,20,1719,86,68.2,19.1,20,86,17,0,,0,1.45,36,30,+6,+0.31,+0.99,36.5,29.2,+7.3,+0.38,+0.51
45,Mitchel Bakker,NED,DF,Paris S-G,19,2000,1,90,90,3.7,1.0,1,90,1,0,,2,1.00,4,4,0,0.00,-1.96,3.2,1.3,+1.9,+1.87,-0.02
46,Keita Baldé,SEN,FW|MF,Monaco,24,1995,21,858,41,34.0,9.5,9,75,2,12,15,4,1.52,17,14,+3,+0.31,+0.48,17.2,15.0,+2.2,+0.23,+0.02
47,Fodé Ballo-Touré,SEN,DF,Monaco,22,1997,21,1679,80,66.6,18.7,18,90,18,3,19,4,1.24,29,38,-9,-0.48,-1.45,34.5,31.1,+3.5,+0.19,-0.10
48,Florent Balmont,FRA,MF,Dijon,39,1980,11,401,36,15.9,4.5,4,74,2,7,15,13,1.45,2,4,-2,-0.45,-0.11,4.6,4.5,+0.1,+0.02,+0.37
49,Abdoulaye Bamba,CIV,DF,Angers,29,1990,7,554,79,22.0,6.2,6,90,6,1,13,7,2.14,9,3,+6,+0.97,+1.48,6.0,5.5,+0.5,+0.08,+0.06
50,Jonathan Bamba,CIV,FW|MF,Lille,23,1996,26,1937,75,76.9,21.5,22,85,13,4,17,1,1.77,27,20,+7,+0.33,+0.17,30.3,24.1,+6.2,+0.29,-0.12
51,Théo Barbet,FRA,DF,Dijon,18,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,
52,Danilo Barbosa,BRA,DF|MF,Nice,23,1996,16,1122,70,44.5,12.5,12,89,11,4,15,7,1.38,17,15,+2,+0.16,+0.10,15.5,20.7,-5.2,-0.41,-0.22
53,Melvin Bard,FRA,DF,Lyon,18,2000,1,45,45,1.8,0.5,0,,0,1,45,1,3.00,3,0,+3,+6.00,+5.56,0.9,0.1,+0.9,+1.77,+1.42
54,Toma Bašić,CRO,MF,Bordeaux,22,1996,15,991,66,39.3,11.0,11,83,6,4,19,6,1.53,14,14,0,0.00,-0.35,13.0,16.2,-3.2,-0.29,-0.09
55,Thomas Basila,FRA,DF,Nantes,20,1999,7,415,59,16.5,4.6,3,91,3,4,36,10,0.57,4,8,-4,-0.87,-0.91,4.6,4.0,+0.6,+0.13,+0.21
56,Gil Bastião Dias,POR,DF|MF,Monaco,22,1996,14,1057,76,41.9,11.7,12,84,10,2,26,6,1.57,17,11,+6,+0.51,+0.88,18.4,16.6,+1.9,+0.16,-0.10
57,Cristian Battocchio,ITA,MF,Brest,27,1992,24,1392,58,55.2,15.5,16,81,9,8,11,2,1.38,22,21,+1,+0.06,+0.38,20.4,23.2,-2.8,-0.18,+0.77
58,Paul Baysse,FRA,DF,Bordeaux,31,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,
59,Gaëtan Belaud,FRA,DF,Brest,32,1986,7,580,83,23.0,6.4,6,89,5,1,45,10,1.14,5,7,-2,-0.31,-0.26,7.1,8.1,-1.0,-0.16,+0.48
60,Haris Belkebla,ALG,MF,Brest,25,1994,23,1816,79,72.1,20.2,20,88,18,3,22,1,1.13,20,22,-2,-0.10,+0.03,21.1,32.7,-11.6,-0.57,-0.16
61,Raoul Bellanova,ITA,DF,Bordeaux,19,2000,1,62,62,2.5,0.7,1,62,0,0,,5,0.00,1,3,-2,-2.90,-3.20,0.8,1.6,-0.8,-1.19,-0.98
62,Jean-Ricner Bellegarde,FRA,MF,Strasbourg,21,1998,24,1497,62,61.6,16.6,16,82,7,8,24,0,1.21,14,19,-5,-0.30,-0.78,19.9,19.3,+0.7,+0.04,-0.09
63,Sami Ben Amar,MAR,FW,Nîmes,21,1998,2,14,7,0.6,0.2,0,,0,2,6,5,2.00,0,0,0,0.00,+0.54,0.2,0.8,-0.6,-3.85,-3.49
64,Wissam Ben Yedder,FRA,FW,Monaco,28,1990,26,2164,83,85.9,24.0,25,85,15,1,29,0,1.50,40,36,+4,+0.17,+1.18,44.5,36.7,+7.8,+0.32,+0.74
65,Diego Benaglio,SUI,GK,Monaco,35,1983,0,,,0.0,0.0,0,,0,0,,8,0.00,0,3,-3,,,,,,,
66,Cristian Benavente,PER,MF|FW,Nantes,25,1994,12,349,29,13.8,3.9,4,68,0,8,10,10,1.50,5,4,+1,+0.26,+0.42,4.5,4.0,+0.4,+0.11,+0.18
67,Darío Benedetto,ARG,FW,Marseille,29,1990,26,2101,81,83.4,23.3,25,83,10,1,17,0,1.92,33,24,+9,+0.39,-0.26,30.2,27.0,+3.2,+0.14,-0.14
68,Walter Benítez,ARG,GK,Nice,26,1993,26,2340,90,92.9,26.0,26,90,26,0,,0,1.35,37,36,+1,+0.04,-0.96,32.1,41.7,-9.7,-0.37,-1.10
69,Loris Benito,SUI,DF,Bordeaux,27,1992,23,1896,82,75.2,21.1,21,89,19,2,17,0,1.22,27,28,-1,-0.05,-1.06,21.5,28.6,-7.2,-0.34,-0.43
70,Bilal Benkhedim,FRA,MF|FW,Saint-Étienne,18,2001,3,132,44,5.2,1.5,1,92,1,2,20,1,0.33,1,2,-1,-0.68,-0.12,1.7,1.0,+0.8,+0.53,+0.84
71,Yassine Benrahou,FRA,FW|MF,Bordeaux,20,1999,6,168,28,6.7,1.9,1,69,0,5,20,2,1.50,2,2,0,0.00,-0.23,2.1,1.8,+0.3,+0.18,+0.45
72,Yassine Benrahou,FRA,MF|FW,Nîmes,20,1999,9,762,85,30.2,8.5,9,85,6,0,,0,1.67,15,9,+6,+0.71,+1.78,11.5,8.4,+3.1,+0.37,+1.07
73,Yassine Benzia,ALG,MF,Dijon,24,1994,3,173,58,6.9,1.9,2,64,0,1,45,0,0.67,3,3,0,0.00,+0.38,2.0,1.2,+0.8,+0.40,+0.73
74,Robert Berić,SVN,FW,Saint-Étienne,28,1991,11,413,38,16.4,4.6,4,70,1,7,19,6,1.00,8,6,+2,+0.44,+1.20,8.3,4.9,+3.4,+0.75,+1.21
75,Paul Bernardoni,FRA,GK,Nîmes,22,1997,25,2203,88,87.4,24.5,25,88,24,0,,0,1.00,25,38,-13,-0.53,+0.04,27.3,34.4,-7.1,-0.29,+0.71
76,Juan Bernat,ESP,DF|MF,Paris S-G,26,1993,18,1388,77,57.1,15.4,16,85,12,2,16,2,2.28,42,15,+27,+1.75,-0.32,45.1,13.2,+31.9,+2.07,+0.41
77,Dimitry Bertaud,FRA,GK,Montpellier,21,1998,3,196,65,7.8,2.2,3,65,2,0,,21,0.00,0,3,-3,-1.38,-1.53,3.9,3.2,+0.7,+0.31,+0.32
78,El Bilal Touré,MLI,FW,Reims,17,2001,7,453,65,18.0,5.0,6,73,1,1,16,0,1.71,5,3,+2,+0.40,+0.27,5.4,5.4,-0.1,-0.01,-0.11
79,Ludovic Blas,FRA,FW|MF,Nantes,21,1997,24,1845,77,73.2,20.5,22,82,7,2,20,0,1.25,18,27,-9,-0.44,-1.24,21.2,24.5,-3.2,-0.16,-0.42
80,Alexis Blin,FRA,MF,Amiens,22,1996,24,1841,77,73.1,20.5,21,85,14,3,18,4,0.92,24,33,-9,-0.44,+0.89,20.7,26.4,-5.7,-0.28,+0.55
81,Florentin Bloch,FRA,GK,Toulouse,19,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
82,Antonin Bobichon,FRA,MF,Nîmes,23,1995,2,180,90,7.1,2.0,2,90,2,0,,0,0.00,1,5,-4,-2.00,-1.58,1.8,5.4,-3.6,-1.82,-1.56
83,Antonin Bobichon,FRA,MF,Angers,23,1995,11,649,59,25.8,7.2,8,71,1,3,26,11,1.73,6,6,0,0.00,+0.24,5.8,6.5,-0.8,-0.11,-0.19
84,Mathieu Bodmer,FRA,MF|FW,Amiens,36,1982,9,88,10,3.5,1.0,0,,0,9,9,4,1.22,3,3,0,0.00,+0.70,1.8,2.2,-0.5,-0.49,-0.07
85,Sacha Boey,FRA,DF,Rennes,18,2000,5,172,34,6.8,1.9,1,93,1,4,20,5,2.17,5,4,+1,+0.52,+0.02,3.6,4.1,-0.5,-0.28,-0.56
86,Quentin Boisgard,FRA,MF|FW,Toulouse,22,1997,20,1146,57,45.5,12.7,13,79,2,7,18,8,0.40,10,24,-14,-1.10,+0.34,13.1,19.5,-6.4,-0.50,-0.01
87,Pépé Bonet,FRA,GK,Rennes,16,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
88,Gabriel Boschilia,BRA,MF|FW,Monaco,23,1996,5,130,26,5.2,1.4,1,58,0,4,18,4,1.40,1,4,-3,-2.08,-2.19,1.7,2.8,-1.1,-0.74,-1.01
89,Ivann Botella,FRA,FW,Strasbourg,20,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
90,Denis Bouanga,GAB,FW|MF,Saint-Étienne,24,1994,26,2042,79,81.0,22.7,23,85,16,3,31,0,1.15,26,34,-8,-0.35,+1.15,25.5,33.3,-7.8,-0.34,-0.42
91,Hicham Boudaoui,ALG,MF|FW,Nice,19,1999,9,490,54,19.4,5.4,6,70,1,3,24,5,1.56,11,9,+2,+0.37,+0.32,7.2,8.6,-1.4,-0.26,+0.04
92,Ryad Boudebouz,ALG,MF|FW,Saint-Étienne,29,1990,24,1597,67,63.4,17.7,20,76,8,4,19,2,1.00,16,26,-10,-0.56,+0.02,17.3,23.8,-6.5,-0.37,-0.28
93,Farid Boulaya,ALG,FW,Metz,26,1993,19,821,43,32.6,9.1,8,80,1,11,16,3,1.21,10,12,-2,-0.22,+0.10,8.9,13.5,-4.6,-0.50,-0.16
94,Benjamin Bourigeaud,FRA,MF,Rennes,25,1994,25,1903,76,75.5,21.1,21,86,16,4,23,0,1.84,29,20,+9,+0.43,-0.30,27.1,21.4,+5.7,+0.27,+0.09
95,Bilal Boutobba,FRA,MF,Montpellier,20,1998,1,5,5,0.2,0.1,0,,0,1,4,2,0.00,0,0,0,0.00,-0.04,0.2,0.6,-0.4,-7.52,-7.55
96,John Boye,GHA,DF,Metz,32,1987,24,2115,88,83.9,23.5,24,88,23,0,,1,1.29,21,28,-7,-0.30,-0.08,22.1,31.8,-9.6,-0.41,-0.11
97,Domagoj Bradarić,CRO,DF,Lille,19,1999,18,1419,79,56.3,15.8,16,88,14,2,3,4,1.94,22,15,+7,+0.44,+0.36,25.6,18.4,+7.2,+0.46,+0.32
98,Anthony Briançon,FRA,DF,Nîmes,24,1994,22,1737,79,68.9,19.3,20,86,17,2,9,0,0.91,15,31,-16,-0.83,-0.94,18.2,28.8,-10.7,-0.55,-0.56
99,Jimmy Briand,FRA,FW,Bordeaux,33,1985,22,1525,69,60.5,16.9,18,82,12,4,11,0,1.27,22,18,+4,+0.24,+0.06,18.8,19.9,-1.1,-0.07,+0.43
100,Dylan Bronn,TUN,DF,Metz,24,1995,9,810,90,32.1,9.0,9,90,9,0,,0,1.89,10,7,+3,+0.33,+0.91,7.9,13.1,-5.2,-0.57,-0.26
101,Lucas Buadés,FRA,MF|FW,Nîmes,21,1997,6,121,20,4.8,1.3,1,76,0,5,9,10,0.83,1,5,-4,-2.98,-2.56,0.7,3.5,-2.8,-2.06,-1.77
102,Jonathan Bumbu,FRA,MF,Amiens,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
103,Patrick Burner,MTQ,DF,Nice,23,1996,20,1434,72,56.9,15.9,15,88,12,5,24,5,1.25,21,25,-4,-0.25,-0.83,19.6,24.3,-4.6,-0.29,0.00
104,Ludovic Butelle,FRA,GK,Angers,36,1983,26,2340,90,92.9,26.0,26,90,26,0,,1,1.38,27,32,-5,-0.19,-0.19,27.8,26.9,+0.9,+0.03,+0.03
105,Marcin Bułka,POL,GK,Paris S-G,19,1999,1,90,90,3.7,1.0,1,90,1,0,,3,3.00,2,0,+2,+2.00,+0.12,1.6,0.4,+1.2,+1.23,-0.69
106,Yohan Cabaye,FRA,MF,Saint-Étienne,33,1986,15,858,57,34.0,9.5,12,69,4,3,10,1,1.13,8,16,-8,-0.84,-0.41,10.8,13.5,-2.7,-0.28,-0.03
107,Manuel Cabit,MTQ,DF,Metz,26,1993,3,270,90,10.7,3.0,3,90,3,0,,9,1.33,3,4,-1,-0.33,-0.05,3.5,3.5,0.0,+0.01,+0.45
108,Anthony Caci,FRA,DF,Strasbourg,22,1997,8,691,86,28.4,7.7,8,86,6,0,,1,1.88,16,8,+8,+1.04,+1.46,12.0,7.5,+4.5,+0.59,+0.72
109,Jhonder Cádiz,VEN,FW|MF,Dijon,24,1995,17,799,47,31.7,8.9,7,83,5,10,22,2,1.29,9,13,-4,-0.45,-0.14,10.1,16.0,-6.0,-0.67,-0.57
110,Mathieu Cafaro,FRA,FW|MF,Reims,22,1997,13,924,71,36.7,10.3,12,76,4,1,14,0,1.38,9,7,+2,+0.19,+0.03,10.9,9.9,+1.0,+0.10,+0.03
111,Jonathan Cafu,BRA,DF,Bordeaux,28,1991,3,201,67,8.0,2.2,2,90,1,1,21,1,2.00,8,2,+6,+2.69,+2.69,3.7,2.7,+1.0,+0.45,+0.74
112,Arturo Calabresi,ITA,DF,Amiens,23,1996,21,1878,89,74.5,20.9,21,89,20,0,,2,0.76,23,38,-15,-0.72,-0.16,21.6,28.3,-6.7,-0.32,+0.41
113,Duje Ćaleta-Car,CRO,DF,Marseille,22,1996,23,1886,82,74.8,21.0,20,90,20,3,28,3,2.04,29,22,+7,+0.33,-0.38,26.5,22.2,+4.3,+0.20,+0.18
114,Mahdi Camara,FRA,MF,Saint-Étienne,21,1998,12,901,75,35.8,10.0,10,89,9,2,8,4,1.00,13,20,-7,-0.70,-0.20,11.0,14.9,-3.9,-0.39,-0.19
115,Souleymane Camara,SEN,FW,Montpellier,36,1982,13,163,13,6.5,1.8,0,,0,13,12,14,1.15,2,1,+1,+0.55,+0.55,2.6,3.3,-0.7,-0.39,-0.43
116,Eduardo Camavinga,FRA,MF,Rennes,16,2002,25,2107,84,83.6,23.4,24,87,18,1,25,1,1.96,32,21,+11,+0.47,-0.18,31.6,26.2,+5.3,+0.23,-0.11
117,Pierrick Capelle,FRA,MF|DF,Angers,32,1987,24,1747,73,69.3,19.4,20,83,15,4,21,0,1.33,17,29,-12,-0.62,-1.43,20.0,19.8,+0.2,+0.01,-0.07
118,Maxence Caqueret,FRA,MF,Lyon,19,2000,8,568,71,22.5,6.3,7,80,4,1,11,12,1.63,10,5,+5,+0.79,+0.33,8.8,6.5,+2.4,+0.37,-0.01
119,Yoan Cardinale,FRA,GK,Nice,25,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,
120,Irvin Cardona,FRA,FW|MF,Brest,21,1997,21,1450,69,57.5,16.1,15,88,10,6,22,2,1.24,22,22,0,0.00,+0.25,19.6,25.4,-5.8,-0.36,+0.40
121,Lionel Carole,FRA,DF,Strasbourg,28,1991,18,1272,71,52.3,14.1,14,87,11,4,14,8,1.44,13,24,-11,-0.78,-1.63,16.2,22.2,-6.0,-0.42,-1.05
122,Matis Carvalho,POR,GK,Montpellier,20,1999,1,72,72,2.9,0.8,0,,0,1,71,6,0.00,0,4,-4,-5.00,-5.18,0.2,2.7,-2.5,-3.18,-3.29
123,Moreto Cassamã,GNB,MF,Reims,21,1998,7,592,85,23.5,6.6,7,85,5,0,,5,1.71,8,5,+3,+0.46,+0.36,6.6,6.5,+0.1,+0.01,-0.09
