Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
441,Valentin Rongier,FRA,MF,Marseille,24,1994,19.9,1535,24,232,965,347,30,1534,31,27,87.1,4,12.9,948,4749,2283,39,28,5,32,21,1063,40
442,Valentin Rongier,FRA,MF,Nantes,24,1994,3.0,204,2,18,109,78,6,204,3,3,100.0,0,0.0,124,524,212,5,3,2,6,2,140,12
443,Nolan Roux,FRA,FW,Nîmes,31,1988,6.5,216,7,17,89,111,34,216,7,2,28.6,5,71.4,107,472,166,5,2,3,16,8,142,39
444,Stéphane Ruffier,FRA,GK,Saint-Étienne,32,1986,22.0,671,584,670,1,0,0,671,0,0,,0,,272,1673,1170,0,0,0,0,0,252,0
445,Gerónimo Rulli,ARG,GK,Montpellier,27,1992,25.0,949,779,945,6,0,0,949,0,0,,0,,480,2729,2000,0,0,0,1,0,375,0
446,Roli Pereira de Sa,FRA,MF,Nantes,22,1996,0.1,14,0,1,8,5,0,14,0,0,,0,,12,78,23,0,2,0,0,0,11,0
447,Youssouf Sabaly,SEN,DF,Bordeaux,26,1993,10.1,718,35,167,390,166,14,718,19,10,52.6,9,47.4,408,1789,933,25,18,5,9,12,415,53
448,Ihsan Sacko,FRA,FW,Nice,22,1997,1.6,61,0,4,24,33,9,61,6,2,33.3,4,66.7,46,256,117,3,2,3,6,3,51,21
449,Wesley Saïd,FRA,MF|FW,Toulouse,24,1995,12.9,560,15,88,284,197,41,560,41,28,68.3,13,31.7,335,2400,1368,43,23,9,25,17,380,84
450,Théo Sainte-Luce,FRA,MF|DF,Nîmes,20,1998,0.2,1,0,0,1,0,0,1,0,0,,0,,2,12,1,0,0,0,0,1,2,0
451,Hiroki Sakai,JPN,DF,Marseille,29,1990,18.0,1321,38,321,709,297,16,1321,24,13,54.2,11,45.8,703,2931,1747,39,22,6,20,14,775,90
452,William Saliba,FRA,DF,Saint-Étienne,18,2001,11.0,674,77,344,315,22,4,674,7,6,85.7,1,14.3,390,2731,1623,20,6,0,11,10,395,7
453,Romain Salin,FRA,GK,Rennes,35,1984,4.0,142,128,141,1,0,0,142,0,0,,0,,70,428,307,0,0,0,0,0,43,0
454,Mama Samba Baldé,GNB,FW|MF,Dijon,23,1995,18.6,642,22,100,274,284,79,642,52,26,50.0,26,50.0,392,2357,1053,44,19,21,70,36,418,148
455,Junior Sambia,FRA,DF|MF,Montpellier,22,1996,6.5,330,13,76,150,108,7,330,15,6,40.0,9,60.0,169,1101,605,14,14,0,13,7,193,26
456,Frédéric Sammaritano,FRA,MF|FW,Dijon,33,1986,5.8,321,0,32,148,148,7,321,14,10,71.4,4,28.6,183,1067,524,22,9,2,14,13,213,41
457,Renato Sanches,POR,MF|FW,Lille,21,1997,16.5,1210,17,113,741,378,28,1210,72,50,69.4,22,30.6,692,4013,2384,45,43,15,45,32,850,64
458,Ibrahim Sangaré,CIV,MF,Toulouse,21,1997,24.2,1609,94,396,984,252,28,1609,39,30,76.9,9,23.1,933,4534,2363,35,27,2,40,25,997,23
459,Yaya Sanogo,FRA,FW,Toulouse,26,1993,10.1,294,14,29,138,130,44,293,3,1,33.3,2,66.7,152,479,146,4,2,0,25,12,216,44
460,Morgan Sanson,FRA,MF,Marseille,24,1994,24.1,1228,15,137,677,449,57,1228,64,40,62.5,24,37.5,853,5639,2622,96,69,19,68,56,878,142
461,Baptiste Santamaria,FRA,MF,Angers,24,1995,27.8,1668,64,412,1057,220,23,1668,42,31,73.8,11,26.2,703,3647,1979,36,22,5,33,24,993,16
462,Pablo Sarabia,ESP,FW|MF,Paris S-G,27,1992,12.9,822,7,62,377,387,66,822,9,5,55.6,4,44.4,509,2412,1374,41,34,11,31,11,655,185
463,Bouna Sarr,SEN,DF|FW,Marseille,27,1992,24.0,1677,42,339,810,558,37,1677,86,49,57.0,37,43.0,1057,6562,3342,103,81,12,52,32,1059,142
464,Malang Sarr,FRA,DF,Nice,20,1999,16.2,1313,101,550,705,65,4,1313,3,3,100.0,0,0.0,726,3819,2399,13,9,1,9,4,967,2
465,Sidy Sarr,SEN,MF,Nîmes,23,1996,12.9,672,28,159,407,116,30,672,14,9,64.3,5,35.7,269,1259,649,7,6,0,16,6,390,21
466,Téji Savanier,FRA,MF,Montpellier,27,1991,16.9,1186,29,209,718,278,7,1184,54,33,61.1,21,38.9,635,3591,1860,28,27,1,41,16,731,31
467,Matz Sels,BEL,GK,Strasbourg,27,1992,27.0,906,803,903,3,0,0,906,0,0,,0,,465,2520,1708,0,0,0,0,0,363,0
468,Gen Shoji,JPN,DF,Toulouse,26,1992,0.5,44,4,13,31,0,0,44,0,0,,0,,28,247,206,2,0,0,0,0,36,1
469,Kalidou Sidibé,FRA,MF,Toulouse,20,1999,1.0,50,1,11,33,6,0,50,0,0,,0,,29,117,55,0,0,0,2,0,32,0
470,Kaj Sierhuis,NED,FW,Reims,21,1998,0.1,4,0,0,1,3,1,4,0,0,,0,,3,10,7,0,1,0,1,0,4,2
471,Adrien Silva,POR,MF,Monaco,30,1989,13.6,985,27,174,637,182,4,985,31,21,67.7,10,32.3,511,2060,1065,14,10,1,12,13,661,21
472,Gabriel Silva,BRA,DF,Saint-Étienne,28,1991,2.6,130,10,50,57,24,3,130,0,0,,0,,60,370,218,7,4,1,2,0,66,5
473,Matheus Pereira da Silva,BRA,MF|FW,Dijon,21,1998,5.2,295,6,40,150,113,11,295,5,3,60.0,2,40.0,148,769,320,9,5,1,7,4,183,25
474,Thiago Silva,BRA,DF,Paris S-G,34,1984,17.5,1654,144,552,1053,53,9,1654,3,2,66.7,1,33.3,979,4541,3063,10,14,0,5,2,1282,1
475,Mohamed Simakan,FRA,DF,Strasbourg,19,2000,16.7,1060,50,362,544,167,14,1060,23,16,69.6,7,30.4,632,3332,1956,30,29,1,16,9,626,25
476,Moses Simon,NGA,FW|MF,Nantes,24,1995,24.2,930,6,73,319,557,112,930,81,36,44.4,45,55.6,654,5292,3116,144,69,53,70,50,712,232
477,Ibrahima Sissoko,MLI,MF,Strasbourg,21,1997,17.8,858,35,178,483,213,21,858,23,10,43.5,13,56.5,517,2904,1480,44,38,3,34,27,542,48
478,Sambou Sissoko,FRA,MF|FW,Reims,20,1999,0.4,10,1,5,4,1,0,10,0,0,,0,,4,15,7,0,0,0,0,1,3,0
479,Petar Škuletić,SRB,FW|MF,Montpellier,29,1990,1.2,48,1,6,18,24,7,47,2,0,0.0,2,100.0,16,96,36,0,3,0,3,3,29,5
480,Islam Slimani,ALG,FW,Monaco,31,1988,14.3,712,13,30,311,372,103,711,20,8,40.0,12,60.0,428,1527,551,20,15,9,46,31,586,142
481,Oumar Solet,FRA,DF,Lyon,19,2000,0.1,7,2,6,1,0,0,7,0,0,,0,,5,20,8,0,0,0,0,0,4,0
482,Adama Soumaoro,FRA,DF,Lille,27,1992,4.6,389,24,154,230,5,4,389,1,1,100.0,0,0.0,234,1014,421,2,0,0,3,0,292,0
483,Boubakary Soumaré,FRA,MF,Lille,20,1999,13.5,863,10,97,664,113,4,863,23,20,87.0,3,13.0,545,3088,1285,21,16,1,18,15,641,21
484,Bryan Soumaré,FRA,MF|FW,Dijon,20,1999,4.3,196,2,25,102,72,4,196,14,9,64.3,5,35.7,112,750,312,10,8,1,10,11,129,23
485,Arnaud Souquet,FRA,DF|FW,Montpellier,27,1992,22.4,1338,73,373,567,407,28,1338,51,23,45.1,28,54.9,566,3164,1729,44,43,5,28,14,697,137
486,Bassem Srarfi,TUN,FW|MF,Nice,22,1997,1.5,59,0,8,24,27,3,59,4,1,25.0,3,75.0,46,276,109,3,2,1,3,1,48,11
487,Vlatko Stojanovski,MKD,FW,Nîmes,22,1997,1.4,42,1,2,24,17,6,42,2,2,100.0,0,0.0,26,83,11,2,0,1,6,3,30,11
488,Kevin Strootman,NED,MF,Marseille,29,1990,15.7,1122,37,237,750,145,20,1121,5,3,60.0,2,40.0,656,2884,1524,21,17,1,12,2,743,20
489,Mathías Suárez,URU,DF,Montpellier,23,1996,0.7,36,0,16,17,3,1,36,1,0,0.0,1,100.0,11,29,10,1,1,1,1,0,15,0
490,Stoppila Sunzu,ZAM,DF,Metz,30,1989,15.0,691,98,423,260,12,7,691,3,2,66.7,1,33.3,290,1243,504,2,2,1,6,2,398,0
491,Issiaga Sylla,GUI,DF,Toulouse,25,1994,28.0,1882,119,578,884,439,43,1882,54,31,57.4,23,42.6,885,5218,2998,74,55,5,47,26,916,93
492,Moussa Sylla,FRA,FW,Monaco,19,1999,0.1,4,0,0,1,3,1,4,0,0,,0,,2,24,0,0,0,0,0,0,2,0
493,Eddy Sylvestre,FRA,MF,Nice,19,1999,0.4,23,0,1,13,9,2,23,2,2,100.0,0,0.0,16,48,18,0,0,0,4,0,19,8
494,Flavien Tait,FRA,MF|FW,Rennes,26,1993,9.8,530,3,80,260,201,18,530,32,22,68.8,10,31.3,370,2379,1366,46,30,8,20,18,392,67
495,Mahdi Talal,FRA,FW,Amiens,21,1997,0.2,9,0,3,2,4,0,9,0,0,,0,,8,31,10,0,0,0,2,2,7,1
496,Adrien Tameze,CMR,MF,Nice,25,1994,5.8,289,14,55,161,75,8,289,11,8,72.7,3,27.3,145,663,345,11,8,2,9,7,214,24
497,Adil Taoui,FRA,MF,Toulouse,17,2001,0.3,21,0,0,11,11,2,21,1,1,100.0,0,0.0,14,77,13,0,2,0,1,2,10,3
498,Ciprian Tătărușanu,ROU,GK,Lyon,33,1986,2.0,63,51,63,0,0,0,63,0,0,,0,,39,185,160,0,0,0,0,0,27,0
499,Júlio Tavares,CPV,FW,Dijon,30,1988,22.2,769,30,54,365,357,100,768,26,6,23.1,20,76.9,363,1627,556,13,21,5,50,29,599,134
500,Aurélien Tchouaméni,FRA,MF,Bordeaux,19,2000,12.3,822,28,194,562,72,9,822,17,15,88.2,2,11.8,488,2199,1083,9,10,2,8,11,558,6
501,Aurélien Tchouaméni,FRA,MF,Monaco,19,2000,0.7,32,2,9,15,8,2,32,1,0,0.0,1,100.0,15,42,18,0,0,0,1,0,17,0
502,Martin Terrier,FRA,FW|MF,Lyon,22,1997,13.3,582,12,74,295,223,42,582,25,17,68.0,8,32.0,317,1789,934,33,24,11,22,8,380,61
503,Kenny Tete,NED,DF,Lyon,23,1995,11.9,994,34,237,502,262,23,994,20,11,55.0,9,45.0,540,2842,1335,38,20,4,15,5,619,88
504,Florian Thauvin,FRA,FW,Marseille,26,1993,0.2,20,0,4,7,9,5,20,4,3,75.0,1,25.0,15,69,20,1,0,1,2,0,17,4
505,Sada Thioub,SEN,MF|FW,Angers,24,1995,16.8,882,8,103,404,392,55,882,95,61,64.2,34,35.8,566,4124,2142,84,49,33,44,43,699,170
506,Romain Thomas,FRA,DF,Angers,31,1988,26.0,1425,192,830,580,24,16,1425,3,3,100.0,0,0.0,551,2301,1216,2,1,1,5,1,844,1
507,Adrien Thomasson,FRA,MF|FW,Strasbourg,25,1993,23.0,1232,10,114,584,558,90,1232,48,29,60.4,19,39.6,777,3621,1576,52,43,15,73,30,874,149
508,Khéphren Thuram,FRA,MF,Nice,18,2001,6.6,460,21,145,268,53,1,460,12,8,66.7,4,33.3,244,1177,587,3,9,0,11,5,326,4
509,Cheick Timite,CIV,MF|FW,Amiens,21,1997,1.3,55,1,8,32,17,3,55,2,0,0.0,2,100.0,33,255,109,4,3,0,0,0,40,5
510,Karl Toko Ekambi,CMR,FW|MF,Lyon,26,1992,6.0,250,1,21,98,133,22,250,14,8,57.1,6,42.9,169,1048,451,25,12,7,13,13,207,58
511,Abdoulaye Touré,GUI,MF,Nantes,25,1994,24.7,1608,43,281,1080,269,20,1606,44,31,70.5,13,29.5,922,4623,1995,34,28,5,39,32,1171,30
512,Lucas Tousart,FRA,MF,Lyon,22,1997,19.6,1198,38,268,764,173,27,1198,24,15,62.5,9,37.5,668,3517,1652,15,16,0,31,9,757,32
513,Adama Traoré,MLI,FW|MF,Metz,24,1995,11.2,584,10,45,333,214,6,584,39,28,71.8,11,28.2,327,1996,863,24,22,2,17,14,412,37
514,Adama Traoré,MLI,MF,Monaco,24,1995,0.3,16,0,3,12,1,0,16,0,0,,0,,7,24,20,0,0,0,1,0,9,0
515,Bertrand Traoré,BFA,FW|MF,Lyon,23,1995,13.9,820,15,92,338,399,62,820,62,33,53.2,29,46.8,503,2692,1171,36,26,18,44,25,563,132
516,Charles Traore,MLI,DF,Nantes,27,1992,19.3,1333,70,432,696,217,4,1333,20,13,65.0,7,35.0,576,2651,1414,22,14,2,14,6,682,23
517,Hamari Traoré,MLI,DF,Rennes,27,1992,26.8,1856,66,583,921,374,38,1856,41,25,61.0,16,39.0,1014,5360,3281,85,52,13,37,8,1028,122
518,Ismaël Traoré,CIV,DF,Angers,32,1986,22.8,1249,121,657,561,40,19,1249,5,4,80.0,1,20.0,528,2289,1183,7,4,1,8,10,801,2
519,Miguel Trauco,PER,DF,Saint-Étienne,26,1992,16.4,998,37,281,502,224,12,998,38,25,65.8,13,34.2,443,2067,1140,19,16,3,20,17,548,48
520,Matthieu Udol,FRA,DF,Metz,23,1996,12.2,750,48,277,345,138,4,750,22,14,63.6,8,36.4,324,2399,1500,39,29,4,9,6,376,17
521,Hwang Ui-jo,KOR,FW|MF,Bordeaux,26,1992,18.1,585,7,47,323,220,45,585,36,14,38.9,22,61.1,413,2119,1013,34,27,13,43,21,479,112
522,William Vainqueur,FRA,MF,Toulouse,30,1988,19.1,1198,44,282,762,164,12,1198,25,21,84.0,4,16.0,694,2962,1217,15,11,2,28,19,782,31
523,Pierrick Valdivia,FRA,MF,Nîmes,31,1988,0.8,39,0,11,24,4,0,39,1,0,0.0,1,100.0,22,73,23,0,0,0,0,0,26,0
524,Antoine Valerio,FRA,MF,Nîmes,19,1999,1.0,45,1,6,33,6,0,45,3,3,100.0,0,0.0,26,177,63,1,3,0,3,0,22,2
525,Luca Valls,FRA,MF,Nîmes,20,1998,0.1,8,2,4,2,2,0,8,0,0,,0,,2,4,3,0,0,0,0,0,4,1
526,Theo Valls,FRA,MF,Nîmes,23,1995,18.1,867,12,145,528,205,20,867,20,13,65.0,7,35.0,469,2220,1192,29,12,3,29,12,522,35
527,Thibaut Vargas,FRA,DF|MF,Montpellier,19,2000,1.7,86,4,26,23,38,1,86,7,1,14.3,6,85.7,39,303,112,4,1,2,7,0,42,9
528,Marco Verratti,ITA,MF,Paris S-G,26,1992,16.5,1880,40,272,1261,363,11,1880,29,25,86.2,4,13.8,1131,4763,2608,33,36,4,14,22,1524,43
529,Clément Vidal,FRA,DF,Montpellier,19,2000,1.0,58,6,27,30,1,1,58,0,0,,0,,32,124,71,0,0,0,0,0,31,0
530,Molla Wagué,MLI,DF,Nantes,28,1991,7.6,423,58,275,142,11,6,423,4,4,100.0,0,0.0,213,1040,460,1,3,0,1,1,222,1
531,Moussa Wagué,SEN,DF|MF,Nice,20,1998,2.2,175,5,44,78,56,1,175,7,3,42.9,4,57.1,114,638,331,13,9,1,4,5,120,25
532,Rémi Walter,FRA,MF,Nice,24,1995,0.6,29,0,5,17,7,1,29,1,1,100.0,0,0.0,16,70,38,0,1,0,3,0,25,2
533,Timothy Weah,USA,MF|FW,Lille,19,2000,0.9,42,1,4,20,18,0,42,3,1,33.3,2,66.7,23,119,38,1,0,0,4,1,32,5
534,Xeka,POR,MF,Lille,24,1994,7.9,532,10,58,382,97,18,532,6,4,66.7,2,33.3,301,1671,854,17,3,0,11,3,388,20
535,Yusuf Yazıcı,TUR,MF|FW,Lille,22,1997,9.4,576,3,37,247,298,30,575,23,8,34.8,15,65.2,297,1869,768,22,30,7,16,29,365,40
536,Elie Youan,FRA,FW|MF,Nantes,20,1999,1.8,77,3,9,36,34,8,77,3,2,66.7,1,33.3,40,404,173,6,6,2,6,5,55,18
537,Zaydou Youssouf,FRA,MF,Saint-Étienne,20,1999,12.0,650,16,130,451,93,5,650,41,36,87.8,5,12.2,362,2487,1139,16,15,0,17,16,424,12
538,Arthur Zagre,FRA,MF,Paris S-G,17,2001,0.3,20,0,2,9,9,1,20,2,2,100.0,0,0.0,10,75,58,2,1,0,1,0,16,2
539,Mootaz Zemzemi,TUN,MF,Strasbourg,19,1999,0.3,20,0,3,11,6,0,20,0,0,,0,,17,124,71,2,2,0,2,1,12,1
540,Arber Zeneli,KVX,MF,Reims,24,1995,0.1,3,0,1,2,0,0,3,3,2,66.7,1,33.3,2,48,0,0,1,0,0,1,1,0
541,Kévin Zohi,MLI,FW|MF,Strasbourg,22,1996,5.9,222,3,25,94,105,16,222,24,15,62.5,9,37.5,163,1075,546,22,16,4,14,9,161,53
542,Bongani Zungu,RSA,MF,Amiens,26,1992,11.0,668,27,127,472,72,4,668,6,4,66.7,2,33.3,327,1476,597,6,8,0,21,7,398,4
