Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Patrick van Aanholt,NED,DF,Crystal Palace,28,1990,27.9,64,2.30,34,23,4,2,1,0,5,0.18,3,1,1,0,0,0
2,Max Aarons,ENG,DF,Norwich City,19,2000,36.0,64,1.78,47,2,6,3,4,2,3,0.08,2,0,0,0,1,0
3,Tammy Abraham,ENG,FW,Chelsea,21,1997,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0
4,Che Adams,SCO,FW,Southampton,23,1996,12.3,29,2.35,18,0,4,3,3,1,6,0.49,3,0,1,0,2,0
5,Adrián,ESP,GK,Liverpool,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Sergio Agüero,ARG,FW,Manchester City,31,1988,16.1,57,3.53,31,0,9,12,5,0,7,0.43,3,0,1,2,1,0
7,Albian Ajeti,SUI,FW,West Ham,22,1997,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Nathan Aké,NED,DF,Bournemouth,24,1995,27.8,14,0.50,8,0,1,4,1,0,1,0.04,0,0,0,1,0,0
9,Marc Albrighton,ENG,MF|DF,Leicester City,29,1989,9.6,27,2.80,23,2,1,1,0,0,5,0.52,5,0,0,0,0,0
10,Toby Alderweireld,BEL,DF,Tottenham,30,1989,32.9,27,0.82,25,0,0,1,0,1,4,0.12,4,0,0,0,0,0
11,Trent Alexander-Arnold,ENG,DF,Liverpool,20,1998,35.3,155,4.39,93,51,3,6,1,1,24,0.68,15,7,0,2,0,0
12,Alisson,BRA,GK,Liverpool,26,1992,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0
13,Dele Alli,ENG,MF|FW,Tottenham,23,1996,20.5,58,2.82,42,1,7,3,3,2,11,0.54,5,0,4,2,0,0
14,Miguel Almirón,PAR,MF|FW,Newcastle Utd,25,1994,33.6,83,2.47,56,0,10,6,7,4,3,0.09,2,0,0,0,1,0
15,Marcos Alonso,ESP,DF,Chelsea,28,1990,15.9,49,3.08,37,5,1,3,3,0,6,0.38,4,0,0,0,2,0
16,Steven Alzate,COL,MF|DF,Brighton,20,1998,13.2,38,2.88,29,0,6,2,1,0,2,0.15,1,0,0,0,1,0
17,Ibrahim Amadou,FRA,DF|MF,Norwich City,26,1993,8.4,2,0.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Felipe Anderson,BRA,MF|FW,West Ham,26,1993,16.6,67,4.03,50,2,5,5,4,1,11,0.66,9,0,2,0,0,0
19,Florin Andone,ROU,FW,Brighton,26,1993,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Angeliño,ESP,DF,Manchester City,22,1997,4.7,15,3.19,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,Faustino Anjorin,ENG,FW,Chelsea,17,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
22,Michail Antonio,JAM,FW,West Ham,29,1990,19.6,71,3.61,35,1,15,11,7,2,9,0.46,4,0,1,3,1,0
23,Stuart Armstrong,SCO,MF,Southampton,27,1992,19.1,60,3.15,43,0,6,5,5,1,8,0.42,4,0,1,2,0,1
