,Player,Nation,Pos,Squad,Born,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Score,Gk_Score
93,Maxwel Cornet,CIV,FW|MF,Burnley,1996.0,16.0,9.0,7.0,5.0,4.0,7.0,15.0,46.7,8.0,13.0,4.0,9.0,10.0,26.0,14.0,0.0,34.0,1.73,22.0,3.0,1.0,3.0,5.0,0.0,7.0,0.36,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,20.0,20.0,26.0,55.0,10.0,9.0,2.0,0.0,0.0,81.0,24.0,45.0,34.8,281.0,437.0,64.3,3679.0,860.0,168.0,222.0,75.7,68.0,99.0,68.7,15.0,48.0,31.3,1.0,1.7,1.7,-0.7,15.0,15.0,14.0,4.0,30.0,8.0,441.0,55.0,12.9,4.9,5.0,74.0,2.0,3.0,24.0,4.0,0.38,2.0,15.0,-13.0,-2.65,-1.2,3.3,11.9,-8.5,-1.74,-0.69,664.0,17.0,95.0,212.0,364.0,81.0,663.0,38.0,13.0,34.2,25.0,65.8,355.0,1771.0,790.0,28.0,13.0,11.0,61.0,33.0,424.0,125.0,9.0,46.0,22.0,47.8,2.34,1.12,0.2,0.41,16.9,4.0,0.0,1.0,6.7,5.9,0.13,2.3,3.1,,0
94,Hélder Costa,ANG,MF,Leeds United,1994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,100.0,79.0,0.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,0.0,,,,,0.0,9.0,0.0,2.0,4.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,4.09,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,0
95,Vladimír Coufal,CZE,DF,West Ham,1992.0,45.0,25.0,24.0,14.0,7.0,18.0,36.0,50.0,18.0,31.0,9.0,22.0,22.0,67.0,64.0,1.0,51.0,2.08,39.0,10.0,0.0,1.0,1.0,0.0,7.0,0.29,7.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,29.0,15.0,2.0,107.0,22.0,25.0,0.0,1.0,1.0,131.0,33.0,34.0,49.3,990.0,1439.0,68.8,15293.0,6881.0,538.0,630.0,85.4,362.0,524.0,69.1,63.0,186.0,33.9,4.0,2.1,2.6,1.9,21.0,63.0,30.0,16.0,113.0,38.0,3377.0,89.0,98.7,37.5,38.0,89.0,35.0,0.0,0.0,0.0,1.18,52.0,50.0,2.0,0.05,8.43,43.6,46.6,-3.0,-0.08,4.08,1681.0,110.0,454.0,700.0,539.0,30.0,1681.0,23.0,15.0,65.2,8.0,34.8,778.0,4242.0,1992.0,51.0,38.0,5.0,30.0,15.0,888.0,119.0,0.0,11.0,4.0,36.4,0.45,0.16,0.0,0.0,17.7,0.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,,0
96,Philippe Coutinho,BRA,MF|FW,Aston Villa,1992.0,17.0,12.0,4.0,11.0,2.0,6.0,21.0,28.6,15.0,11.0,1.0,10.0,7.0,24.0,4.0,0.0,62.0,4.19,47.0,4.0,3.0,6.0,2.0,0.0,8.0,0.54,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,4.0,18.0,7.0,12.0,0.0,0.0,0.0,53.0,5.0,17.0,22.7,531.0,655.0,81.1,8091.0,2160.0,292.0,340.0,85.9,175.0,205.0,85.4,38.0,61.0,62.3,3.0,2.9,1.7,0.1,25.0,71.0,16.0,3.0,94.0,27.0,2127.0,79.0,62.2,23.6,22.0,88.0,20.0,5.0,39.0,2.0,1.52,42.0,30.0,12.0,0.51,1.13,31.8,34.3,-2.6,-0.11,0.51,815.0,7.0,57.0,441.0,330.0,47.0,815.0,43.0,21.0,48.8,22.0,51.2,568.0,3066.0,1595.0,48.0,36.0,9.0,35.0,20.0,632.0,62.0,5.0,43.0,16.0,37.2,2.91,1.08,0.12,0.31,21.2,6.0,0.0,0.0,3.8,3.8,0.09,1.2,1.2,,0
97,Aaron Cresswell,ENG,DF,West Ham,1989.0,28.0,18.0,18.0,6.0,4.0,13.0,25.0,52.0,12.0,31.0,18.0,13.0,35.0,63.0,66.0,0.0,53.0,1.75,31.0,20.0,0.0,2.0,0.0,0.0,6.0,0.2,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,10.0,2.0,145.0,35.0,18.0,0.0,1.0,0.0,163.0,32.0,24.0,57.1,1656.0,2096.0,79.0,27331.0,11135.0,837.0,912.0,91.8,650.0,755.0,86.1,134.0,318.0,42.1,3.0,3.2,3.0,-0.2,31.0,131.0,19.0,12.0,186.0,13.0,1024.0,79.0,29.9,11.4,10.0,89.0,8.0,3.0,45.0,4.0,0.85,13.0,22.0,-9.0,-0.79,-0.94,10.7,19.3,-8.6,-0.75,-0.34,2312.0,126.0,674.0,1078.0,576.0,22.0,2312.0,17.0,8.0,47.1,9.0,52.9,1305.0,5741.0,2727.0,54.0,45.0,2.0,14.0,4.0,1497.0,99.0,2.0,18.0,3.0,16.7,0.59,0.1,0.11,0.67,20.5,8.0,0.0,0.0,1.1,1.1,0.06,0.9,0.9,,0
98,Charlie Cresswell,ENG,DF,Leeds United,2002.0,5.0,2.0,1.0,4.0,0.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,2.0,7.0,6.0,0.0,2.0,1.28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0,3.0,66.7,75.0,106.0,70.8,1560.0,592.0,23.0,29.0,79.3,43.0,50.0,86.0,9.0,24.0,37.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,31.0,2396.0,77.0,70.1,26.6,27.0,88.0,24.0,4.0,8.0,4.0,0.74,28.0,55.0,-27.0,-1.01,0.39,31.0,45.8,-14.8,-0.56,0.29,124.0,11.0,71.0,50.0,3.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,68.0,394.0,271.0,1.0,0.0,0.0,1.0,0.0,77.0,0.0,0.0,1.0,0.0,0.0,0.64,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,,0
99,Cucho,COL,FW|MF,Watford,1999.0,13.0,5.0,5.0,5.0,3.0,5.0,27.0,18.5,22.0,13.0,1.0,12.0,5.0,18.0,9.0,0.0,44.0,3.45,26.0,5.0,6.0,6.0,1.0,0.0,5.0,0.39,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,13.0,12.0,1.0,52.0,5.0,5.0,0.0,0.0,1.0,65.0,31.0,51.0,37.8,239.0,394.0,60.7,3852.0,1368.0,126.0,172.0,73.3,68.0,106.0,64.2,31.0,66.0,47.0,2.0,1.9,1.1,0.1,20.0,21.0,15.0,6.0,39.0,15.0,766.0,51.0,22.4,8.5,7.0,81.0,4.0,8.0,25.0,0.0,1.47,13.0,10.0,3.0,0.35,0.45,12.5,10.8,1.6,0.19,0.15,545.0,19.0,78.0,196.0,277.0,39.0,545.0,39.0,18.0,46.2,21.0,53.8,308.0,1647.0,797.0,22.0,19.0,5.0,23.0,14.0,352.0,85.0,5.0,34.0,10.0,29.4,2.67,0.78,0.15,0.5,19.0,5.0,0.0,0.0,2.5,2.5,0.07,2.5,2.5,,0
100,Marc Cucurella,ESP,DF,Brighton,1998.0,93.0,62.0,43.0,32.0,18.0,44.0,71.0,62.0,27.0,42.0,14.0,28.0,30.0,123.0,74.0,0.0,101.0,2.94,88.0,8.0,1.0,2.0,1.0,1.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,28.0,30.0,3.0,115.0,30.0,62.0,0.0,0.0,0.0,247.0,40.0,36.0,52.6,1890.0,2356.0,80.2,29046.0,9900.0,1014.0,1131.0,89.7,718.0,856.0,83.9,110.0,219.0,50.2,1.0,2.7,2.8,-1.7,42.0,158.0,49.0,17.0,191.0,1.0,7.0,7.0,0.2,0.1,0.0,0.0,0.0,1.0,7.0,2.0,3.0,1.0,0.0,1.0,12.86,10.96,1.0,0.0,1.0,12.3,10.63,2717.0,115.0,683.0,1205.0,848.0,53.0,2717.0,55.0,28.0,50.9,27.0,49.1,1431.0,6642.0,4085.0,104.0,64.0,8.0,40.0,15.0,1638.0,208.0,1.0,18.0,3.0,16.7,0.52,0.09,0.06,0.33,20.9,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,,0
101,Luke Cundle,ENG,MF,Wolves,2002.0,4.0,3.0,0.0,4.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,96.0,105.0,91.4,1485.0,302.0,48.0,51.0,94.1,38.0,42.0,90.5,7.0,9.0,77.8,0.0,0.2,0.2,-0.2,2.0,11.0,2.0,0.0,9.0,20.0,1449.0,72.0,42.4,16.1,17.0,82.0,13.0,3.0,20.0,13.0,2.3,38.0,9.0,29.0,1.8,1.16,27.6,12.0,15.7,0.97,0.31,116.0,3.0,30.0,68.0,18.0,1.0,116.0,1.0,0.0,0.0,1.0,100.0,48.0,188.0,103.0,3.0,1.0,0.0,2.0,1.0,86.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
102,Patson Daka,ZAM,FW,Leicester City,1998.0,15.0,10.0,2.0,8.0,5.0,2.0,19.0,10.5,17.0,7.0,0.0,7.0,2.0,17.0,8.0,0.0,30.0,2.33,23.0,0.0,0.0,3.0,2.0,2.0,9.0,0.7,6.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,17.0,14.0,7.0,1.0,2.0,10.0,0.0,0.0,0.0,29.0,17.0,44.0,27.9,165.0,223.0,74.0,2158.0,323.0,99.0,125.0,79.2,49.0,59.0,83.1,4.0,7.0,57.1,3.0,2.0,0.8,1.0,13.0,6.0,5.0,0.0,17.0,2.0,170.0,85.0,5.0,1.9,2.0,85.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,-7.0,-3.71,-4.26,1.1,5.6,-4.5,-2.39,-2.92,370.0,10.0,31.0,170.0,171.0,50.0,370.0,16.0,3.0,18.8,13.0,81.3,195.0,766.0,299.0,10.0,4.0,3.0,42.0,18.0,244.0,66.0,5.0,26.0,15.0,57.7,2.02,1.16,0.19,0.33,15.2,0.0,0.0,0.0,4.2,4.2,0.16,0.8,0.8,,0
103,Stuart Dallas,NIR,DF|MF,Leeds United,1991.0,93.0,55.0,58.0,31.0,4.0,56.0,105.0,53.3,49.0,45.0,14.0,31.0,57.0,150.0,63.0,2.0,74.0,2.28,46.0,18.0,4.0,1.0,3.0,2.0,3.0,0.09,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,33.0,30.0,2.0,101.0,57.0,55.0,0.0,1.0,0.0,219.0,32.0,34.0,48.5,1306.0,1685.0,77.5,20351.0,7389.0,730.0,812.0,89.9,440.0,539.0,81.6,99.0,227.0,43.6,1.0,2.3,2.5,-1.3,31.0,108.0,24.0,5.0,170.0,11.0,831.0,76.0,24.3,9.2,9.0,88.0,8.0,2.0,22.0,6.0,1.36,17.0,9.0,8.0,0.87,1.21,13.2,11.5,1.7,0.18,0.41,2056.0,103.0,665.0,923.0,504.0,28.0,2056.0,43.0,29.0,67.4,14.0,32.6,985.0,5629.0,3146.0,82.0,53.0,8.0,39.0,25.0,1113.0,79.0,1.0,30.0,8.0,26.7,0.92,0.25,0.03,0.13,21.7,0.0,0.0,0.0,1.9,1.9,0.06,-0.9,-0.9,,0
104,Diogo Dalot,POR,DF,Manchester Utd,1999.0,55.0,41.0,35.0,12.0,8.0,31.0,57.0,54.4,26.0,24.0,13.0,11.0,29.0,84.0,59.0,0.0,42.0,2.1,37.0,1.0,3.0,0.0,1.0,0.0,5.0,0.25,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0,4.0,1.0,58.0,29.0,41.0,0.0,0.0,0.0,151.0,29.0,17.0,63.0,934.0,1193.0,78.3,17062.0,6008.0,407.0,477.0,85.3,396.0,490.0,80.8,117.0,181.0,64.6,0.0,1.2,1.3,-1.2,16.0,80.0,21.0,7.0,105.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,1422.0,86.0,450.0,649.0,337.0,27.0,1422.0,25.0,17.0,68.0,8.0,32.0,734.0,3825.0,2193.0,53.0,29.0,13.0,25.0,8.0,826.0,75.0,0.0,13.0,4.0,30.8,0.65,0.2,0.0,0.0,21.0,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,,0
105,Karl Darlow,ENG,GK,Newcastle Utd,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,100.0,155.0,250.0,62.0,6276.0,4923.0,13.0,13.0,100.0,42.0,43.0,97.7,99.0,191.0,51.8,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,266.0,214.0,262.0,4.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,137.0,793.0,437.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
106,Josh Dasilva,ENG,MF|FW,Brentford,1998.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,1.0,3.0,7.0,0.0,8.0,2.8,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,23.0,3.0,1.0,75.0,75.0,93.0,80.6,1172.0,336.0,38.0,43.0,88.4,32.0,40.0,80.0,2.0,4.0,50.0,0.0,0.1,0.3,-0.1,3.0,6.0,4.0,0.0,11.0,7.0,542.0,77.0,15.8,6.0,6.0,90.0,6.0,1.0,2.0,6.0,2.71,19.0,2.0,17.0,2.82,2.01,13.1,4.1,9.0,1.49,0.83,123.0,10.0,28.0,54.0,42.0,6.0,123.0,11.0,7.0,63.6,4.0,36.4,74.0,562.0,333.0,10.0,6.0,3.0,5.0,5.0,66.0,10.0,0.0,1.0,0.0,0.0,0.35,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,,0
107,Ben Davies,WAL,DF,Tottenham,1993.0,36.0,21.0,20.0,12.0,4.0,13.0,26.0,50.0,13.0,32.0,19.0,13.0,30.0,66.0,75.0,1.0,30.0,1.06,28.0,1.0,0.0,1.0,0.0,0.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,31.0,18.0,5.0,19.0,30.0,21.0,0.0,1.0,0.0,106.0,67.0,52.0,56.3,1391.0,1648.0,84.4,22461.0,7504.0,696.0,757.0,91.9,602.0,681.0,88.4,68.0,137.0,49.6,1.0,0.5,0.9,0.5,11.0,112.0,14.0,3.0,137.0,8.0,208.0,26.0,6.1,2.3,1.0,90.0,1.0,7.0,17.0,7.0,1.0,5.0,5.0,0.0,0.0,0.14,3.1,3.5,-0.4,-0.17,0.36,1888.0,140.0,727.0,906.0,266.0,31.0,1888.0,11.0,7.0,63.6,4.0,36.4,1211.0,7055.0,4295.0,62.0,61.0,0.0,22.0,10.0,1344.0,60.0,1.0,18.0,7.0,38.9,0.64,0.25,0.06,0.14,17.1,0.0,0.0,0.0,2.3,2.3,0.13,-1.3,-1.3,,0
108,Tom Davies,ENG,MF,Everton,1998.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,40.0,3.0,2.0,1.0,1.0,2.0,5.0,9.0,0.0,5.0,1.91,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,3.0,2.0,60.0,60.0,82.0,73.2,822.0,261.0,35.0,38.0,92.1,18.0,24.0,75.0,2.0,6.0,33.3,0.0,0.0,0.1,0.0,0.0,4.0,1.0,0.0,7.0,6.0,285.0,48.0,8.3,3.2,4.0,66.0,1.0,2.0,11.0,25.0,1.33,4.0,4.0,0.0,0.0,-0.09,3.1,8.2,-5.1,-1.6,-1.41,124.0,10.0,31.0,62.0,32.0,9.0,124.0,3.0,2.0,66.7,1.0,33.3,59.0,206.0,79.0,1.0,0.0,1.0,6.0,1.0,68.0,3.0,1.0,6.0,2.0,33.3,2.31,0.77,0.17,0.5,17.3,0.0,0.0,0.0,0.8,0.8,0.14,0.2,0.2,,0
109,Keinan Davis,ENG,FW,Aston Villa,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,44.0,24.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,0.0,,,,,0.0,5.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,6.0,0.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
110,Craig Dawson,ENG,DF,West Ham,1990.0,29.0,17.0,20.0,8.0,1.0,14.0,25.0,56.0,11.0,59.0,52.0,7.0,29.0,58.0,139.0,0.0,18.0,0.59,12.0,0.0,1.0,5.0,0.0,0.0,5.0,0.16,3.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,39.0,12.0,1.0,1.0,29.0,17.0,0.0,3.0,0.0,113.0,93.0,55.0,62.8,1035.0,1285.0,80.5,21842.0,7575.0,328.0,360.0,91.1,539.0,603.0,89.4,161.0,292.0,55.1,2.0,1.0,1.0,1.0,4.0,85.0,0.0,0.0,54.0,19.0,1496.0,79.0,43.7,16.6,17.0,85.0,15.0,2.0,28.0,9.0,2.21,38.0,11.0,27.0,1.62,0.88,25.9,14.8,11.1,0.67,-0.22,1606.0,273.0,844.0,691.0,73.0,45.0,1606.0,4.0,4.0,100.0,0.0,0.0,892.0,3899.0,2085.0,4.0,4.0,0.0,10.0,5.0,970.0,3.0,2.0,25.0,5.0,20.0,0.82,0.16,0.08,0.4,8.5,0.0,0.0,0.0,3.0,3.0,0.12,-1.0,-1.0,,0
111,Kevin De Bruyne,BEL,MF,Manchester City,1991.0,32.0,16.0,4.0,15.0,13.0,12.0,37.0,32.4,25.0,32.0,2.0,30.0,6.0,38.0,16.0,0.0,152.0,6.22,105.0,30.0,5.0,9.0,3.0,0.0,14.0,0.57,10.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,27.0,4.0,180.0,6.0,16.0,0.0,0.0,0.0,114.0,11.0,18.0,37.9,1170.0,1568.0,74.6,19948.0,5365.0,581.0,663.0,87.6,434.0,558.0,77.8,122.0,249.0,49.0,8.0,10.4,7.5,-2.4,87.0,143.0,65.0,10.0,204.0,12.0,301.0,25.0,8.8,3.3,2.0,59.0,0.0,10.0,18.0,19.0,1.33,5.0,6.0,-1.0,-0.3,-0.27,4.3,6.0,-1.8,-0.52,-0.43,1821.0,25.0,127.0,685.0,1027.0,107.0,1821.0,55.0,31.0,56.4,24.0,43.6,1126.0,5397.0,3213.0,84.0,85.0,20.0,40.0,20.0,1350.0,175.0,15.0,78.0,31.0,39.7,3.19,1.27,0.19,0.48,19.2,7.0,0.0,0.0,5.7,5.7,0.07,9.3,9.3,,0
112,Troy Deeney,ENG,FW,Watford,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,66.7,3.0,7.0,42.9,24.0,10.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,1.0,13.0,1014.0,78.0,29.6,11.3,12.0,83.0,10.0,1.0,23.0,4.0,0.69,14.0,26.0,-12.0,-1.07,-0.84,9.6,19.4,-9.7,-0.86,-0.52,12.0,2.0,2.0,1.0,9.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,0.0,2.0,0.0,0.0,7.2,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,,0
113,Liam Delap,ENG,FW,Manchester City,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,13.0,9.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1616.0,58.0,47.3,18.0,20.0,73.0,5.0,8.0,21.0,6.0,0.57,20.0,38.0,-18.0,-1.0,0.24,19.0,30.6,-11.6,-0.65,-0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
114,Fabian Delph,ENG,MF,Everton,1989.0,18.0,15.0,10.0,7.0,1.0,8.0,21.0,38.1,13.0,12.0,5.0,7.0,14.0,32.0,10.0,0.0,6.0,0.82,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,6.0,0.0,1.0,14.0,15.0,0.0,0.0,0.0,61.0,5.0,4.0,55.6,259.0,309.0,83.8,4612.0,1427.0,125.0,138.0,90.6,90.0,103.0,87.4,35.0,48.0,72.9,0.0,0.1,0.1,-0.1,4.0,37.0,2.0,0.0,34.0,16.0,1351.0,84.0,39.5,15.0,15.0,90.0,15.0,1.0,1.0,17.0,1.56,19.0,12.0,7.0,0.47,0.6,18.3,13.7,4.6,0.31,0.26,382.0,20.0,103.0,231.0,50.0,0.0,382.0,7.0,5.0,71.4,2.0,28.6,215.0,868.0,337.0,2.0,2.0,0.0,8.0,0.0,226.0,3.0,0.0,2.0,0.0,0.0,0.27,0.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0
115,Leander Dendoncker,BEL,MF,Wolves,1995.0,42.0,17.0,25.0,14.0,3.0,22.0,50.0,44.0,28.0,37.0,10.0,27.0,9.0,51.0,38.0,1.0,27.0,1.25,25.0,0.0,0.0,1.0,0.0,1.0,7.0,0.32,5.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,13.0,6.0,0.0,5.0,9.0,17.0,0.0,0.0,0.0,107.0,30.0,33.0,47.6,709.0,822.0,86.3,11172.0,2199.0,328.0,377.0,87.0,301.0,328.0,91.8,45.0,57.0,78.9,2.0,1.1,0.4,0.9,11.0,52.0,4.0,0.0,64.0,38.0,3361.0,88.0,98.3,37.3,38.0,88.0,35.0,0.0,0.0,0.0,1.34,37.0,43.0,-6.0,-0.16,-1.69,36.6,56.5,-19.9,-0.53,-1.25,1024.0,59.0,282.0,542.0,203.0,33.0,1024.0,10.0,5.0,50.0,5.0,50.0,461.0,1863.0,722.0,9.0,14.0,0.0,25.0,9.0,651.0,45.0,2.0,23.0,10.0,43.5,1.06,0.46,0.09,0.2,16.1,0.0,0.0,0.0,2.2,2.2,0.1,-0.2,-0.2,,0
