Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec
Augsburg,34,,34.0,16605,2549,6859,6322,3604,574,16600,488,201,41.2,234,48.0,7744,41189,20165,331,241,70,490,266,8309
Bayern Munich,28,,34.0,26741,2210,7657,12339,6998,1185,26736,912,466,51.1,362,39.7,17141,88991,44959,863,577,286,601,354,19261
Bochum,26,,34.0,17478,2270,6243,7442,3956,661,17475,420,175,41.7,195,46.4,7951,40250,18371,350,274,86,500,258,9060
Dortmund,30,,34.0,23758,2099,7166,10816,6011,944,23752,879,415,47.2,366,41.6,14458,75809,39242,783,514,205,483,356,16318
Eint Frankfurt,28,,34.0,21945,2034,6815,10478,4867,850,21939,695,292,42.0,331,47.6,12138,61277,31167,632,431,220,533,293,13832
Freiburg,27,,34.0,19065,2247,6546,8366,4295,722,19057,480,216,45.0,200,41.7,10112,53575,25969,427,297,108,444,240,11445
Hertha BSC,32,,34.0,17023,2095,6263,7457,3531,612,17016,711,323,45.4,316,44.4,8139,43026,19959,413,269,132,521,301,8796
Hoffenheim,31,,34.0,19434,2364,6926,8417,4271,705,19425,577,249,43.2,268,46.4,10627,53164,25890,457,330,138,551,258,11634
Köln,27,,34.0,20320,2232,7198,8697,4630,751,20316,521,226,43.4,236,45.3,11017,58246,28164,522,383,117,485,287,12123
Leverkusen,27,,34.0,21877,2184,7160,10575,4338,702,21870,714,352,49.3,268,37.5,12070,67165,36395,678,469,187,524,327,14558
M'Gladbach,27,,34.0,22583,2744,8415,10217,4133,720,22577,548,240,43.8,226,41.2,13046,62465,31728,518,396,143,493,304,15408
Mainz 05,27,,34.0,18471,1946,6200,8219,4257,780,18465,495,224,45.3,220,44.4,9265,44936,20625,364,275,106,552,251,9946
RB Leipzig,25,,34.0,24322,2220,7782,11436,5327,834,24315,697,345,49.5,270,38.7,15273,73350,36506,599,440,168,525,316,16801
Schalke 04,35,,34.0,17260,2252,6541,7024,3912,677,17255,515,198,38.4,250,48.5,8384,42807,19961,415,295,66,513,274,9126
Stuttgart,30,,34.0,20930,2407,7525,9226,4438,738,20925,734,337,45.9,319,43.5,11707,63068,31698,609,440,161,563,336,13345
Union Berlin,28,,34.0,17952,2108,6656,7246,4222,622,17945,415,182,43.9,180,43.4,9245,45321,21951,375,228,90,435,244,10177
Werder Bremen,25,,34.0,20465,2390,7294,9382,3965,671,20459,516,233,45.2,228,44.2,10736,52169,25197,412,317,104,503,246,12329
Wolfsburg,28,,34.0,20053,2304,7013,8781,4423,694,20046,600,256,42.7,268,44.7,11350,55720,28117,455,301,103,560,272,12444
