Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
484,James Ward-Prowse,ENG,MF|DF,Southampton,23,1994,21.6,72,3.33,32,30,0,2,3,5,3,0.14,2,0,0,0,0,1
485,Danny Welbeck,ENG,FW|MF,Arsenal,27,1990,1.7,6,3.53,6,0,0,0,0,0,1,0.59,1,0,0,0,0,0
486,Ashley Westwood,ENG,MF,Burnley,28,1990,31.4,83,2.65,58,17,1,3,4,0,12,0.38,10,1,0,1,0,0
487,Connor Wickham,ENG,FW|MF,Crystal Palace,25,1993,0.7,2,2.69,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
488,Georginio Wijnaldum,NED,MF,Liverpool,27,1990,30.3,57,1.88,44,3,3,3,2,2,6,0.20,5,0,0,1,0,0
489,Danny Williams,USA,MF,Huddersfield,29,1989,1.1,1,0.94,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
490,Willian,BRA,FW,Chelsea,29,1988,23.3,144,6.18,88,35,6,5,8,2,8,0.34,5,2,0,0,1,0
491,Joe Willock,ENG,MF|FW,Arsenal,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
492,Ben Wilmot,ENG,MF|DF,Watford,18,1999,0.3,1,3.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
493,Jack Wilshere,ENG,MF,West Ham,26,1992,4.4,10,2.30,8,0,0,0,1,1,1,0.23,1,0,0,0,0,0
494,Callum Wilson,ENG,FW,Bournemouth,26,1992,28.1,78,2.78,53,0,8,6,11,0,19,0.68,12,0,3,2,2,0
495,Harry Winks,ENG,MF,Tottenham,22,1996,17.7,29,1.63,27,1,0,1,0,0,3,0.17,3,0,0,0,0,0
496,Chris Wood,NZL,FW,Burnley,26,1991,28.8,48,1.67,33,1,1,9,4,0,7,0.24,5,0,0,2,0,0
497,Granit Xhaka,SUI,MF|DF,Arsenal,25,1992,27.8,80,2.88,60,20,0,0,0,0,5,0.18,1,4,0,0,0,0
498,Andriy Yarmolenko,UKR,MF|FW,West Ham,28,1989,5.1,12,2.35,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0
499,DeAndre Yedlin,USA,DF,Newcastle Utd,25,1993,27.5,54,1.97,40,8,1,2,2,1,8,0.29,5,2,0,1,0,0
500,Maya Yoshida,JPN,DF,Southampton,29,1988,16.9,13,0.77,7,0,0,5,1,0,3,0.18,2,0,0,1,0,0
501,Ashley Young,ENG,DF,Manchester Utd,33,1985,28.5,77,2.70,42,31,1,2,1,0,9,0.32,5,2,1,1,0,0
502,Pablo Zabaleta,ARG,DF,West Ham,33,1985,23.2,22,0.95,16,3,0,1,2,0,3,0.13,3,0,0,0,0,0
503,Wilfried Zaha,CIV,FW,Crystal Palace,25,1992,33.7,143,4.24,93,0,20,12,17,1,20,0.59,9,0,5,0,6,0
504,Andre-Frank Zambo Anguissa,CMR,MF,Fulham,22,1995,16.9,37,2.20,30,0,3,3,0,1,2,0.12,2,0,0,0,0,0
505,Davide Zappacosta,ITA,DF,Chelsea,26,1992,1.4,3,2.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
506,Oleksandr Zinchenko,UKR,DF,Manchester City,21,1996,12.8,30,2.35,27,2,1,0,0,0,5,0.39,5,0,0,0,0,0
507,Kenneth Zohore,DEN,FW,Cardiff City,24,1994,8.4,22,2.63,18,0,1,1,2,0,1,0.12,1,0,0,0,0,0
508,Kurt Zouma,FRA,DF,Everton,23,1994,29.0,18,0.62,15,0,1,2,0,0,3,0.10,3,0,0,0,0,0
