Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
28,Illan Meslier,FRA,GK,Leeds United,21,2000,37.6,79,5,3,10,1,61.8,0.26,-16.2,-0.43,108,410,26.3,1101,274,27.5,29.3,288,37.2,33.3,438,23,5.3,45,1.20,14.2
29,Robin Olsen,SWE,GK,Aston Villa,31,1990,1.0,3,0,0,0,0,2.2,0.44,-0.8,-0.78,8,25,32.0,26,7,46.2,38.3,20,65.0,48.6,28,5,17.9,0,0.00,5.8
30,Jordan Pickford,ENG,GK,Everton,27,1994,35.0,58,1,2,10,4,51.7,0.31,-2.3,-0.07,272,782,34.8,873,119,64.6,46.4,267,81.6,60.5,518,23,4.4,35,1.00,14.9
31,Nick Pope,ENG,GK,Burnley,29,1992,36.0,47,5,1,6,1,44.3,0.25,-1.7,-0.05,319,807,39.5,793,147,69.2,46.2,283,91.2,61.2,605,46,7.6,80,2.22,17.4
32,Aaron Ramsdale,ENG,GK,Arsenal,23,1998,34.0,39,5,0,3,1,38.2,0.26,+0.2,0.00,134,480,27.9,993,162,34.8,33.2,181,74.0,55.1,414,26,6.3,60,1.76,16.4
33,David Raya,ESP,GK,Brentford,25,1995,24.0,27,4,1,3,0,26.2,0.22,-0.8,-0.03,225,527,42.7,876,118,44.4,36.2,202,68.3,49.9,402,27,6.7,35,1.46,15.8
34,John Ruddy,ENG,GK,Wolves,34,1986,1.5,3,0,0,1,0,2.9,0.42,-0.1,-0.05,1,11,9.1,19,4,42.1,36.1,14,21.4,28.5,13,1,7.7,1,0.67,14.2
35,José Sá,POR,GK,Wolves,28,1993,36.5,40,9,1,1,1,46.3,0.24,+7.3,+0.20,121,412,29.4,844,216,35.4,34.7,261,43.3,36.9,549,43,7.8,40,1.10,13.3
36,Robert Sánchez,ESP,GK,Brighton,23,1997,37.0,42,3,1,5,0,40.9,0.28,-1.1,-0.03,158,561,28.2,1285,186,31.9,33.0,234,64.5,48.9,517,60,11.6,36,0.97,12.9
37,Kasper Schmeichel,DEN,GK,Leicester City,34,1986,37.0,58,7,1,14,1,55.5,0.26,-1.5,-0.04,194,486,39.9,999,166,36.0,34.1,291,43.3,37.5,533,15,2.8,38,1.03,14.8
38,Jason Steele,ENG,GK,Brighton,30,1990,1.0,2,0,0,1,0,1.6,0.33,-0.4,-0.37,2,6,33.3,32,2,9.4,23.9,6,50.0,40.0,16,0,0.0,0,0.00,9.3
39,Jed Steer,ENG,GK,Aston Villa,28,1992,1.0,3,0,0,0,0,2.2,0.55,-0.8,-0.81,3,11,27.3,32,7,28.1,30.4,6,33.3,31.2,11,1,9.1,1,1.00,16.3
40,Zack Steffen,USA,GK,Manchester City,26,1995,1.0,0,0,0,0,0,0.1,0.07,+0.1,+0.15,1,6,16.7,32,6,15.6,23.4,7,14.3,19.3,10,0,0.0,3,3.00,16.6
41,Danny Ward,WAL,GK,Leicester City,28,1993,1.0,1,0,0,1,0,1.4,0.28,+0.4,+0.42,2,5,40.0,26,8,19.2,25.8,7,0.0,19.3,18,1,5.6,1,1.00,10.7
42,Freddie Woodman,ENG,GK,Newcastle Utd,24,1997,4.0,12,2,0,0,0,8.8,0.29,-3.2,-0.80,23,66,34.8,79,11,50.6,38.1,39,66.7,47.9,55,3,5.5,0,0.00,7.8
