Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
603,Joe Willock,ENG,MF|FW,Arsenal,19,1999,29,857,30,25.1,9.5,8,64,1,21,16,6,1.34,16,16,0,0.00,-0.28,13.1,16.9,-3.8,-0.40,-0.25
604,Jack Wilshere,ENG,MF,West Ham,27,1992,8,215,27,6.3,2.4,2,50,0,6,19,8,1.38,2,5,-3,-1.26,-0.98,2.1,3.7,-1.7,-0.70,-0.32
605,Callum Wilson,ENG,FW,Bournemouth,27,1992,35,2908,83,85.0,32.3,32,88,27,3,32,0,0.89,36,53,-17,-0.53,+0.88,37.5,54.5,-17.1,-0.53,-0.46
606,Harry Wilson,WAL,MF|FW,Bournemouth,22,1997,31,1646,53,48.1,18.3,20,67,2,11,28,3,0.84,21,32,-11,-0.60,+0.11,23.0,31.3,-8.3,-0.45,+0.01
607,Harry Winks,ENG,MF,Tottenham,23,1996,31,2221,72,64.9,24.7,26,82,16,5,19,5,1.71,37,31,+6,+0.24,-0.36,29.1,35.7,-6.6,-0.27,-0.29
608,Chris Wood,NZL,FW,Burnley,27,1991,32,2437,76,71.3,27.1,29,81,17,3,29,0,1.41,27,33,-6,-0.22,-0.13,35.3,36.0,-0.6,-0.02,+0.13
609,Sam Woods,ENG,DF,Crystal Palace,20,1998,0,,,,,0,,0,0,,14,,,,,,,,,,,
610,Granit Xhaka,SUI,MF,Arsenal,26,1992,31,2586,83,75.6,28.7,30,85,25,1,45,0,1.65,47,31,+16,+0.56,+1.42,38.9,41.7,-2.8,-0.10,+0.49
611,Andriy Yarmolenko,UKR,MF|FW,West Ham,29,1989,23,991,43,29.0,11.0,10,69,2,13,23,1,1.35,11,17,-6,-0.54,-0.29,14.3,17.5,-3.2,-0.29,+0.15
612,DeAndre Yedlin,USA,DF,Newcastle Utd,26,1993,16,938,59,27.4,10.4,10,83,8,6,19,9,1.25,9,18,-9,-0.86,-0.46,11.1,21.2,-10.1,-0.97,-0.24
613,Maya Yoshida,JPN,DF,Southampton,30,1988,8,560,70,16.4,6.2,6,90,6,2,10,15,1.00,5,18,-13,-2.09,-2.22,8.2,11.9,-3.7,-0.60,-0.82
614,Ashley Young,ENG,DF,Manchester Utd,34,1985,12,955,80,27.9,10.6,10,90,9,2,30,8,1.50,12,10,+2,+0.19,-0.83,16.4,10.9,+5.5,+0.52,-0.17
615,Jack Young,ENG,MF,Newcastle Utd,18,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
616,Pablo Zabaleta,ARG,DF,West Ham,34,1985,10,592,59,17.3,6.6,6,87,5,4,18,19,0.60,5,14,-9,-1.37,-1.24,8.3,12.6,-4.3,-0.65,-0.30
617,Wilfried Zaha,CIV,FW|MF,Crystal Palace,26,1992,38,3280,86,95.9,36.4,37,88,36,1,26,0,1.13,31,46,-15,-0.41,+2.16,34.9,53.8,-18.9,-0.52,+0.94
618,Christoph Zimmermann,GER,DF,Norwich City,26,1993,17,1430,84,41.8,15.9,16,87,15,1,45,1,0.65,13,27,-14,-0.88,+0.70,17.1,25.5,-8.4,-0.53,+0.42
619,Oleksandr Zinchenko,UKR,DF,Manchester City,22,1996,19,1276,67,37.3,14.2,13,87,11,6,25,5,1.95,34,13,+21,+1.48,-0.45,34.2,15.9,+18.3,+1.29,-0.28
620,Richairo Živković,CUW,FW,Sheffield Utd,22,1996,5,112,22,3.3,1.2,0,,0,5,22,4,0.60,1,4,-3,-2.41,-2.49,0.6,2.5,-1.9,-1.51,-1.35
621,Kurt Zouma,FRA,DF,Chelsea,24,1994,28,2344,84,68.5,26.0,25,88,24,3,46,7,1.71,47,37,+10,+0.38,-0.03,45.3,27.6,+17.6,+0.68,-0.41
