Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Patrick van Aanholt,NED,DF,Crystal Palace,28,1990,27.9,0,0,0,9,8,2,92,45,23,0,0,1,176,16,16,50.0
2,Max Aarons,ENG,DF,Norwich City,19,2000,36.0,7,0,0,29,49,3,73,37,30,1,0,0,178,22,49,31.0
3,Tammy Abraham,ENG,FW,Chelsea,21,1997,24.6,2,0,0,17,24,23,11,6,4,1,0,1,49,89,113,44.1
4,Che Adams,SCO,FW,Southampton,23,1996,12.3,0,0,0,17,16,10,13,2,4,1,0,0,51,41,75,35.3
5,Adrián,ESP,GK,Liverpool,32,1987,9.7,1,0,0,0,1,0,0,0,1,0,0,0,5,4,0,100.0
6,Sergio Agüero,ARG,FW,Manchester City,31,1988,16.1,1,0,0,9,9,6,9,3,4,2,0,0,37,3,12,20.0
7,Albian Ajeti,SUI,FW,West Ham,22,1997,1.5,0,0,0,6,0,2,0,0,0,0,0,0,2,1,10,9.1
8,Nathan Aké,NED,DF,Bournemouth,24,1995,27.8,2,0,0,9,13,3,5,36,21,0,0,0,140,60,61,49.6
9,Marc Albrighton,ENG,MF|DF,Leicester City,29,1989,9.6,2,0,0,7,11,1,69,10,17,0,1,0,67,3,7,30.0
10,Toby Alderweireld,BEL,DF,Tottenham,30,1989,32.9,7,0,0,18,4,1,9,31,29,0,0,1,154,73,73,50.0
11,Trent Alexander-Arnold,ENG,DF,Liverpool,20,1998,35.3,5,0,0,22,9,3,382,45,34,0,0,0,221,15,30,33.3
12,Alisson,BRA,GK,Liverpool,26,1992,28.3,0,1,0,1,1,0,0,1,0,0,0,0,63,6,0,100.0
13,Dele Alli,ENG,MF|FW,Tottenham,23,1996,20.5,2,0,0,12,33,6,7,17,16,0,0,0,103,19,37,33.9
14,Miguel Almirón,PAR,MF|FW,Newcastle Utd,25,1994,33.6,5,0,0,30,59,24,41,31,39,0,0,0,189,9,28,24.3
