Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
44,Ishak Belfodil,ALG,FW|MF,Hoffenheim,27,1992,3.0,89,2,5,34,50,19,89,12,9,75.0,3,25.0,62,340,129,4,1,4,9,6,76,22
45,Karim Bellarabi,GER,FW|DF,Leverkusen,29,1990,15.8,907,7,78,367,481,81,907,92,51,55.4,41,44.6,594,4890,2723,106,60,33,26,34,695,207
46,Lars Bender,GER,DF|MF,Leverkusen,30,1989,15.3,1265,42,286,740,247,29,1265,18,14,77.8,4,22.2,593,3278,1731,38,36,4,15,7,762,49
47,Sven Bender,GER,DF,Leverkusen,30,1989,30.3,2884,207,1228,1586,80,32,2884,8,7,87.5,1,12.5,1648,7493,2932,4,6,1,15,5,2059,4
48,László Bénes,SVK,MF,M'Gladbach,21,1997,10.0,612,6,78,308,233,21,612,18,13,72.2,5,27.8,342,1343,700,17,14,5,12,8,396,48
49,Keanan Bennetts,ENG,MF,M'Gladbach,20,1999,0.0,1,0,0,0,1,0,1,0,0,,0,,1,2,1,0,0,0,0,0,1,0
50,Ramy Bensebaini,ALG,DF,M'Gladbach,24,1995,16.1,1167,53,354,590,240,32,1165,29,15,51.7,14,48.3,590,2818,1482,31,24,8,20,13,634,68
51,Valon Berisha,KVX,MF,Düsseldorf,26,1993,10.5,484,6,74,262,151,14,484,3,1,33.3,2,66.7,228,1035,445,10,8,2,17,10,345,54
52,Jordan Beyer,GER,DF,M'Gladbach,19,2000,1.2,60,9,25,30,5,1,60,1,1,100.0,0,0.0,31,142,64,1,3,0,0,0,31,1
53,Ermin Bičakčić,BIH,DF,Hoffenheim,29,1990,13.1,966,116,452,481,38,10,966,2,1,50.0,1,50.0,520,2789,1554,17,8,1,5,2,653,4
54,Leonardo Bittencourt,GER,MF,Hoffenheim,25,1993,0.0,6,0,1,2,3,1,6,0,0,,0,,4,84,57,2,1,1,0,0,5,1
55,Leonardo Bittencourt,GER,FW|MF,Werder Bremen,25,1993,21.0,1189,14,161,542,499,67,1189,45,14,31.1,31,68.9,785,4430,1992,58,52,10,60,29,810,162
56,Jérôme Boateng,GER,DF,Bayern Munich,30,1988,20.0,1857,140,817,1001,44,4,1857,0,0,,0,,1224,5007,2350,6,8,0,1,1,1394,4
57,Adam Bodzek,GER,MF,Düsseldorf,33,1985,22.4,907,70,299,511,100,12,907,5,3,60.0,2,40.0,342,1437,551,4,7,0,17,10,486,13
58,Jean-Paul Boëtius,NED,MF,Mainz 05,25,1994,25.2,1262,13,172,705,401,42,1262,66,35,53.0,31,47.0,770,4271,2122,56,40,15,75,39,835,100
59,Melayro Bogarde,NED,DF,Hoffenheim,17,2002,0.6,46,4,15,26,5,1,46,0,0,,0,,28,44,17,0,0,0,0,1,35,3
60,Dennis Borkowski,GER,FW,RB Leipzig,17,2002,0.1,6,0,1,4,1,0,6,4,2,50.0,2,50.0,5,45,37,1,0,0,0,0,5,1
61,Robin Bormuth,GER,DF,Düsseldorf,23,1995,2.0,99,27,68,27,4,2,99,0,0,,0,,55,281,173,0,0,0,1,0,55,0
62,Sebastiaan Bornauw,BEL,DF,Köln,20,1999,27.2,1512,181,828,646,49,27,1512,14,11,78.6,3,21.4,891,4351,2182,12,8,1,14,5,962,5
