Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Emil Audero,ITA,GK,Sampdoria,25,1997,25,25,2250,25.0,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6
2,Francesco Bardi,ITA,GK,Bologna,30,1992,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
3,Marco Carnesecchi,ITA,GK,Cremonese,22,2000,27,27,2430,27.0,47,1.74,153,107,70.6,4,9,14,4,14.8,2,2,0,0,0.0
4,Michele Cerofolini,ITA,GK,Fiorentina,23,1999,5,5,450,5.0,3,0.60,11,8,81.8,4,1,0,2,40.0,1,1,0,0,0.0
5,Andrea Consigli,ITA,GK,Sassuolo,35,1987,35,35,3150,35.0,55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0,0.0
6,Alex Cordaz,ITA,GK,Inter,39,1983,1,0,26,0.3,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,
7,Alessio Cragno,ITA,GK,Monza,28,1994,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
8,Michele Di Gregorio,ITA,GK,Monza,25,1997,37,37,3330,37.0,49,1.32,167,119,72.5,14,10,13,10,27.0,3,3,0,0,0.0
9,Bartłomiej Drągowski,POL,GK,Spezia,24,1997,34,34,2946,32.7,54,1.65,164,112,69.5,6,10,18,6,17.6,6,4,1,1,20.0
10,Wladimiro Falcone,ITA,GK,Lecce,27,1995,38,38,3420,38.0,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7
11,Vincenzo Fiorillo,ITA,GK,Salernitana,32,1990,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
12,Pierluigi Gollini,ITA,GK,Napoli,27,1995,4,4,360,4.0,4,1.00,16,12,75.0,2,1,1,2,50.0,0,0,0,0,
13,Pierluigi Gollini,ITA,GK,Fiorentina,27,1995,3,3,270,3.0,2,0.67,8,6,75.0,1,2,0,2,66.7,0,0,0,0,
14,Samir Handanović,SVN,GK,Inter,38,1984,14,14,1234,13.7,18,1.31,52,35,67.3,9,0,5,4,28.6,1,1,0,0,0.0
15,Mike Maignan,FRA,GK,Milan,27,1995,22,22,1978,22.0,21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0,33.3
16,Federico Marchetti,ITA,GK,Spezia,39,1983,1,0,66,0.7,2,2.73,3,1,33.3,0,0,0,0,,0,0,0,0,
17,Luís Maximiano,POR,GK,Lazio,23,1999,1,1,5,0.1,,,,,,1,,,,,,,,,
18,Alex Meret,ITA,GK,Napoli,25,1997,34,34,3060,34.0,24,0.71,91,66,74.7,26,5,3,16,47.1,2,1,1,0,50.0
19,Vanja Milinković-Savić,SRB,GK,Torino,25,1997,38,38,3420,38.0,41,1.08,136,95,73.5,14,11,13,11,28.9,6,5,0,1,0.0
20,Antonio Mirante,ITA,GK,Milan,39,1983,1,0,2,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
21,Lorenzo Montipò,ITA,GK,Hellas Verona,26,1996,37,37,3330,37.0,59,1.59,181,124,68.0,7,9,21,5,13.5,2,1,1,0,50.0
22,Juan Musso,ARG,GK,Atalanta,28,1994,24,24,2077,23.1,27,1.17,89,64,71.9,13,4,7,7,29.2,2,2,0,0,0.0
23,Guillermo Ochoa,MEX,GK,Salernitana,37,1985,20,20,1800,20.0,33,1.65,105,71,71.4,4,10,6,4,20.0,4,3,1,0,25.0
24,André Onana,CMR,GK,Inter,26,1996,24,24,2160,24.0,24,1.00,83,61,73.5,14,3,7,8,33.3,2,2,0,0,0.0
25,Rui Patrício,POR,GK,Roma,34,1988,35,35,3150,35.0,35,1.00,108,73,69.4,17,8,10,13,37.1,3,2,1,0,33.3
26,Gianluca Pegolo,ITA,GK,Sassuolo,41,1981,2,2,180,2.0,3,1.50,6,3,66.7,0,1,1,0,0.0,1,1,0,0,0.0
27,Simone Perilli,ITA,GK,Hellas Verona,27,1995,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
28,Mattia Perin,ITA,GK,Juventus,29,1992,11,10,948,10.5,7,0.66,40,32,85.0,5,3,2,6,60.0,2,1,1,0,50.0
29,Samuele Perisan,ITA,GK,Empoli,24,1997,7,7,630,7.0,9,1.29,24,15,62.5,1,1,5,2,28.6,0,0,0,0,
30,Ivan Provedel,ITA,GK,Lazio,28,1994,38,37,3413,37.9,30,0.79,128,99,77.3,21,8,8,21,56.8,2,1,0,1,0.0
31,Ionuț Radu,ROU,GK,Cremonese,25,1997,9,9,810,9.0,19,2.11,64,45,75.0,0,3,6,1,11.1,3,3,0,0,0.0
32,Nicola Ravaglia,ITA,GK,Sampdoria,33,1988,9,9,810,9.0,23,2.56,64,41,67.2,0,3,6,0,0.0,2,2,0,0,0.0
33,Francesco Rossi,ITA,GK,Atalanta,31,1991,1,0,4,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
34,Alessandro Russo,ITA,GK,Sassuolo,21,2001,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
35,Mouhamadou Sarr,SEN,GK,Cremonese,25,1997,2,2,180,2.0,3,1.50,8,5,62.5,1,0,1,1,50.0,0,0,0,0,
36,Luigi Sepe,ITA,GK,Salernitana,31,1991,17,17,1530,17.0,27,1.59,87,57,73.6,4,5,8,3,17.6,7,4,3,0,42.9
37,Marco Silvestri,ITA,GK,Udinese,31,1991,38,38,3420,38.0,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1,0.0
38,Salvatore Sirigu,ITA,GK,Fiorentina,35,1987,1,1,90,1.0,0,0.00,5,5,100.0,1,0,0,1,100.0,0,0,0,0,
39,Łukasz Skorupski,POL,GK,Bologna,31,1991,37,37,3330,37.0,49,1.32,161,113,73.9,13,12,12,7,18.9,9,7,2,0,22.2
40,Marco Sportiello,ITA,GK,Atalanta,30,1992,15,14,1339,14.9,21,1.41,64,43,68.8,6,3,5,2,14.3,1,1,0,0,0.0
41,Mile Svilar,SRB,GK,Roma,22,1999,3,3,270,3.0,3,1.00,10,7,70.0,1,1,1,1,33.3,0,0,0,0,
42,Wojciech Szczęsny,POL,GK,Juventus,32,1990,28,28,2472,27.5,26,0.95,93,67,75.3,17,3,8,14,50.0,3,3,0,0,0.0
43,Ciprian Tătărușanu,ROU,GK,Milan,36,1986,16,16,1440,16.0,22,1.37,61,40,67.2,9,3,4,4,25.0,2,2,0,0,0.0
44,Pietro Terracciano,ITA,GK,Fiorentina,32,1990,29,29,2610,29.0,38,1.31,96,59,66.7,9,8,12,5,17.2,7,6,1,0,14.3
45,Martin Turk,SVN,GK,Sampdoria,18,2003,4,4,360,4.0,9,2.25,30,21,73.3,1,1,2,0,0.0,2,1,0,1,0.0
46,Samir Ujkani,KVX,GK,Empoli,34,1988,1,0,7,0.1,1,12.86,1,0,0.0,0,0,0,0,,0,0,0,0,
47,Guglielmo Vicario,ITA,GK,Empoli,25,1996,31,31,2783,30.9,39,1.26,134,95,73.9,9,12,10,7,22.6,6,4,1,1,20.0
48,Jeroen Zoet,NED,GK,Spezia,31,1991,5,4,334,3.7,4,1.08,13,9,76.9,0,3,1,0,0.0,1,1,0,0,0.0
49,Petar Zovko,BIH,GK,Spezia,20,2002,1,0,74,0.8,2,2.43,3,1,33.3,0,0,0,0,,0,0,0,0,
