,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
4,Nathan Aké,NED,DF,Manchester City,1995,10.3,16,9,7,8,1,6,8,2,7,5,2,8,24,23,0,5,0.49,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,9,2,0,1,8,9,0,0,0,43,37,12,796,878,90.7,13200,4534,373,399,384,416,29,42,0,0.6,0.5,-0.6,2,63,3,0,57,956,56,332,525,103,10,956,2,0,2,677,3333,2158,12,12,0,4,3,741,8,2,5,2,0.49,0.2,0.4,1.0,7.3,0,0,0,0.7,0.7,0.13,1.3,1.3,2
5,Marc Albrighton,ENG,FW|DF,Leicester City,1989,12.6,31,19,16,9,6,10,47,37,15,3,12,14,45,20,0,19,1.51,12,4,0,0,3,0,2,0.16,2,0,0,0,0,0,3,0,0,6,13,2,78,14,19,0,0,0,65,4,13,347,558,62.2,5152,2040,220,258,86,145,26,94,2,2.0,1.0,0.0,11,23,8,6,26,705,35,166,302,243,12,705,40,15,25,357,1616,691,21,14,2,21,8,397,56,1,4,1,0.32,0.08,0.25,1.0,16.3,0,0,0,0.5,0.5,0.12,0.5,0.5,2
10,Dele Alli,ENG,MF,Tottenham,1996,7.3,14,8,10,3,1,5,17,12,22,5,17,6,20,16,0,7,0.96,4,0,0,0,3,0,1,0.14,0,0,0,0,1,0,1,0,0,12,11,2,5,6,8,1,0,0,40,7,11,177,228,77.6,2353,563,105,124,45,53,10,20,0,0.3,0.4,-0.3,2,14,4,1,18,339,24,74,188,82,14,338,27,12,15,184,923,358,8,8,0,13,19,203,22,1,3,2,0.41,0.27,0.0,0.0,21.4,0,1,1,1.6,0.8,0.26,-0.6,-0.8,2
11,Dele Alli,ENG,MF|FW,Everton,1996,3.8,7,2,3,4,0,0,4,4,7,2,5,6,13,10,0,13,3.46,12,1,0,0,0,0,1,0.27,1,0,0,0,0,0,3,0,0,9,7,2,1,6,2,0,0,0,24,9,8,114,157,72.6,1696,434,63,81,34,45,9,12,0,0.4,0.4,-0.4,7,10,3,1,13,225,13,50,107,71,13,225,14,5,9,108,708,290,7,8,3,15,6,132,21,0,3,0,0.8,0.0,0.0,0.0,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2
14,Steven Alzate,COL,MF,Brighton,1998,4.5,10,4,4,5,1,4,7,3,2,1,1,10,20,10,0,6,1.34,6,0,0,0,0,0,1,0.22,1,0,0,0,0,0,0,0,0,6,4,0,0,10,4,0,0,0,39,4,8,204,233,87.6,3213,865,105,116,72,78,17,24,0,0.2,0.2,-0.2,2,18,1,0,21,292,14,79,165,50,3,292,8,6,2,148,650,330,3,7,1,8,3,177,6,0,1,1,0.22,0.22,0.0,0.0,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2
18,Cameron Archer,ENG,FW|MF,Aston Villa,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,4,4,100.0,62,29,3,3,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11,0,1,3,7,1,11,1,0,1,7,44,10,0,1,0,1,2,7,1,0,1,0,3.33,0.0,0.0,0.0,12.6,0,0,0,0.0,0.0,0.04,0.0,0.0,2
19,Alphonse Areola,FRA,GK,West Ham,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,52.5,785,656,2,2,8,8,11,30,0,0.0,0.0,0.0,0,0,0,0,0,42,40,42,0,0,0,42,0,0,0,20,85,41,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
20,Adam Armstrong,ENG,FW,Southampton,1997,15.7,10,4,2,2,6,0,6,6,13,1,12,3,13,6,0,36,2.29,22,0,5,6,3,0,3,0.19,2,0,0,0,1,0,1,0,0,13,6,2,18,3,4,1,0,0,36,13,23,229,324,70.7,3453,610,111,142,93,126,12,22,2,1.6,1.4,0.4,13,11,13,0,30,493,9,40,184,275,75,493,42,16,26,287,1882,768,39,24,22,45,13,335,105,2,47,14,2.99,0.89,0.04,0.14,17.2,0,0,0,4.5,4.5,0.1,-2.5,-2.5,2
22,Kepa Arrizabalaga,ESP,GK,Chelsea,1994,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,115,138,83.3,2398,1340,36,36,55,55,21,44,0,0.0,0.0,0.0,0,1,0,0,0,146,125,146,0,0,0,146,0,0,0,101,389,218,0,0,0,0,0,80,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
23,Harrison Ashby,SCO,DF,West Ham,2001,0.1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,100.0,110,8,5,5,1,1,1,1,0,0.0,0.0,0.0,0,0,0,0,0,9,1,3,1,5,0,9,0,0,0,5,35,6,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
24,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,1989,11.5,11,5,6,4,1,3,10,7,12,1,11,0,11,4,0,22,1.91,14,0,2,4,2,0,3,0.26,2,0,0,1,0,0,3,0,0,15,8,10,11,0,5,0,0,0,22,25,28,137,208,65.9,1801,404,90,115,37,64,4,9,1,1.0,0.9,0.0,9,6,8,0,26,319,2,33,117,171,50,317,7,2,5,142,779,456,21,9,10,16,4,220,47,4,33,16,2.86,1.39,0.12,0.25,15.0,0,0,2,5.9,4.2,0.13,-1.9,-0.2,2
29,Leon Bailey,JAM,FW|MF,Aston Villa,1997,8.5,17,11,6,8,3,6,13,7,10,1,9,1,18,2,0,20,2.37,15,0,1,2,2,0,1,0.12,1,0,0,0,0,0,3,0,0,12,11,4,33,1,11,0,0,0,38,10,16,150,226,66.4,2354,518,76,95,47,66,15,36,2,0.8,1.1,1.2,7,6,9,1,24,348,3,29,119,206,35,348,29,13,16,232,1679,693,34,14,10,33,24,244,61,1,21,8,2.48,0.95,0.05,0.13,19.4,4,0,0,1.5,1.5,0.07,-0.5,-0.5,2
