,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
1,Che Adams,SCO,FW,Southampton,1996,22.7,13,6,5,5,3,2,16,14,18,2,16,8,21,18,0,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,304,472,64.4,4188,1017,188,256,73,106,18,34,3,3.0,1.7,0.0,26,24,10,0,33,712,22,81,293,344,94,712,35,20,15,394,1804,651,19,13,13,59,34,537,153,7,49,24,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1,0
7,Trent Alexander-Arnold,ENG,DF,Liverpool,1998,31.7,40,23,19,13,8,27,60,33,22,4,18,43,83,40,0,160,5.05,96,53,3,7,1,0,18,0.57,13,4,0,1,0,0,2,0,0,12,7,11,273,43,23,0,0,0,235,15,13,2039,2757,74.0,40112,15683,841,964,811,1048,344,636,12,12.0,13.0,0.0,90,245,85,25,267,3036,71,602,1386,1070,83,3036,39,19,20,1504,5687,2824,53,55,14,41,19,1897,201,2,51,15,1.61,0.47,0.04,0.13,24.0,8,0,0,2.4,2.4,0.05,-0.4,-0.4,0
13,Marcos Alonso,ESP,DF,Chelsea,1990,24.1,41,29,20,12,9,17,36,19,29,5,24,43,84,53,0,93,3.86,66,16,3,6,2,0,10,0.42,7,2,0,1,0,0,8,0,0,25,28,3,149,43,29,0,1,0,139,40,28,1142,1486,76.9,17781,5763,624,709,387,478,84,194,4,4.5,3.4,-0.5,43,67,34,15,93,1791,72,451,626,730,69,1791,35,15,20,882,4325,2172,51,32,10,43,25,1037,192,4,43,10,1.79,0.42,0.09,0.4,18.7,9,0,0,2.8,2.8,0.07,1.2,1.2,0
17,Michail Antonio,JAM,FW,West Ham,1990,33.0,23,17,5,9,9,7,18,11,19,1,18,3,26,13,0,97,2.94,65,1,11,11,9,0,17,0.51,10,0,1,4,2,0,8,1,1,50,52,13,63,3,17,0,0,0,90,79,112,438,702,62.4,6545,1294,252,324,121,192,37,63,8,6.0,5.0,2.0,45,24,27,12,46,1095,17,59,398,663,159,1094,93,50,43,681,4270,1921,77,46,35,136,72,885,246,10,82,27,2.48,0.82,0.12,0.37,14.9,0,0,1,10.8,10.2,0.12,-0.8,-0.2,0
21,Stuart Armstrong,SCO,MF,Southampton,1992,16.4,27,19,15,6,6,9,23,14,10,1,9,8,35,15,0,54,3.3,42,2,2,3,4,1,3,0.18,1,0,1,0,1,0,1,0,0,11,20,1,35,8,19,1,0,0,94,3,11,590,744,79.3,8618,2144,321,386,217,250,25,42,0,1.5,1.4,-1.5,25,46,23,4,83,946,22,124,408,428,41,946,54,27,27,595,4052,1934,63,50,12,40,27,661,78,2,38,9,2.32,0.55,0.05,0.22,20.5,0,0,0,2.5,2.5,0.07,-0.5,-0.5,0
25,Jordan Ayew,GHA,FW,Crystal Palace,1991,22.4,47,30,20,20,7,17,31,14,33,3,30,15,62,15,0,61,2.72,41,1,2,3,13,1,6,0.27,5,0,0,0,1,0,2,0,0,38,66,2,74,15,30,1,0,0,132,32,58,576,754,76.4,7894,1509,346,389,180,228,17,54,3,2.8,2.9,0.2,23,31,16,6,51,1087,15,149,514,450,67,1087,71,34,37,696,4590,2316,98,49,24,84,77,779,151,3,35,8,1.56,0.36,0.09,0.38,16.8,1,0,0,3.1,3.1,0.09,-0.1,-0.1,0
36,Harvey Barnes,ENG,FW|MF,Leicester City,1997,23.3,31,16,9,11,11,7,23,16,24,1,23,5,36,7,0,63,2.7,48,0,7,4,3,1,13,0.56,11,0,0,2,0,0,2,0,0,19,20,10,45,5,16,0,0,0,93,24,41,550,756,72.8,6899,1906,366,442,137,199,15,34,10,4.6,3.2,5.4,29,26,24,7,59,1052,17,115,361,589,130,1052,75,31,44,732,5181,2962,107,61,48,58,43,834,237,6,66,24,2.83,1.03,0.09,0.25,16.1,0,0,0,5.6,5.6,0.09,0.4,0.4,0
43,Saïd Benrahma,ALG,FW|MF,West Ham,1995,24.1,28,17,16,9,3,15,38,23,17,1,16,9,37,8,0,75,3.11,58,0,7,7,3,0,8,0.33,7,0,0,1,0,0,0,0,0,9,15,9,74,9,17,0,0,0,128,10,19,632,841,75.1,8891,2023,367,432,191,250,32,68,6,3.7,3.3,2.3,32,37,29,10,73,1121,12,136,422,577,87,1121,80,37,43,725,4411,2034,73,42,26,62,30,807,222,8,63,20,2.62,0.83,0.13,0.4,19.6,3,0,0,4.8,4.8,0.08,3.2,3.2,0
52,Jarrod Bowen,ENG,FW,West Ham,1996,33.1,36,20,20,11,5,17,44,27,29,2,27,21,57,14,0,98,2.96,56,16,11,9,5,1,19,0.57,9,3,3,1,3,0,6,0,0,25,43,14,141,21,20,2,0,0,151,38,65,574,863,66.5,9502,2529,302,372,167,225,74,171,10,6.1,4.3,3.9,41,30,24,3,66,1225,27,171,460,625,139,1225,88,50,38,710,4968,1928,74,43,43,65,52,769,204,12,79,34,2.38,1.03,0.15,0.35,15.7,0,0,0,11.9,11.9,0.15,0.1,0.1,0
54,Armando Broja,ALB,FW,Southampton,2001,21.9,12,5,2,7,3,2,9,7,17,1,16,3,15,11,0,38,1.73,19,0,7,7,4,1,4,0.18,0,0,2,0,2,0,2,0,0,29,26,13,8,3,5,1,0,0,81,88,166,243,404,60.1,2594,572,167,249,48,87,1,7,0,1.0,0.3,-1.0,10,13,2,0,29,673,15,51,278,360,101,673,70,33,37,364,2447,1247,56,28,33,68,50,488,114,6,45,19,2.05,0.87,0.13,0.32,13.0,0,0,0,5.9,5.9,0.13,0.1,0.1,0
