,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
8,Alisson,BRA,GK,Liverpool,1992,36.0,3,1,3,0,0,3,5,2,1,0,1,0,3,28,1,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,80,15,1,1214,1388,87.5,28439,18286,275,276,686,699,249,409,1,0.2,0.0,0.8,1,16,1,0,1,1469,1042,1452,17,0,0,1469,1,1,0,873,3573,2223,0,0,0,1,0,836,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
28,Daniel Bachmann,AUT,GK,Watford,1994,12.0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,10,2,0,216,364,59.3,7080,5483,19,19,104,109,93,234,0,0.0,0.0,0.0,0,9,0,0,0,401,325,399,2,0,0,401,1,1,0,214,1241,835,0,0,0,0,0,148,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
105,Karl Darlow,ENG,GK,Newcastle Utd,1990,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,5,2,0,155,250,62.0,6276,4923,13,13,42,43,99,191,0,0.0,0.0,0.0,0,10,0,0,0,266,214,262,4,0,0,266,0,0,0,137,793,437,0,0,0,0,0,92,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
132,Martin Dúbravka,SVK,GK,Newcastle Utd,1989,26.0,1,1,1,0,0,0,1,1,0,0,0,0,1,8,2,3,0.12,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,19,4,1,534,846,63.1,18819,14800,62,62,228,233,242,544,0,0.0,0.0,0.0,2,13,0,0,0,895,688,887,9,0,0,895,0,0,0,462,2679,1338,0,0,0,0,0,324,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
136,Ederson,BRA,GK,Manchester City,1993,37.0,2,1,2,0,0,0,2,2,0,0,0,0,2,12,0,2,0.05,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,3,0,0,1,4,0,0,0,1,0,1,0,43,10,3,1016,1128,90.1,22789,14725,280,280,519,523,212,316,0,0.0,0.1,0.0,0,7,1,0,3,1169,906,1159,10,0,0,1169,0,0,0,795,3425,2214,0,0,0,0,0,714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
148,Łukasz Fabiański,POL,GK,West Ham,1985,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0.08,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,0,1,0,21,11,0,666,1013,65.7,20643,15735,110,111,270,274,281,622,0,0.0,0.0,0.0,0,10,0,0,0,1084,978,1081,3,0,0,1084,0,0,0,593,3722,2293,0,0,0,0,1,414,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
154,Álvaro Fernández,ESP,GK,Brentford,1998,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,18,2,2,336,517,65.0,8817,5774,77,79,149,154,109,282,0,0.0,0.0,0.0,0,10,0,0,1,546,422,540,6,0,0,546,0,0,0,340,1672,890,0,0,0,1,0,280,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
165,Fraser Forster,ENG,GK,Southampton,1988,19.0,1,0,1,0,0,0,1,1,0,0,0,0,1,23,2,3,0.16,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,7,7,0,360,603,59.7,11459,8540,48,49,167,173,144,377,0,0.0,0.0,0.0,0,11,0,0,0,673,513,669,4,0,0,673,0,0,0,336,2160,1197,0,0,0,0,0,260,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
166,Ben Foster,ENG,GK,Watford,1983,26.0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,4,8,0.31,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,54,5,3,428,886,48.3,16732,14440,38,39,137,148,253,692,1,0.1,0.1,0.9,1,33,1,0,0,940,719,925,16,0,0,940,1,1,0,450,2800,1448,0,0,0,0,0,338,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
176,David de Gea,ESP,GK,Manchester Utd,1990,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,0.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,8,0,677,924,73.3,16463,11234,176,178,332,343,166,397,0,0.0,0.0,0.0,0,5,0,0,0,1020,928,1019,1,0,0,1020,0,0,0,466,2450,1468,0,0,0,0,0,371,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
