,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
10,Dele Alli,ENG,MF,Tottenham,1996,7.3,14,8,10,3,1,5,17,12,22,5,17,6,20,16,0,7,0.96,4,0,0,0,3,0,1,0.14,0,0,0,0,1,0,1,0,0,12,11,2,5,6,8,1,0,0,40,7,11,177,228,77.6,2353,563,105,124,45,53,10,20,0,0.3,0.4,-0.3,2,14,4,1,18,339,24,74,188,82,14,338,27,12,15,184,923,358,8,8,0,13,19,203,22,1,3,2,0.41,0.27,0.0,0.0,21.4,0,1,1,1.6,0.8,0.26,-0.6,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Dele Alli,ENG,MF|FW,Everton,1996,3.8,7,2,3,4,0,0,4,4,7,2,5,6,13,10,0,13,3.46,12,1,0,0,0,0,1,0.27,1,0,0,0,0,0,3,0,0,9,7,2,1,6,2,0,0,0,24,9,8,114,157,72.6,1696,434,63,81,34,45,9,12,0,0.4,0.4,-0.4,7,10,3,1,13,225,13,50,107,71,13,225,14,5,9,108,708,290,7,8,3,15,6,132,21,0,3,0,0.8,0.0,0.0,0.0,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Miguel Almirón,PAR,MF|FW,Newcastle Utd,1994,19.1,47,29,23,17,7,11,44,33,14,1,13,20,67,13,0,49,2.57,36,0,3,8,2,0,4,0.21,3,0,1,0,0,0,2,0,0,17,25,9,20,20,29,0,0,0,96,5,14,402,511,78.7,5720,1254,229,264,118,149,23,38,0,0.9,0.6,-0.9,16,26,5,0,46,728,22,135,302,307,43,728,39,26,13,446,2959,1319,44,21,12,44,24,471,85,1,32,7,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Marcos Alonso,ESP,DF,Chelsea,1990,24.1,41,29,20,12,9,17,36,19,29,5,24,43,84,53,0,93,3.86,66,16,3,6,2,0,10,0.42,7,2,0,1,0,0,8,0,0,25,28,3,149,43,29,0,1,0,139,40,28,1142,1486,76.9,17781,5763,624,709,387,478,84,194,4,4.5,3.4,-0.5,43,67,34,15,93,1791,72,451,626,730,69,1791,35,15,20,882,4325,2172,51,32,10,43,25,1037,192,4,43,10,1.79,0.42,0.09,0.4,18.7,9,0,0,2.8,2.8,0.07,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Steven Alzate,COL,MF,Brighton,1998,4.5,10,4,4,5,1,4,7,3,2,1,1,10,20,10,0,6,1.34,6,0,0,0,0,0,1,0.22,1,0,0,0,0,0,0,0,0,6,4,0,0,10,4,0,0,0,39,4,8,204,233,87.6,3213,865,105,116,72,78,17,24,0,0.2,0.2,-0.2,2,18,1,0,21,292,14,79,165,50,3,292,8,6,2,148,650,330,3,7,1,8,3,177,6,0,1,1,0.22,0.22,0.0,0.0,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Daniel Amartey,GHA,DF,Leicester City,1994,23.6,26,13,19,7,0,19,29,10,30,22,8,21,47,93,4,18,0.76,18,0,0,0,0,0,1,0.04,1,0,0,0,0,0,4,0,0,14,8,1,0,21,13,0,0,0,145,33,37,1399,1546,90.5,25246,8400,508,550,769,810,103,140,0,0.2,0.4,-0.2,4,71,1,0,62,1752,246,872,832,52,6,1752,7,6,1,1133,5040,2786,14,12,1,7,1,1278,0,0,2,1,0.08,0.04,0.0,0.0,34.1,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Joachim Andersen,DEN,DF,Crystal Palace,1996,32.4,30,23,21,9,0,16,27,11,29,19,10,37,67,125,3,33,1.02,30,1,0,1,0,1,4,0.12,3,0,0,1,0,0,4,0,0,19,8,1,8,37,23,0,0,1,152,56,48,1911,2351,81.3,44144,15836,410,480,1138,1224,349,604,3,1.7,1.9,1.3,20,151,11,2,100,2614,425,1538,1005,80,32,2614,9,7,2,1604,8191,4478,14,5,2,8,8,1865,4,0,8,3,0.25,0.09,0.0,0.0,15.3,1,0,0,0.7,0.7,0.08,-0.7,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Michail Antonio,JAM,FW,West Ham,1990,33.0,23,17,5,9,9,7,18,11,19,1,18,3,26,13,0,97,2.94,65,1,11,11,9,0,17,0.51,10,0,1,4,2,0,8,1,1,50,52,13,63,3,17,0,0,0,90,79,112,438,702,62.4,6545,1294,252,324,121,192,37,63,8,6.0,5.0,2.0,45,24,27,12,46,1095,17,59,398,663,159,1094,93,50,43,681,4270,1921,77,46,35,136,72,885,246,10,82,27,2.48,0.82,0.12,0.37,14.9,0,0,1,10.8,10.2,0.12,-0.8,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Cameron Archer,ENG,FW|MF,Aston Villa,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,4,4,100.0,62,29,3,3,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11,0,1,3,7,1,11,1,0,1,7,44,10,0,1,0,1,2,7,1,0,1,0,3.33,0.0,0.0,0.0,12.6,0,0,0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Alphonse Areola,FRA,GK,West Ham,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,52.5,785,656,2,2,8,8,11,30,0,0.0,0.0,0.0,0,0,0,0,0,42,40,42,0,0,0,42,0,0,0,20,85,41,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,0.39,0.2,0.17,9.0,28.0,32.1,26.0,3.0,69.2,46.3,14.0,71.4,48.5,15.0,1.0,6.7,0.0,0.0,5.5
