,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
88,Nathan Collins,IRL,DF,Burnley,2001,18.6,37,15,27,8,2,17,27,10,38,25,13,24,61,83,2,18,0.97,12,1,1,3,1,0,1,0.05,1,0,0,0,0,0,2,1,0,20,12,4,3,24,15,0,2,0,128,57,31,448,652,68.7,8648,3847,158,201,232,297,50,127,0,1.5,0.8,-1.5,6,46,5,1,44,882,149,433,376,81,38,882,8,5,3,382,2003,944,7,6,2,10,4,375,8,2,15,5,0.81,0.27,0.13,0.4,9.3,0,0,0,1.5,1.5,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Aaron Connolly,IRL,FW|MF,Brighton,2000,1.7,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,2,1.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,2,5,14,19,73.7,172,16,8,8,5,5,0,1,0,0.1,0.1,-0.1,1,0,0,0,1,33,0,0,13,20,4,33,2,0,2,22,121,38,3,0,0,2,2,22,7,0,2,0,1.15,0.0,0.0,0.0,15.5,0,0,0,0.4,0.4,0.18,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Liam Cooper,SCO,DF,Leeds United,1991,20.2,41,23,27,13,1,23,33,10,29,18,11,43,84,72,2,13,0.64,11,0,1,1,0,0,2,0.1,1,0,0,1,0,0,5,0,0,19,9,2,1,43,23,0,1,0,118,82,44,981,1183,82.9,18604,6591,335,378,547,600,86,171,1,0.1,0.2,0.9,4,31,0,0,46,1405,152,857,530,27,13,1405,4,3,1,748,3635,2147,7,3,0,9,1,822,2,0,6,1,0.3,0.05,0.0,0.0,10.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Jack Cork,ENG,MF,Burnley,1989,18.6,20,6,6,11,3,7,20,13,17,4,13,17,37,29,1,11,0.59,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0,4,0,0,31,10,1,8,17,6,0,0,0,96,26,21,423,577,73.3,6846,1918,217,273,143,191,43,71,0,0.3,0.3,-0.3,6,45,5,1,46,740,39,130,492,121,10,740,13,7,6,309,1204,430,12,7,0,18,20,389,12,1,7,1,0.38,0.05,0.14,1.0,18.0,0,0,0,0.7,0.7,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Maxwel Cornet,CIV,FW|MF,Burnley,1996,19.6,16,9,7,5,4,7,15,8,13,4,9,10,26,14,0,34,1.73,22,3,1,3,5,0,7,0.36,2,1,1,1,2,0,2,0,0,20,20,26,55,10,9,2,0,0,81,24,45,281,437,64.3,3679,860,168,222,68,99,15,48,1,1.7,1.7,-0.7,15,15,14,4,30,664,17,95,212,364,81,663,38,13,25,355,1771,790,28,13,11,61,33,424,125,9,46,22,2.34,1.12,0.2,0.41,16.9,4,0,1,6.7,5.9,0.13,2.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Hélder Costa,ANG,MF,Leeds United,1994,0.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4.29,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,5,5,100.0,79,0,2,2,3,3,0,0,0,0.0,0.0,0.0,0,0,0,0,0,9,0,2,4,3,0,9,0,0,0,6,18,1,0,0,0,1,0,6,2,0,1,0,4.09,0.0,0.0,0.0,23.3,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Vladimír Coufal,CZE,DF,West Ham,1992,24.5,45,25,24,14,7,18,36,18,31,9,22,22,67,64,1,51,2.08,39,10,0,1,1,0,7,0.29,7,0,0,0,0,0,5,1,1,29,15,2,107,22,25,0,1,1,131,33,34,990,1439,68.8,15293,6881,538,630,362,524,63,186,4,2.1,2.6,1.9,21,63,30,16,113,1681,110,454,700,539,30,1681,23,15,8,778,4242,1992,51,38,5,30,15,888,119,0,11,4,0.45,0.16,0.0,0.0,17.7,0,0,0,0.8,0.8,0.07,-0.8,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Philippe Coutinho,BRA,MF|FW,Aston Villa,1992,14.8,17,12,4,11,2,6,21,15,11,1,10,7,24,4,0,62,4.19,47,4,3,6,2,0,8,0.54,6,0,1,1,0,0,0,0,0,8,20,4,18,7,12,0,0,0,53,5,17,531,655,81.1,8091,2160,292,340,175,205,38,61,3,2.9,1.7,0.1,25,71,16,3,94,815,7,57,441,330,47,815,43,21,22,568,3066,1595,48,36,9,35,20,632,62,5,43,16,2.91,1.08,0.12,0.31,21.2,6,0,0,3.8,3.8,0.09,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Aaron Cresswell,ENG,DF,West Ham,1989,30.3,28,18,18,6,4,13,25,12,31,18,13,35,63,66,0,53,1.75,31,20,0,2,0,0,6,0.2,2,4,0,0,0,0,3,0,0,14,10,2,145,35,18,0,1,0,163,32,24,1656,2096,79.0,27331,11135,837,912,650,755,134,318,3,3.2,3.0,-0.2,31,131,19,12,186,2312,126,674,1078,576,22,2312,17,8,9,1305,5741,2727,54,45,2,14,4,1497,99,2,18,3,0.59,0.1,0.11,0.67,20.5,8,0,0,1.1,1.1,0.06,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Charlie Cresswell,ENG,DF,Leeds United,2002,1.6,5,2,1,4,0,3,3,0,1,1,0,2,7,6,0,2,1.28,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,3,0,1,1,2,2,0,0,0,6,6,3,75,106,70.8,1560,592,23,29,43,50,9,24,0,0.0,0.0,0.0,0,3,0,0,4,124,11,71,50,3,1,124,0,0,0,68,394,271,1,0,0,1,0,77,0,0,1,0,0.64,0.0,0.0,0.0,9.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Cucho,COL,FW|MF,Watford,1999,12.7,13,5,5,5,3,5,27,22,13,1,12,5,18,9,0,44,3.45,26,5,6,6,1,0,5,0.39,3,1,0,1,0,0,3,0,0,13,12,1,52,5,5,0,0,1,65,31,51,239,394,60.7,3852,1368,126,172,68,106,31,66,2,1.9,1.1,0.1,20,21,15,6,39,545,19,78,196,277,39,545,39,18,21,308,1647,797,22,19,5,23,14,352,85,5,34,10,2.67,0.78,0.15,0.5,19.0,5,0,0,2.5,2.5,0.07,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Marc Cucurella,ESP,DF,Brighton,1998,34.3,93,62,43,32,18,44,71,27,42,14,28,30,123,74,0,101,2.94,88,8,1,2,1,1,3,0.09,2,1,0,0,0,0,6,0,0,28,30,3,115,30,62,0,0,0,247,40,36,1890,2356,80.2,29046,9900,1014,1131,718,856,110,219,1,2.7,2.8,-1.7,42,158,49,17,191,2717,115,683,1205,848,53,2717,55,28,27,1431,6642,4085,104,64,8,40,15,1638,208,1,18,3,0.52,0.09,0.06,0.33,20.9,0,0,0,0.7,0.7,0.04,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Luke Cundle,ENG,MF,Wolves,2002,2.0,4,3,0,4,0,1,1,0,0,0,0,1,5,1,0,3,1.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,3,0,0,0,12,0,2,96,105,91.4,1485,302,48,51,38,42,7,9,0,0.2,0.2,-0.2,2,11,2,0,9,116,3,30,68,18,1,116,1,0,1,48,188,103,3,1,0,2,1,86,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Patson Daka,ZAM,FW,Leicester City,1998,12.9,15,10,2,8,5,2,19,17,7,0,7,2,17,8,0,30,2.33,23,0,0,3,2,2,9,0.7,6,0,0,1,0,2,2,0,0,17,14,7,1,2,10,0,0,0,29,17,44,165,223,74.0,2158,323,99,125,49,59,4,7,3,2.0,0.8,1.0,13,6,5,0,17,370,10,31,170,171,50,370,16,3,13,195,766,299,10,4,3,42,18,244,66,5,26,15,2.02,1.16,0.19,0.33,15.2,0,0,0,4.2,4.2,0.16,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Stuart Dallas,NIR,DF|MF,Leeds United,1991,32.4,93,55,58,31,4,56,105,49,45,14,31,57,150,63,2,74,2.28,46,18,4,1,3,2,3,0.09,2,0,0,0,0,1,5,0,0,33,30,2,101,57,55,0,1,0,219,32,34,1306,1685,77.5,20351,7389,730,812,440,539,99,227,1,2.3,2.5,-1.3,31,108,24,5,170,2056,103,665,923,504,28,2056,43,29,14,985,5629,3146,82,53,8,39,25,1113,79,1,30,8,0.92,0.25,0.03,0.13,21.7,0,0,0,1.9,1.9,0.06,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Diogo Dalot,POR,DF,Manchester Utd,1999,20.0,55,41,35,12,8,31,57,26,24,13,11,29,84,59,0,42,2.1,37,1,3,0,1,0,5,0.25,5,0,0,0,0,0,4,0,0,18,4,1,58,29,41,0,0,0,151,29,17,934,1193,78.3,17062,6008,407,477,396,490,117,181,0,1.2,1.3,-1.2,16,80,21,7,105,1422,86,450,649,337,27,1422,25,17,8,734,3825,2193,53,29,13,25,8,826,75,0,13,4,0.65,0.2,0.0,0.0,21.0,0,0,0,0.6,0.6,0.04,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Karl Darlow,ENG,GK,Newcastle Utd,1990,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,5,2,0,155,250,62.0,6276,4923,13,13,42,43,99,191,0,0.0,0.0,0.0,0,10,0,0,0,266,214,262,4,0,0,266,0,0,0,137,793,437,0,0,0,0,0,92,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,15.0,1.87,37.0,23.0,64.9,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,2.0,0.0,1.0,1.0,9.5,0.21,-4.5,-0.56,72.0,163.0,44.2,187.0,28.0,61.5,44.5,62.0,77.4,56.7,106.0,5.0,4.7,4.0,0.5,10.5
105,Josh Dasilva,ENG,MF|FW,Brentford,1998,2.9,2,1,0,1,1,1,2,1,3,0,3,1,3,7,0,8,2.8,6,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,4,3,0,4,1,1,0,0,0,23,3,1,75,93,80.6,1172,336,38,43,32,40,2,4,0,0.1,0.3,-0.1,3,6,4,0,11,123,10,28,54,42,6,123,11,7,4,74,562,333,10,6,3,5,5,66,10,0,1,0,0.35,0.0,0.0,0.0,13.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Ben Davies,WAL,DF,Tottenham,1993,28.2,36,21,20,12,4,13,26,13,32,19,13,30,66,75,1,30,1.06,28,1,0,1,0,0,3,0.11,2,0,0,1,0,0,6,0,0,31,18,5,19,30,21,0,1,0,106,67,52,1391,1648,84.4,22461,7504,696,757,602,681,68,137,1,0.5,0.9,0.5,11,112,14,3,137,1888,140,727,906,266,31,1888,11,7,4,1211,7055,4295,62,61,0,22,10,1344,60,1,18,7,0.64,0.25,0.06,0.14,17.1,0,0,0,2.3,2.3,0.13,-1.3,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Tom Davies,ENG,MF,Everton,1998,2.6,3,1,1,1,1,2,5,3,2,1,1,2,5,9,0,5,1.91,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0,4,3,0,0,2,1,0,0,0,9,3,2,60,82,73.2,822,261,35,38,18,24,2,6,0,0.0,0.1,0.0,0,4,1,0,7,124,10,31,62,32,9,124,3,2,1,59,206,79,1,0,1,6,1,68,3,1,6,2,2.31,0.77,0.17,0.5,17.3,0,0,0,0.8,0.8,0.14,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Keinan Davis,ENG,FW,Aston Villa,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,100.0,44,24,1,1,2,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,5,0,0,3,2,0,5,0,0,0,7,13,6,0,0,0,2,1,7,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Craig Dawson,ENG,DF,West Ham,1990,30.6,29,17,20,8,1,14,25,11,59,52,7,29,58,139,0,18,0.59,12,0,1,5,0,0,5,0.16,3,0,0,2,0,0,5,1,0,39,12,1,1,29,17,0,3,0,113,93,55,1035,1285,80.5,21842,7575,328,360,539,603,161,292,2,1.0,1.0,1.0,4,85,0,0,54,1606,273,844,691,73,45,1606,4,4,0,892,3899,2085,4,4,0,10,5,970,3,2,25,5,0.82,0.16,0.08,0.4,8.5,0,0,0,3.0,3.0,0.12,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Kevin De Bruyne,BEL,MF,Manchester City,1991,24.5,32,16,4,15,13,12,37,25,32,2,30,6,38,16,0,152,6.22,105,30,5,9,3,0,14,0.57,10,3,1,0,0,0,2,0,0,21,27,4,180,6,16,0,0,0,114,11,18,1170,1568,74.6,19948,5365,581,663,434,558,122,249,8,10.4,7.5,-2.4,87,143,65,10,204,1821,25,127,685,1027,107,1821,55,31,24,1126,5397,3213,84,85,20,40,20,1350,175,15,78,31,3.19,1.27,0.19,0.48,19.2,7,0,0,5.7,5.7,0.07,9.3,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Troy Deeney,ENG,FW,Watford,1988,0.3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,3.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,7,42.9,24,10,3,5,0,1,0,0,0,0.1,0.0,-0.1,1,1,0,0,1,12,2,2,1,9,5,12,0,0,0,2,5,3,0,0,0,1,0,10,5,0,2,0,7.2,0.0,0.0,0.0,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Liam Delap,ENG,FW,Manchester City,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,100.0,13,9,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Fabian Delph,ENG,MF,Everton,1989,7.4,18,15,10,7,1,8,21,13,12,5,7,14,32,10,0,6,0.82,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0,2,0,0,8,6,0,1,14,15,0,0,0,61,5,4,259,309,83.8,4612,1427,125,138,90,103,35,48,0,0.1,0.1,-0.1,4,37,2,0,34,382,20,103,231,50,0,382,7,5,2,215,868,337,2,2,0,8,0,226,3,0,2,0,0.27,0.0,0.0,0.0,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Leander Dendoncker,BEL,MF,Wolves,1995,21.7,42,17,25,14,3,22,50,28,37,10,27,9,51,38,1,27,1.25,25,0,0,1,0,1,7,0.32,5,0,0,1,0,1,4,0,0,13,6,0,5,9,17,0,0,0,107,30,33,709,822,86.3,11172,2199,328,377,301,328,45,57,2,1.1,0.4,0.9,11,52,4,0,64,1024,59,282,542,203,33,1024,10,5,5,461,1863,722,9,14,0,25,9,651,45,2,23,10,1.06,0.46,0.09,0.2,16.1,0,0,0,2.2,2.2,0.1,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Emmanuel Dennis,NGA,FW|MF,Watford,1997,28.7,51,35,20,22,9,17,52,35,36,2,34,15,66,13,0,85,2.96,52,2,13,8,9,1,12,0.42,7,0,1,2,1,1,9,1,1,59,40,12,39,15,35,1,0,0,125,45,78,411,628,65.4,5461,1617,261,349,100,147,21,37,6,4.1,2.1,1.9,33,26,19,4,61,1078,22,134,414,556,131,1078,156,68,88,644,4553,2346,90,53,48,107,63,706,172,10,60,26,2.09,0.91,0.17,0.38,15.5,7,0,0,7.3,7.3,0.12,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,1998,23.4,39,24,20,14,5,19,40,21,37,8,29,21,60,26,1,77,3.29,58,5,8,3,3,0,6,0.26,5,1,0,0,0,0,4,0,0,20,29,0,86,21,24,0,0,0,155,16,23,950,1250,76.0,13947,3778,542,623,308,394,55,134,2,2.7,2.6,-0.7,35,103,26,7,132,1516,47,286,756,498,41,1516,49,30,19,910,5877,3083,82,66,7,56,46,1076,98,1,21,3,0.9,0.13,0.05,0.33,21.6,1,0,0,1.2,1.2,0.06,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Ibrahima Diallo,FRA,MF,Southampton,1999,11.4,22,11,10,9,3,10,24,14,7,0,7,9,31,10,0,30,2.64,24,0,4,0,1,1,3,0.26,3,0,0,0,0,0,1,0,0,8,15,0,7,9,11,0,0,0,77,11,12,361,453,79.7,5657,1490,190,232,132,155,26,35,2,1.0,0.3,1.0,16,43,3,2,57,546,23,93,318,143,10,546,21,16,5,321,1717,855,17,24,1,18,13,360,20,0,8,4,0.7,0.35,0.0,0.0,21.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
