,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
39,Jan Bednarek,POL,DF,Southampton,1996,29.2,32,15,18,13,1,19,33,14,48,27,21,72,104,141,0,22,0.75,16,3,0,1,0,2,1,0.03,1,0,0,0,0,0,10,0,0,30,15,1,1,72,15,0,1,1,177,91,38,1201,1490,80.6,22224,8000,462,523,597,693,117,231,0,0.4,0.7,-0.4,6,81,1,1,61,1828,206,865,904,72,33,1828,1,1,0,873,3515,1642,0,8,0,7,4,993,5,4,19,7,0.65,0.24,0.21,0.57,8.9,0,0,0,2.2,2.2,0.12,1.8,1.8,1
44,Rodrigo Bentancur,URU,MF,Tottenham,1997,15.1,36,18,14,14,8,16,32,16,24,9,15,20,56,35,0,38,2.51,33,0,1,2,1,1,7,0.46,6,0,0,1,0,0,5,0,0,22,13,0,9,20,18,0,0,0,88,21,18,912,1019,89.5,14966,3399,420,454,384,409,64,88,4,2.6,1.4,1.4,15,81,4,2,76,1184,59,255,747,193,15,1184,20,14,6,760,3623,1781,20,21,2,12,13,898,11,0,14,2,0.93,0.13,0.0,0.0,19.5,0,0,0,0.8,0.8,0.06,-0.8,-0.8,1
50,Yves Bissouma,MLI,MF,Brighton,1996,23.5,76,49,35,37,4,21,37,16,33,3,30,50,126,49,0,31,1.32,24,0,4,1,0,2,4,0.17,3,0,0,0,0,1,10,0,0,30,19,0,2,50,49,0,1,0,161,16,15,1061,1193,88.9,17341,3663,517,556,419,456,87,112,2,0.8,0.7,1.2,8,73,13,0,92,1505,90,373,902,249,13,1505,51,34,17,839,5063,2211,40,39,7,32,25,978,16,1,21,5,0.9,0.21,0.05,0.2,25.3,1,0,0,0.9,0.9,0.04,0.1,0.1,1
55,Josh Brownhill,ENG,MF,Burnley,1995,32.8,73,37,25,42,6,21,53,32,37,12,25,68,141,42,1,75,2.28,50,18,2,2,2,1,3,0.09,1,2,0,0,0,0,10,0,0,39,20,0,53,68,37,0,0,0,198,47,32,891,1196,74.5,13793,4197,463,547,291,389,77,147,3,2.6,3.2,0.4,40,97,22,3,106,1528,77,321,828,401,32,1528,30,15,15,614,2557,992,18,29,6,40,18,749,37,2,29,9,0.88,0.27,0.07,0.22,23.8,4,0,0,1.4,1.4,0.05,0.6,0.6,1
67,Sergi Canós,ESP,DF|FW,Brentford,1997,23.1,56,25,32,15,9,33,60,27,32,3,29,22,78,38,0,37,1.6,29,3,3,2,0,0,5,0.22,3,1,0,1,0,0,8,1,1,28,15,5,87,22,25,0,0,1,183,9,27,449,774,58.0,7092,2936,253,316,140,235,38,134,2,1.7,2.3,0.3,17,47,24,9,59,1070,64,303,444,339,50,1070,50,23,27,581,3331,1833,52,44,12,47,25,601,100,3,33,12,1.43,0.52,0.09,0.25,16.3,1,0,0,3.0,3.0,0.09,0.0,0.0,1
69,Matty Cash,POL,DF,Aston Villa,1997,37.5,89,50,52,34,3,47,78,31,54,16,38,49,138,100,2,65,1.73,45,7,6,2,5,0,7,0.19,4,2,1,0,0,0,8,0,0,38,38,2,98,49,50,0,1,0,190,42,45,1113,1627,68.4,18719,7079,547,631,435,606,101,291,3,2.8,2.4,0.2,28,71,32,16,96,2093,140,713,868,538,92,2093,59,33,26,1007,5923,2897,89,54,20,56,31,1030,174,4,37,13,0.99,0.35,0.11,0.31,17.9,0,0,0,2.7,2.7,0.07,1.3,1.3,1
70,Timothy Castagne,BEL,DF,Leicester City,1995,23.6,67,31,38,22,7,27,43,16,28,9,19,29,96,54,1,27,1.14,25,2,0,0,0,0,1,0.04,1,0,0,0,0,0,1,0,0,15,7,1,40,29,31,0,0,0,102,39,38,1077,1330,81.0,16391,5539,611,694,393,467,56,101,0,1.5,1.0,-1.5,15,66,14,8,72,1600,98,551,757,295,21,1600,19,6,13,781,3239,1657,32,22,0,27,11,947,115,1,7,3,0.3,0.13,0.14,0.33,15.2,0,0,0,0.7,0.7,0.1,0.3,0.3,1
72,Craig Cathcart,NIR,DF,Watford,1989,26.6,32,15,25,6,1,16,30,14,39,29,10,28,60,132,3,6,0.23,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,13,4,0,4,28,15,0,0,0,127,48,34,767,953,80.5,16030,5348,231,276,418,476,112,184,1,1.2,0.4,-0.2,3,48,4,1,52,1209,204,662,497,55,11,1209,1,0,1,554,2073,917,6,6,0,6,2,636,0,0,3,0,0.11,0.0,0.0,0.0,10.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2,1
75,Trevoh Chalobah,ENG,DF,Chelsea,1999,16.1,40,27,22,18,0,24,31,7,16,6,10,19,59,43,2,14,0.87,12,0,0,1,1,0,2,0.12,2,0,0,0,0,0,2,0,0,19,14,0,4,19,27,0,1,0,74,32,28,1158,1283,90.3,18559,5304,564,607,517,548,60,94,1,0.3,0.5,0.7,4,106,6,0,88,1442,68,478,833,138,10,1442,12,10,2,816,3176,1703,24,34,0,10,7,1070,14,3,9,7,0.56,0.43,0.33,0.43,18.8,0,0,0,1.1,1.1,0.13,1.9,1.9,1
82,Andreas Christensen,DEN,DF,Chelsea,1996,16.6,14,8,9,4,1,4,7,3,14,6,8,29,43,57,1,9,0.54,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,11,7,0,1,29,8,0,0,0,110,48,38,1201,1336,89.9,21164,7424,495,535,586,631,100,135,0,0.2,0.5,-0.2,6,88,6,1,81,1477,147,645,772,68,5,1477,4,4,0,823,3835,2215,14,15,0,3,1,1058,5,0,5,0,0.3,0.0,0.0,0.0,19.7,0,0,0,0.6,0.6,0.12,-0.6,-0.6,1
