Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
346,Emre Mor,TUR,FW|MF,Celta Vigo,21,1997,4.1,0,8,4,50.0,1.95,0.98,0.00,0.00,21.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7
347,Álvaro Morata,ESP,FW,Atlético Madrid,25,1992,12.0,6,30,13,43.3,2.49,1.08,0.20,0.46,11.2,0,0,0,6.3,6.3,0.22,-0.3,-0.3
348,Álex Moreno,ESP,DF,Rayo Vallecano,25,1993,34.8,1,25,7,28.0,0.72,0.20,0.04,0.14,19.5,0,0,0,1.1,1.1,0.04,-0.1,-0.1
349,Gerard Moreno,ESP,FW,Villarreal,26,1992,25.7,8,70,32,45.7,2.72,1.24,0.11,0.25,14.4,0,0,1,12.0,11.2,0.16,-4.0,-3.2
350,Héctor Moreno,MEX,DF,Real Sociedad,30,1988,21.5,1,6,1,16.7,0.28,0.05,0.17,1.00,10.4,0,0,0,0.6,0.6,0.09,+0.4,+0.4
351,Sergio Moreno,ESP,FW,Rayo Vallecano,19,1999,0.2,0,1,1,100.0,6.43,6.43,0.00,0.00,10.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3
352,Manu Morlanes,ESP,MF,Villarreal,19,1999,6.8,0,3,0,0.0,0.44,0.00,0.00,,27.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
353,Loren Morón,ESP,FW,Betis,24,1993,21.7,6,58,28,48.3,2.67,1.29,0.10,0.21,14.2,0,0,0,8.9,8.6,0.15,-2.9,-2.6
354,Toni Moya,ESP,DF,Atlético Madrid,20,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
355,Javi Moyano,ESP,DF,Valladolid,32,1986,23.3,0,6,2,33.3,0.26,0.09,0.00,0.00,16.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
356,Iker Muniain,ESP,MF|FW,Athletic Club,25,1992,26.5,7,24,11,45.8,0.91,0.42,0.25,0.55,15.6,0,1,1,7.1,6.3,0.26,-0.1,-0.3
357,Marc Muniesa,ESP,DF|MF,Girona,26,1992,15.6,0,7,1,14.3,0.45,0.06,0.00,0.00,18.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5
358,Aihen Muñoz,ESP,DF,Real Sociedad,20,1997,10.6,0,2,0,0.0,0.19,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
359,Ezequiel Muñoz,ARG,DF,Leganés,27,1990,2.3,0,2,0,0.0,0.85,0.00,0.00,,10.7,0,0,0,0.2,0.2,0.10,-0.2,-0.2
360,Joaquín Muñoz,ESP,FW,Atlético Madrid,19,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
361,Luis Muriel,COL,MF|FW,Sevilla,27,1991,1.4,1,4,1,25.0,2.93,0.73,0.25,1.00,18.3,0,0,0,0.2,0.2,0.06,+0.8,+0.8
362,Jeison Murillo,COL,DF,Valencia,26,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
363,Jeison Murillo,COL,DF,Barcelona,26,1992,1.3,0,1,1,100.0,0.80,0.80,0.00,0.00,13.3,0,0,0,0.0,0.0,0.05,0.0,0.0
364,Damián Musto,ARG,MF|DF,Huesca,31,1987,18.7,0,13,2,15.4,0.69,0.11,0.00,0.00,21.4,0,0,0,1.2,1.2,0.09,-1.2,-1.2
365,Nacho,ESP,DF,Valladolid,29,1989,35.0,1,17,5,29.4,0.49,0.14,0.06,0.20,23.2,0,0,0,0.6,0.6,0.03,+0.4,+0.4
366,Nacho,ESP,DF,Real Madrid,28,1990,18.9,0,5,0,0.0,0.27,0.00,0.00,,15.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
367,Naldo,BRA,DF,Espanyol,29,1988,15.1,1,7,1,14.3,0.46,0.07,0.14,1.00,8.2,0,0,0,1.1,1.1,0.15,-0.1,-0.1
368,Ximo Navarro,ESP,DF,Alavés,28,1990,28.1,2,13,3,23.1,0.46,0.11,0.15,0.67,19.8,0,0,0,0.7,0.7,0.05,+1.3,+1.3
369,Jesús Navas,ESP,DF|FW,Sevilla,32,1985,30.1,1,32,11,34.4,1.06,0.37,0.03,0.09,20.8,0,0,0,1.5,1.5,0.05,-0.5,-0.5
370,Keylor Navas,CRC,GK,Real Madrid,31,1986,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
371,Raúl Navas,ESP,DF,Real Sociedad,30,1988,14.6,0,5,0,0.0,0.34,0.00,0.00,,19.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3
372,Neto,BRA,GK,Valencia,29,1989,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
373,Saúl Ñíguez,ESP,MF|DF,Atlético Madrid,23,1994,32.5,4,51,19,37.3,1.57,0.58,0.08,0.21,19.9,1,0,1,5.0,4.1,0.08,-1.0,-0.1
374,Peru Nolaskoain,ESP,DF,Athletic Club,19,1998,5.2,2,4,3,75.0,0.78,0.58,0.50,0.67,13.9,0,0,0,0.4,0.4,0.11,+1.6,+1.6
375,Nolito,ESP,FW|DF,Sevilla,31,1986,0.8,0,2,1,50.0,2.37,1.18,0.00,0.00,7.2,0,0,0,0.5,0.5,0.26,-0.5,-0.5
376,Unai Núñez,ESP,DF,Athletic Club,21,1997,11.8,0,12,3,25.0,1.02,0.25,0.00,0.00,11.6,0,0,0,1.1,1.1,0.09,-1.1,-1.1
377,Allan Nyom,CMR,DF|FW,Leganés,30,1988,19.0,1,5,3,60.0,0.26,0.16,0.20,0.33,19.3,0,0,0,0.3,0.3,0.05,+0.7,+0.7
378,Jan Oblak,SVN,GK,Atlético Madrid,25,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
379,Álvaro Odriozola,ESP,DF,Real Madrid,22,1995,13.1,0,1,1,100.0,0.08,0.08,0.00,0.00,11.6,0,0,0,0.5,0.5,0.46,-0.5,-0.5
380,Dani Ojeda,ESP,MF|DF,Leganés,23,1994,2.1,0,2,1,50.0,0.93,0.47,0.00,0.00,12.1,0,0,0,0.4,0.4,0.19,-0.4,-0.4
381,Lucas Olaza,URU,DF,Celta Vigo,24,1994,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
382,Oier Olazábal,ESP,GK,Levante,28,1989,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
383,Kiko Olivas,ESP,DF,Valladolid,29,1988,34.4,0,6,1,16.7,0.17,0.03,0.00,0.00,8.8,0,0,0,1.3,1.3,0.21,-1.3,-1.3
384,Paulo Oliveira,POR,DF,Eibar,26,1992,24.9,0,9,2,22.2,0.36,0.08,0.00,0.00,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7
385,Mathías Olivera,URU,DF|MF,Getafe,20,1997,11.2,0,6,3,50.0,0.54,0.27,0.00,0.00,18.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
386,Kenneth Omeruo,NGA,DF,Leganés,24,1993,27.0,0,3,1,33.3,0.11,0.04,0.00,0.00,16.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
387,Fabián Orellana,CHI,MF|FW,Eibar,32,1986,30.4,3,77,24,31.2,2.54,0.79,0.03,0.08,17.0,3,1,1,7.2,6.4,0.08,-4.2,-4.4
388,Mikel Oyarzabal,ESP,FW|MF,Real Sociedad,21,1997,35.0,13,63,25,39.7,1.80,0.71,0.16,0.40,16.4,0,3,3,11.1,8.8,0.14,+1.9,+1.2
389,Fernando Pacheco,ESP,GK,Alavés,26,1992,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
390,Rubén Pardo,ESP,MF|FW,Real Sociedad,25,1992,15.2,1,21,4,19.0,1.38,0.26,0.05,0.25,26.9,3,0,0,1.0,1.0,0.05,0.0,0.0
391,Daniel Parejo,ESP,MF,Valencia,29,1989,34.0,9,38,15,39.5,1.12,0.44,0.11,0.27,25.5,10,5,6,8.1,3.4,0.09,+0.9,+0.6
392,Thomas Partey,GHA,MF,Atlético Madrid,25,1993,23.0,3,36,7,19.4,1.57,0.30,0.08,0.43,25.3,2,0,0,1.5,1.5,0.04,+1.5,+1.5
