Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
13,Lennart Grill,GER,GK,Leverkusen,22,1999,1,1,90,1.0,2,2.00,6,5,66.7,1,0,0,0,0.0,0,0,0,0,
14,Péter Gulácsi,HUN,GK,RB Leipzig,31,1990,33,33,2967,33.0,34,1.03,111,78,72.1,17,7,9,9,27.3,3,3,0,0,0.0
15,Marwin Hitz,SUI,GK,Dortmund,33,1987,5,4,405,4.5,12,2.67,25,13,60.0,1,0,3,0,0.0,2,2,0,0,0.0
16,Timo Horn,GER,GK,Köln,28,1993,13,13,1170,13.0,21,1.62,56,36,62.5,4,6,3,1,7.7,0,0,0,0,
17,Lukáš Hrádecký,FIN,GK,Leverkusen,31,1989,32,32,2880,32.0,44,1.37,154,109,72.7,17,7,8,8,25.0,4,2,1,1,33.3
18,Stefanos Kapino,GRE,GK,Arminia,27,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
19,Gregor Kobel,SUI,GK,Dortmund,23,1997,29,29,2565,28.5,39,1.37,110,73,67.3,20,3,6,7,24.1,3,3,0,0,0.0
20,Andreas Linde,SWE,GK,Greuther Fürth,28,1993,12,12,1080,12.0,24,2.00,62,39,62.9,1,5,6,3,25.0,1,1,0,0,0.0
21,Marcel Lotka,POL,GK,Hertha BSC,20,2001,10,9,885,9.8,20,2.03,49,29,65.3,2,1,6,2,22.2,3,3,0,0,0.0
22,Andrey Lunyov,RUS,GK,Leverkusen,29,1991,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
23,Andreas Luthe,GER,GK,Union Berlin,34,1987,27,27,2430,27.0,39,1.44,104,68,64.4,11,7,9,6,22.2,2,2,0,0,0.0
24,Josep Martinez,ESP,GK,RB Leipzig,23,1998,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
25,Florian Müller,GER,GK,Stuttgart,23,1997,30,30,2700,30.0,52,1.73,139,88,65.5,7,10,13,4,13.3,4,4,0,0,0.0
26,Manuel Neuer,GER,GK,Bayern Munich,35,1986,28,28,2510,27.9,26,0.93,89,63,71.9,22,4,2,10,35.7,1,1,0,0,0.0
27,Stefan Ortega,GER,GK,Arminia,28,1992,33,33,2970,33.0,53,1.61,176,125,73.9,4,13,16,6,18.2,7,7,0,0,0.0
28,Philipp Pentke,GER,GK,Hoffenheim,36,1985,1,1,90,1.0,3,3.00,7,4,57.1,1,0,0,0,0.0,0,0,0,0,
29,Pavao Pervan,AUT,GK,Wolfsburg,33,1987,6,6,540,6.0,14,2.33,38,25,65.8,1,0,5,1,16.7,1,1,0,0,0.0
30,Diant Ramaj,GER,GK,Eint Frankfurt,19,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
31,Manuel Riemann,GER,GK,Bochum,32,1988,31,31,2790,31.0,45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,1,40.0
32,Frederik Rønnow,DEN,GK,Union Berlin,28,1992,7,7,630,7.0,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,0,
33,Marvin Schwäbe,GER,GK,Köln,26,1995,21,21,1890,21.0,28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,0,100.0
34,Alexander Schwolow,GER,GK,Hertha BSC,29,1992,25,25,2175,24.2,51,2.11,123,72,62.6,7,5,13,4,16.0,5,5,0,0,0.0
35,Tobias Sippel,GER,GK,M'Gladbach,33,1988,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
36,Yann Sommer,SUI,GK,M'Gladbach,32,1988,33,33,2970,33.0,60,1.82,182,120,68.7,12,8,13,5,15.2,5,3,2,0,40.0
37,Kevin Trapp,GER,GK,Eint Frankfurt,31,1990,32,32,2880,32.0,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0.0
38,Philipp Tschauner,GER,GK,RB Leipzig,35,1985,1,0,3,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
39,Sven Ulreich,GER,GK,Bayern Munich,32,1988,6,6,540,6.0,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,0.0
40,Benjamin Uphoff,GER,GK,Freiburg,27,1993,2,2,180,2.0,7,3.50,12,5,41.7,0,1,1,0,0.0,0,0,0,0,
41,Robin Zentner,GER,GK,Mainz 05,26,1994,32,32,2880,32.0,42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,0,20.0
