Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Doğan Alemdar,TUR,GK,Rennes,19,2002,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0
2,Paul Bernardoni,FRA,GK,Angers,25,1997,27,27,2430,27.0,62,2.30,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0
3,Marco Bizot,NED,GK,Brest,31,1991,37,37,3330,37.0,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2
4,Rubén Blanco,ESP,GK,Marseille,27,1995,6,6,495,5.5,6,1.09,19,15,68.4,1,3,2,0,0.0,0,0,0,0,
5,Joaquín Blázquez,ARG,GK,Brest,21,2001,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
6,Marcin Bułka,POL,GK,Nice,22,1999,2,2,180,2.0,2,1.00,6,4,66.7,0,1,1,0,0.0,0,0,0,0,
7,Matis Carvalho,POR,GK,Montpellier,23,1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,
8,Lucas Chevalier,FRA,GK,Lille,20,2001,32,32,2880,32.0,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3
9,Benoît Costil,FRA,GK,Auxerre,35,1987,19,19,1710,19.0,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0.0
10,Rémy Descamps,FRA,GK,Nantes,26,1996,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,
11,Mory Diaw,SEN,GK,Clermont Foot,29,1993,37,37,3330,37.0,47,1.27,161,110,75.8,17,8,12,10,27.0,12,8,4,0,33.3
12,Yehvann Diouf,FRA,GK,Reims,22,1999,31,31,2790,31.0,31,1.00,137,107,78.1,11,12,8,14,45.2,1,1,0,0,0.0
13,Ouparine Djoco,GNB,GK,Clermont Foot,24,1998,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
14,Gianluigi Donnarumma,ITA,GK,Paris S-G,23,1999,38,38,3409,37.9,40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3
15,Maxime Dupé,FRA,GK,Toulouse,29,1993,38,38,3420,38.0,57,1.50,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9
16,Yahia Fofana,CIV,GK,Angers,21,2000,11,11,990,11.0,19,1.73,54,35,66.7,3,1,7,1,9.1,2,1,1,0,50.0
17,Gauthier Gallon,FRA,GK,Troyes,29,1993,30,30,2667,29.6,65,2.19,177,114,66.1,3,9,18,0,0.0,5,5,0,0,0.0
18,Léo Jardim,BRA,GK,Lille,27,1995,6,6,540,6.0,13,2.17,17,4,35.3,3,1,2,0,0.0,2,2,0,0,0.0
19,Bingourou Kamara,SEN,GK,Montpellier,25,1996,5,4,408,4.5,11,2.43,25,13,60.0,0,1,3,0,0.0,3,1,1,1,50.0
20,Alban Lafont,FRA,GK,Nantes,23,1999,37,37,3329,37.0,54,1.46,179,129,74.9,7,14,16,11,29.7,9,9,0,0,0.0
21,Jean-Louis Leca,FRA,GK,Lens,36,1985,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
22,Benjamin Lecomte,FRA,GK,Montpellier,31,1991,19,19,1710,19.0,22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,0,50.0
23,Donovan Léon,GUF,GK,Auxerre,29,1992,2,2,180,2.0,2,1.00,11,9,90.9,1,1,0,0,0.0,1,1,0,0,0.0
