Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Yunis Abdelhamid,MAR,DF,Reims,34,1987,37,3330,90,97.4,37.0,37,90,37,0,,0,1.38,45,42,+3,+0.08,+3.08,60.5,50.1,+10.4,+0.28,+1.79
2,Himad Abdelli,ALG,MF|FW,Angers,22,1999,30,2137,71,62.5,23.7,24,83,14,6,23,6,0.33,21,49,-28,-1.18,+0.22,23.8,40.7,-17.0,-0.72,-0.45
3,Salis Abdul Samed,GHA,MF,Lens,22,2000,33,2894,88,84.6,32.2,33,88,30,0,,0,2.24,59,22,+37,+1.15,+0.81,57.7,35.9,+21.8,+0.68,+0.43
4,Laurent Abergel,FRA,MF,Lorient,29,1993,29,2342,81,68.5,26.0,28,83,19,1,26,0,1.72,38,35,+3,+0.12,+0.45,31.6,39.7,-8.1,-0.31,+0.16
5,Matthis Abline,FRA,FW|MF,Auxerre,19,2003,19,806,42,23.6,9.0,8,73,1,11,20,1,1.11,7,14,-7,-0.78,-0.06,11.7,13.3,-1.6,-0.18,+0.30
6,Matthis Abline,FRA,FW|MF,Rennes,19,2003,11,107,10,3.1,1.2,0,,0,11,10,4,2.27,5,0,+5,+4.21,+3.53,2.9,1.3,+1.6,+1.36,+0.93
7,Zakaria Aboukhlal,MAR,FW|MF,Toulouse,22,2000,37,2473,67,72.3,27.5,28,80,12,9,26,0,1.27,38,45,-7,-0.25,-0.35,38.9,42.3,-3.3,-0.12,-0.01
8,Mohamed Achi,FRA,FW,Nantes,20,2002,2,36,18,1.1,0.4,0,,0,2,18,6,0.50,1,0,+1,+2.50,+3.01,0.8,0.0,+0.7,+1.87,+2.15
9,Martin Adeline,FRA,MF|FW,Reims,18,2003,5,107,21,3.1,1.2,0,,0,5,21,10,1.40,3,5,-2,-1.68,-1.74,2.1,2.7,-0.7,-0.57,-0.82
10,Loïc Affamah,FRA,FW,Nantes,20,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
