Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,Yunis Abdelhamid,MAR,DF,Reims,34,1987,37.0,2459,241,1088,1275,123,39,2459,37,21,56.8,14,37.8,1723,10871,6123,40,21,3,27,23,1499,10
2,Himad Abdelli,ALG,MF|FW,Angers,22,1999,23.7,1516,26,237,914,409,23,1516,76,43,56.6,28,36.8,1184,6861,3294,58,60,7,36,20,1066,111
3,Salis Abdul Samed,GHA,MF,Lens,22,2000,32.2,2224,66,404,1502,340,16,2224,49,29,59.2,13,26.5,1849,9645,3457,33,56,3,39,32,1705,44
4,Laurent Abergel,FRA,MF,Lorient,29,1993,26.0,1779,76,581,1069,151,4,1779,41,23,56.1,14,34.1,1384,6069,2597,13,29,0,29,19,1257,14
5,Matthis Abline,FRA,FW|MF,Auxerre,19,2003,9.0,210,3,11,101,103,41,208,23,12,52.2,11,47.8,141,918,319,14,5,7,43,17,155,49
6,Matthis Abline,FRA,FW|MF,Rennes,19,2003,1.2,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11
7,Zakaria Aboukhlal,MAR,FW|MF,Toulouse,22,2000,27.5,1163,32,156,456,571,151,1163,109,42,38.5,57,52.3,901,6003,2662,100,48,44,83,36,843,276
8,Mohamed Achi,FRA,FW,Nantes,20,2002,0.4,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75,2,2,0,0,1,19,1
9,Martin Adeline,FRA,MF|FW,Reims,18,2003,1.2,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83,1,0,0,4,2,27,1
10,Emmanuel Agbadou,CIV,DF,Reims,25,1997,26.5,1798,213,851,877,87,21,1798,14,8,57.1,6,42.9,1287,7671,3866,15,19,2,23,13,1087,8
11,Lucien Agoume,FRA,MF,Troyes,20,2002,12.2,893,45,276,480,143,13,893,13,5,38.5,5,38.5,646,3160,1227,9,10,0,9,11,590,10
12,Ruben Aguilar,FRA,DF,Monaco,29,1993,13.0,975,44,210,463,305,24,975,14,7,50.0,6,42.9,637,3256,1501,29,23,3,14,4,573,78
13,Amar Ahmed,SWE,FW,Troyes,18,2004,0.2,18,0,3,8,7,0,18,1,1,100.0,0,0.0,12,74,21,0,1,0,4,2,12,2
14,Jean-Eudes Aholou,CIV,MF,Strasbourg,28,1994,14.4,799,26,131,483,194,27,799,34,14,41.2,14,41.2,538,2906,1220,25,18,9,34,15,477,37
15,Ludovic Ajorque,FRA,FW,Strasbourg,28,1994,8.6,336,8,32,172,136,50,335,5,3,60.0,2,40.0,225,901,202,2,7,1,19,10,262,55
16,Maghnes Akliouche,FRA,MF|FW,Monaco,20,2002,4.5,210,4,23,85,105,17,210,13,6,46.2,7,53.8,172,897,351,9,5,2,8,7,161,42
17,Doğan Alemdar,TUR,GK,Rennes,19,2002,4.5,154,117,154,0,0,0,154,0,0,,0,,102,490,229,0,0,0,1,0,67,0
18,Jim Allevinah,GAB,DF|FW,Clermont Foot,27,1995,24.9,1134,39,257,502,396,65,1134,88,34,38.6,45,51.1,851,6113,2685,82,62,14,46,40,746,141
19,Mickaël Alphonse,GLP,DF,Ajaccio,33,1989,15.1,879,54,255,457,178,13,879,19,10,52.6,8,42.1,473,2988,1528,30,25,0,15,14,403,34
20,Ibrahim Amadou,FRA,DF|MF,Angers,29,1993,4.7,244,54,147,89,9,2,244,2,1,50.0,1,50.0,167,851,394,0,3,0,2,3,143,5
21,Ayoub Amraoui,MAR,DF|FW,Nice,18,2004,3.3,210,10,69,93,50,1,210,4,2,50.0,1,25.0,165,761,396,6,5,0,3,1,156,18
22,Benjamin André,FRA,MF,Lille,31,1990,32.4,2743,120,626,1774,363,35,2743,36,19,52.8,14,38.9,2057,10561,4605,41,47,0,38,34,1892,46
23,Komnen Andrić,SRB,FW,Clermont Foot,27,1995,16.1,597,14,44,346,210,52,595,15,6,40.0,7,46.7,431,2150,477,8,13,4,47,31,480,88
24,Houssem Aouar,ALG,MF,Lyon,24,1998,5.8,461,6,51,279,134,28,461,23,10,43.5,11,47.8,365,1848,739,12,19,4,8,13,349,36
25,Adil Aouchiche,FRA,MF,Lorient,20,2002,2.8,192,7,30,104,61,8,192,7,2,28.6,3,42.9,149,996,559,16,10,1,6,8,137,20
26,Dennis Appiah,FRA,DF|MF,Nantes,30,1992,8.8,554,37,158,292,113,4,554,18,6,33.3,10,55.6,372,2193,1173,15,13,0,12,10,339,51
