Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
497,Nicolò Rovella,ITA,MF,Genoa,18,2001,13.2,710,844,84.1,12704,3236,323,349,92.6,279,315,88.6,92,142,64.8,2,1.6,0.8,+0.4,16,53,11,4,59
498,Amir Rrahmani,KVX,DF,Napoli,26,1994,12.2,545,600,90.8,9969,3563,222,236,94.1,255,269,94.8,56,75,74.7,0,0.0,0.0,0.0,0,16,0,0,24
499,Kevin Rüegg,SUI,DF|MF,Hellas Verona,21,1998,2.3,49,72,68.1,774,172,26,28,92.9,18,24,75.0,5,14,35.7,0,0.0,0.0,0.0,0,2,1,1,3
500,Daniele Rugani,ITA,DF,Cagliari,26,1994,11.1,402,508,79.1,7043,2474,171,198,86.4,189,220,85.9,33,70,47.1,1,0.5,0.5,+0.5,3,23,2,0,36
501,Matteo Ruggeri,ITA,DF,Atalanta,18,2002,2.3,94,119,79.0,1368,489,58,61,95.1,29,45,64.4,6,9,66.7,0,0.0,0.3,0.0,1,4,1,1,4
502,Mário Rui,POR,DF,Napoli,29,1991,18.5,1133,1386,81.7,17609,5940,631,679,92.9,384,461,83.3,87,171,50.9,2,2.2,2.6,-0.2,31,59,21,12,67
503,Fabián Ruiz Peña,ESP,MF,Napoli,24,1996,28.5,1884,2110,89.3,32946,8928,924,989,93.4,656,706,92.9,244,298,81.9,1,2.0,3.3,-1.0,40,206,39,2,226
504,Alexis Saelemaekers,BEL,FW,Milan,21,1999,22.4,679,860,79.0,8861,2127,417,482,86.5,190,233,81.5,21,51,41.2,4,3.1,2.4,+0.9,30,50,23,9,59
505,Jacopo Sala,ITA,DF,Spezia,28,1991,4.2,237,280,84.6,3953,1509,122,132,92.4,92,111,82.9,18,27,66.7,0,0.7,0.6,-0.7,2,11,5,3,24
506,Eddie Salcedo,ITA,MF|FW,Hellas Verona,18,2001,8.4,181,270,67.0,2357,756,117,149,78.5,50,71,70.4,5,16,31.3,0,0.3,0.5,-0.3,5,14,10,1,29
507,Antonio Sanabria,PAR,FW,Torino,24,1996,10.9,195,260,75.0,2738,388,112,144,77.8,53,66,80.3,14,18,77.8,1,0.6,0.5,+0.4,7,8,8,1,20
508,Alexis Sánchez,CHI,FW,Inter,31,1988,12.7,398,515,77.3,6577,1699,194,231,84.0,118,154,76.6,56,75,74.7,5,5.3,4.0,-0.3,33,38,30,3,62
509,Alex Sandro,BRA,DF,Juventus,29,1991,20.6,1208,1421,85.0,21302,6647,512,549,93.3,550,608,90.5,117,195,60.0,1,1.6,1.9,-0.6,17,100,20,11,130
510,Siriki Sanogo,CIV,MF,Benevento,18,2001,0.1,8,8,100.0,105,4,4,4,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
511,Nicola Sansone,ITA,FW|MF,Bologna,28,1991,13.0,412,533,77.3,6110,1942,246,285,86.3,121,154,78.6,26,51,51.0,2,2.9,1.9,-0.9,31,29,19,5,58
512,Federico Santander,PAR,FW,Bologna,29,1991,0.4,13,19,68.4,162,40,8,11,72.7,4,5,80.0,0,0,,1,0.4,0.3,+0.6,1,2,0,0,1
513,Davide Santon,ITA,DF,Roma,29,1991,6.5,246,281,87.5,4060,1001,116,122,95.1,110,120,91.7,14,29,48.3,1,0.6,0.4,+0.4,5,9,7,3,19
514,Samir Santos,BRA,DF,Udinese,25,1994,24.6,1132,1317,86.0,18965,7117,527,558,94.4,519,583,89.0,69,131,52.7,0,0.6,0.6,-0.6,9,75,5,3,88
515,Riccardo Saponara,ITA,MF,Fiorentina,28,1991,0.6,37,41,90.2,450,88,18,19,94.7,11,12,91.7,1,2,50.0,0,0.0,0.0,0.0,1,4,0,0,3
516,Riccardo Saponara,ITA,FW|MF,Spezia,28,1991,4.3,108,139,77.7,1721,537,57,65,87.7,41,49,83.7,7,12,58.3,0,0.7,0.8,-0.7,4,4,6,0,20
517,Marco Sau,ITA,MF|FW,Benevento,32,1987,8.7,182,268,67.9,2719,611,94,121,77.7,65,90,72.2,14,36,38.9,2,1.8,1.3,+0.2,19,9,6,1,17
518,Gianluca Scamacca,ITA,FW,Genoa,21,1999,15.0,226,349,64.8,3532,535,150,202,74.3,45,74,60.8,26,35,74.3,2,2.7,1.6,-0.7,16,11,6,1,18
519,Nicolás Schiappacasse,URU,MF,Sassuolo,21,1999,0.2,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
520,Pasquale Schiattarella,ITA,MF,Benevento,33,1987,25.0,1091,1353,80.6,19050,6549,471,524,89.9,461,544,84.7,108,186,58.1,1,2.2,1.4,-1.2,25,131,24,2,144
521,Jerdy Schouten,NED,MF,Bologna,23,1997,27.9,1206,1395,86.5,20951,6375,528,592,89.2,515,577,89.3,121,148,81.8,1,1.9,1.6,-0.9,23,154,11,1,148
522,Matteo Scozzarella,ITA,MF,Parma,32,1988,1.7,84,106,79.2,1719,476,27,30,90.0,41,45,91.1,16,31,51.6,0,0.5,0.4,-0.5,6,8,0,0,9
523,Simone Scuffet,ITA,GK,Udinese,24,1996,1.0,19,28,67.9,707,592,2,2,100.0,6,6,100.0,11,20,55.0,0,0.0,0.0,0.0,0,0,0,0,0
524,Jacopo Segre,ITA,MF,Torino,23,1997,2.1,94,106,88.7,1700,429,40,42,95.2,35,41,85.4,16,17,94.1,0,0.0,0.0,0.0,1,9,0,0,4
