Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
240,Hernani,BRA,MF,Parma,26,1994,24.3,11,0,0,50,23,1,85,31,25,0,0,0,108,29,21,58.0
241,Përparim Hetemaj,FIN,MF,Benevento,33,1986,24.6,5,0,0,41,78,1,43,22,27,0,0,0,158,14,28,33.3
242,Aaron Hickey,SCO,DF,Bologna,18,2002,8.4,3,1,0,11,14,0,7,15,8,0,0,0,51,6,5,54.5
243,Wesley Hoedt,NED,DF,Lazio,26,1994,10.6,6,0,0,11,2,0,1,17,16,0,2,0,76,19,9,67.9
244,Elseid Hysaj,ALB,DF,Napoli,26,1994,19.6,2,0,0,16,20,0,18,30,17,0,1,0,116,18,13,58.1
245,Simone Iacoponi,ITA,DF,Parma,33,1987,13.3,3,1,0,15,14,2,13,11,12,0,0,2,72,12,9,57.1
246,Roger Ibanez,BRA,DF,Roma,21,1998,26.6,7,1,1,53,30,0,5,68,37,0,1,1,187,56,36,60.9
247,Zlatan Ibrahimović,SWE,FW,Milan,38,1981,16.6,2,1,0,33,25,40,15,6,4,2,0,0,21,83,41,66.9
248,Igor,BRA,DF,Fiorentina,22,1998,13.0,5,0,0,21,6,1,4,23,9,0,1,0,59,10,13,43.5
249,Ivan Ilić,SRB,MF,Hellas Verona,19,2001,20.4,2,0,0,23,29,0,40,27,14,0,0,0,125,35,25,58.3
250,Josip Iličić,SVN,MF|FW,Atalanta,32,1988,17.0,2,0,0,22,71,8,97,2,4,2,0,0,75,0,18,0.0
251,Ciro Immobile,ITA,FW,Lazio,30,1990,31.7,4,1,0,37,44,30,18,6,13,3,0,0,79,26,54,32.5
252,Riccardo Improta,ITA,DF|MF,Benevento,26,1993,25.9,7,0,0,23,55,2,77,28,23,0,0,1,121,49,49,50.0
253,Roberto Inglese,ITA,FW,Parma,28,1991,6.4,2,0,0,14,10,8,4,0,2,0,0,0,19,15,15,50.0
254,Lorenzo Insigne,ITA,FW,Napoli,29,1991,31.8,2,1,0,9,39,11,113,37,18,0,0,0,199,2,5,28.6
255,Roberto Insigne,ITA,MF|FW,Benevento,26,1994,17.8,2,0,0,13,15,3,47,7,10,0,0,0,79,5,19,20.8
256,Artur Ioniță,MDA,MF,Benevento,29,1990,31.5,6,0,0,59,23,1,25,19,22,2,0,0,125,65,91,41.7
257,Ardian Ismajli,ALB,DF,Spezia,23,1996,14.4,3,1,1,19,13,0,0,23,9,0,0,0,68,40,28,58.8
258,Armando Izzo,ITA,DF,Torino,28,1992,22.3,3,0,0,43,35,2,22,53,16,0,1,0,134,48,37,56.5
259,Mato Jajalo,BIH,MF,Udinese,32,1988,0.4,0,0,0,0,1,0,0,2,1,0,0,0,3,0,0,
260,Jakub Jankto,CZE,MF,Sampdoria,24,1996,26.8,6,0,0,18,28,7,81,24,17,0,1,0,141,9,22,29.0
