Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Gennaro Acampora,ITA,MF|FW,Spezia,26,1994,4.9,8,1.63,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0
2,Francesco Acerbi,ITA,DF,Lazio,32,1988,31.3,31,0.99,26,1,0,2,0,2,5,0.16,5,0,0,0,0,0
3,Andrea Adorante,ITA,FW,Parma,20,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Lucien Agoume,FRA,MF,Spezia,18,2002,8.9,7,0.79,7,0,0,0,0,0,2,0.23,2,0,0,0,0,0
5,Kevin Agudelo,COL,FW,Spezia,21,1998,15.1,38,2.52,19,1,3,8,4,3,7,0.46,5,1,0,1,0,0
6,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,27,1992,11.7,19,1.62,16,0,1,0,0,2,1,0.09,1,0,0,0,0,0
7,Luis Alberto,ESP,MF,Lazio,27,1992,29.1,157,5.40,118,25,7,4,2,1,7,0.24,6,0,1,0,0,0
8,Bruno Alves,POR,DF,Parma,38,1981,18.1,9,0.50,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0
9,Wisdom Amey,ITA,DF,Bologna,14,2005,0.0,1,45.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Sofyan Amrabat,MAR,MF,Fiorentina,23,1996,27.1,36,1.33,35,0,0,1,0,0,1,0.04,1,0,0,0,0,0
11,Djavan Anderson,NED,DF,Lazio,25,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Nícolas Andrade,BRA,GK,Udinese,32,1988,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Davide Angelo Ghislandi,ITA,DF,Atalanta,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
