Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
468,Alex Telles,BRA,DF,Manchester Utd,27,1992,7.7,0,5,1,20.0,0.65,0.13,0.00,0.00,22.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
469,Kenny Tete,NED,DF|MF,Fulham,24,1995,16.5,0,7,1,14.3,0.43,0.06,0.00,0.00,18.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
470,William Thomas Fish,ENG,FW,Manchester Utd,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
471,Luke Thomas,ENG,DF,Leicester City,19,2001,10.8,1,7,3,42.9,0.65,0.28,0.14,0.33,13.7,0,0,0,0.3,0.3,0.04,+0.7,+0.7
472,Youri Tielemans,BEL,MF,Leicester City,23,1997,37.3,6,47,18,38.3,1.26,0.48,0.09,0.22,23.5,4,2,2,4.4,2.8,0.06,+1.6,+1.2
473,Kieran Tierney,SCO,DF,Arsenal,23,1997,25.5,1,15,3,20.0,0.59,0.12,0.07,0.33,24.0,0,0,0,0.5,0.5,0.03,+0.5,+0.5
474,James Tomkins,ENG,DF,Crystal Palace,31,1989,6.1,0,2,1,50.0,0.33,0.16,0.00,0.00,9.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2
475,Fikayo Tomori,ENG,DF,Chelsea,22,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
476,Ferrán Torres,ESP,FW|MF,Manchester City,20,2000,14.5,7,36,14,38.9,2.48,0.96,0.19,0.50,15.6,0,0,0,4.9,4.9,0.13,+2.1,+2.1
477,Cenk Tosun,TUR,FW,Everton,29,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
478,Andros Townsend,ENG,MF|FW,Crystal Palace,29,1991,25.1,1,36,11,30.6,1.43,0.44,0.03,0.09,22.6,4,0,0,2.3,2.3,0.06,-1.3,-1.3
479,Conor Townsend,ENG,DF,West Brom,27,1993,24.8,0,11,4,36.4,0.44,0.16,0.00,0.00,17.4,2,0,0,1.1,1.1,0.10,-1.1,-1.1
480,Adama Traoré,ESP,FW|MF,Wolves,24,1996,29.4,2,43,13,30.2,1.46,0.44,0.05,0.15,19.7,0,0,0,2.0,2.0,0.05,0.0,0.0
481,Bertrand Traoré,BFA,FW,Aston Villa,24,1995,25.7,7,64,23,35.9,2.49,0.89,0.11,0.30,16.7,2,0,0,6.6,6.6,0.10,+0.4,+0.4
482,Trézéguet,EGY,FW,Aston Villa,25,1994,13.0,2,35,12,34.3,2.70,0.93,0.06,0.17,14.2,0,0,0,3.8,3.8,0.11,-1.8,-1.8
483,Leandro Trossard,BEL,MF|FW,Brighton,25,1994,29.0,5,58,23,39.7,2.00,0.79,0.09,0.22,18.6,2,0,0,4.6,4.6,0.08,+0.4,+0.4
484,Kostas Tsimikas,GRE,DF|FW,Liverpool,24,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
485,Axel Tuanzebe,ENG,DF,Manchester Utd,22,1997,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
486,Cengiz Ünder,TUR,FW|MF,Leicester City,23,1997,3.1,0,9,1,11.1,2.88,0.32,0.00,0.00,23.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3
487,Yan Valery,TUN,DF|MF,Southampton,21,1999,1.1,0,2,0,0.0,1.75,0.00,0.00,,25.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2
488,Virgil van Dijk,NED,DF,Liverpool,29,1991,4.1,1,4,2,50.0,0.97,0.49,0.25,0.50,14.8,0,0,0,0.2,0.2,0.06,+0.8,+0.8
489,Jamie Vardy,ENG,FW,Leicester City,33,1987,31.6,15,73,28,38.4,2.31,0.89,0.10,0.25,14.4,0,8,9,19.9,12.8,0.18,-4.9,-5.8
490,Joël Veltman,NED,DF,Brighton,28,1992,25.3,1,14,4,28.6,0.55,0.16,0.07,0.25,16.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1
491,Jannik Vestergaard,DEN,DF,Southampton,27,1992,28.6,3,23,8,34.8,0.80,0.28,0.13,0.38,11.9,0,0,0,1.5,1.5,0.07,+1.5,+1.5
492,Rúben Vinagre,POR,MF|DF,Wolves,21,1999,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
493,Carlos Vinícius,BRA,FW,Tottenham,25,1995,3.4,1,7,4,57.1,2.05,1.17,0.14,0.25,12.1,0,0,0,1.2,1.2,0.18,-0.2,-0.2
494,João Virgínia,POR,GK,Everton,20,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
495,Vitinha,POR,MF,Wolves,20,2000,5.8,0,8,4,50.0,1.38,0.69,0.00,0.00,22.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5
496,Jake Vokins,ENG,DF,Southampton,20,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
497,Matěj Vydra,CZE,FW,Burnley,28,1992,15.2,3,35,9,25.7,2.30,0.59,0.09,0.33,13.7,0,0,0,5.2,5.2,0.15,-2.2,-2.2
498,Theo Walcott,ENG,MF|FW,Southampton,31,1989,18.0,3,29,11,37.9,1.61,0.61,0.10,0.27,20.2,0,0,0,2.3,2.3,0.08,+0.7,+0.7
499,Theo Walcott,ENG,FW,Everton,31,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
500,Kyle Walker,ENG,DF,Manchester City,30,1990,21.6,1,10,3,30.0,0.46,0.14,0.10,0.33,29.2,0,0,0,0.3,0.3,0.03,+0.7,+0.7
501,Kyle Walker-Peters,ENG,DF,Southampton,23,1997,29.4,0,18,7,38.9,0.61,0.24,0.00,0.00,18.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0
502,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,22,1997,34.0,2,7,4,57.1,0.21,0.12,0.29,0.50,15.2,0,0,0,0.9,0.9,0.14,+1.1,+1.1
503,Joel Ward,ENG,DF,Crystal Palace,30,1989,25.1,0,2,1,50.0,0.08,0.04,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
504,James Ward-Prowse,ENG,MF,Southampton,25,1994,38.0,8,39,20,51.3,1.03,0.53,0.13,0.25,26.8,20,3,4,5.7,2.5,0.06,+2.3,+2.5
505,Ollie Watkins,ENG,FW,Aston Villa,24,1995,37.0,14,95,43,45.3,2.57,1.16,0.14,0.30,13.7,0,1,2,14.5,13.0,0.14,-0.5,0.0
506,Caleb Watts,AUS,MF,Southampton,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
507,Adam Webster,ENG,DF,Brighton,25,1995,28.8,1,25,7,28.0,0.87,0.24,0.04,0.14,13.8,0,0,0,2.0,2.0,0.08,-1.0,-1.0
508,Danny Welbeck,ENG,FW,Brighton,29,1990,17.2,6,34,15,44.1,1.98,0.87,0.18,0.40,13.1,0,0,1,6.6,5.8,0.18,-0.6,+0.2
509,Timo Werner,GER,FW|MF,Chelsea,24,1996,28.9,6,79,31,39.2,2.73,1.07,0.08,0.19,13.8,0,0,0,11.4,11.4,0.14,-5.4,-5.4
510,Ashley Westwood,ENG,MF,Burnley,30,1990,37.9,3,20,7,35.0,0.53,0.18,0.15,0.43,23.5,1,0,0,1.2,1.2,0.06,+1.8,+1.8
511,Ben White,ENG,DF|MF,Brighton,22,1997,35.5,0,10,1,10.0,0.28,0.03,0.00,0.00,16.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
512,Georginio Wijnaldum,NED,MF,Liverpool,29,1990,32.7,2,31,9,29.0,0.95,0.28,0.06,0.22,17.8,1,0,0,2.6,2.6,0.08,-0.6,-0.6
513,Brandon Williams,ENG,DF,Manchester Utd,19,2000,2.1,0,1,1,100.0,0.48,0.48,0.00,0.00,11.8,0,0,0,0.2,0.2,0.23,-0.2,-0.2
514,Neco Williams,WAL,DF,Liverpool,19,2001,2.8,0,2,0,0.0,0.72,0.00,0.00,,17.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
515,Rhys Williams,ENG,DF,Liverpool,19,2001,7.3,0,7,0,0.0,0.95,0.00,0.00,,10.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5
516,Willian,BRA,FW,Arsenal,31,1988,15.6,1,20,3,15.0,1.28,0.19,0.05,0.33,19.4,5,0,0,1.9,1.9,0.10,-0.9,-0.9
517,Joe Willock,ENG,MF,Arsenal,20,1999,2.6,0,4,0,0.0,1.51,0.00,0.00,,11.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3
518,Joe Willock,ENG,MF,Newcastle Utd,20,1999,10.9,8,18,12,66.7,1.66,1.10,0.44,0.67,14.2,0,0,1,3.9,3.0,0.17,+4.1,+5.0
519,Callum Wilson,ENG,FW,Newcastle Utd,28,1992,23.2,12,45,16,35.6,1.94,0.69,0.18,0.50,13.4,0,4,4,12.4,9.3,0.21,-0.4,-1.3
520,Harry Winks,ENG,MF,Tottenham,24,1996,9.6,0,4,1,25.0,0.42,0.10,0.00,0.00,30.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
521,Chris Wood,NZL,FW,Burnley,28,1991,30.5,12,68,37,54.4,2.23,1.21,0.15,0.27,14.1,0,2,2,13.0,11.4,0.17,-1.0,-1.4
522,Granit Xhaka,SUI,MF|DF,Arsenal,27,1992,28.0,1,21,7,33.3,0.75,0.25,0.05,0.14,27.1,7,0,0,0.9,0.9,0.04,+0.1,+0.1
523,Andriy Yarmolenko,UKR,FW|MF,West Ham,30,1989,4.2,0,7,2,28.6,1.68,0.48,0.00,0.00,20.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
524,DeAndre Yedlin,USA,DF,Newcastle Utd,27,1993,4.8,0,2,0,0.0,0.41,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
525,Okay Yokuşlu,TUR,MF,West Brom,26,1994,14.6,0,12,0,0.0,0.82,0.00,0.00,,21.1,1,0,0,0.9,0.9,0.07,-0.9,-0.9
526,Wilfried Zaha,CIV,FW,Crystal Palace,27,1992,29.0,11,58,18,31.0,2.00,0.62,0.16,0.50,16.9,0,2,2,8.1,6.5,0.11,+2.9,+2.5
527,Andre-Frank Zambo Anguissa,CMR,MF,Fulham,24,1995,28.7,0,34,8,23.5,1.18,0.28,0.00,0.00,21.6,0,0,0,1.6,1.6,0.05,-1.6,-1.6
528,Andi Zeqiri,SUI,FW|DF,Brighton,21,1999,1.9,0,7,2,28.6,3.68,1.05,0.00,0.00,13.6,0,0,0,0.7,0.7,0.10,-0.7,-0.7
529,Oleksandr Zinchenko,UKR,DF,Manchester City,23,1996,16.4,0,16,4,25.0,0.97,0.24,0.00,0.00,22.7,1,0,0,0.7,0.7,0.04,-0.7,-0.7
530,Hakim Ziyech,MAR,MF|FW,Chelsea,27,1993,13.0,2,35,12,34.3,2.69,0.92,0.06,0.17,23.1,1,0,0,1.9,1.9,0.05,+0.1,+0.1
531,Kurt Zouma,FRA,DF,Chelsea,25,1994,22.5,5,27,12,44.4,1.20,0.53,0.19,0.42,13.4,0,0,0,2.0,2.0,0.07,+3.0,+3.0
532,Martin Ødegaard,NOR,MF,Arsenal,21,1998,9.6,1,15,3,20.0,1.56,0.31,0.07,0.33,22.5,1,0,0,0.7,0.7,0.05,+0.3,+0.3
