Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Ángel,ESP,GK,Granada,18,2002,1,1,90,1.0,2,2.00,9,6,88.9,0,0,1,0,0.0,2,1,1,0,50.0
2,Sergio Asenjo,ESP,GK,Villarreal,31,1989,36,36,3240,36.0,40,1.11,118,79,72.0,15,13,8,10,27.8,9,7,1,1,12.5
3,Édgar Badía,ESP,GK,Elche,28,1992,30,30,2700,30.0,46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,1,37.5
4,Rubén Blanco,ESP,GK,Celta Vigo,25,1995,19,19,1637,18.2,27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,0.0
5,Yassine Bounou,MAR,GK,Sevilla,29,1991,33,33,2970,33.0,28,0.85,106,78,77.4,21,5,7,15,45.5,6,4,2,0,33.3
6,Claudio Bravo,CHI,GK,Betis,37,1983,20,20,1800,20.0,25,1.25,75,50,72.0,8,8,4,7,35.0,5,4,1,0,20.0
7,Cárdenas,ESP,GK,Levante,23,1997,8,8,720,8.0,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,
8,Alberto Cifuentes,ESP,GK,Cádiz,41,1979,2,2,180,2.0,3,1.50,6,2,50.0,1,0,1,1,50.0,0,0,0,0,
9,Jasper Cillessen,NED,GK,Valencia,31,1989,10,10,900,10.0,11,1.10,45,33,77.8,5,1,4,3,30.0,2,1,1,0,50.0
10,Thibaut Courtois,BEL,GK,Real Madrid,28,1992,38,38,3420,38.0,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5
11,Marko Dmitrović,SRB,GK,Eibar,28,1992,35,35,3120,34.7,49,1.41,129,79,64.3,6,11,18,9,25.7,5,3,1,1,25.0
12,Jaume Doménech,ESP,GK,Valencia,29,1990,28,28,2520,28.0,42,1.50,130,88,70.8,5,12,11,4,14.3,6,4,2,0,33.3
13,Aarón Escandell,ESP,GK,Granada,24,1995,5,5,450,5.0,8,1.60,24,16,66.7,1,1,3,1,20.0,0,0,0,0,
14,Jokin Ezkieta,ESP,GK,Athletic Club,23,1996,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
15,Aitor Fernández,ESP,GK,Levante,29,1991,29,29,2610,29.0,44,1.52,120,78,65.8,8,11,10,3,10.3,3,3,0,0,0.0
16,Álvaro Fernández,ESP,GK,Huesca,22,1998,22,22,1980,22.0,32,1.45,95,64,68.4,5,5,12,5,22.7,2,2,0,0,0.0
17,Andrés Fernández,ESP,GK,Huesca,33,1986,16,16,1440,16.0,21,1.31,54,34,66.7,2,8,6,4,25.0,3,3,0,0,0.0
18,Paulo Gazzaniga,ARG,GK,Elche,28,1992,8,8,720,8.0,9,1.13,22,14,63.6,3,1,4,2,25.0,1,1,0,0,0.0
19,David Gil,ESP,GK,Cádiz,26,1994,4,4,360,4.0,10,2.50,17,7,47.1,0,1,3,0,0.0,1,1,0,0,0.0
