Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Sabit Abdulai,GHA,MF,Getafe,21,1999,3,60,20,1.8,0.7,0,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.4,-0.4,-0.65,-0.51
2,Eris Abedini,KVX,MF,Granada,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
3,Abdel Abqar,MAR,DF,Alavés,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
4,Marcos Acuña,ARG,DF,Sevilla,28,1991,30,2330,78,68.1,25.9,26,83,22,4,46,1,1.97,37,28,+9,+0.35,-0.56,41.1,23.8,+17.3,+0.67,+0.48
5,Bobby Adekanye,NED,FW|MF,Cádiz,21,1999,3,36,12,1.1,0.4,0,,0,3,12,6,2.33,0,0,0,0.00,+0.59,0.9,0.5,+0.4,+0.91,+1.47
6,Martin Agirregabiria,ESP,DF|MF,Alavés,24,1996,26,1558,60,45.6,17.3,16,83,11,10,24,12,1.12,19,31,-12,-0.69,-0.26,16.7,26.0,-9.3,-0.54,-0.63
7,Joseph Aidoo,GHA,DF,Celta Vigo,24,1995,25,1289,52,37.7,14.3,14,80,11,11,15,10,1.76,26,22,+4,+0.28,+0.53,20.1,19.1,+1.0,+0.07,+0.14
8,Carlos Akapo,EQG,DF,Cádiz,27,1993,13,865,67,25.3,9.6,10,74,7,3,41,14,1.46,10,8,+2,+0.21,+1.05,8.7,10.2,-1.5,-0.15,+0.52
9,Paul Akouokou,CIV,MF,Betis,22,1997,10,378,38,11.1,4.2,4,75,1,6,13,21,1.50,6,3,+3,+0.71,+0.80,7.3,4.3,+3.0,+0.71,+0.73
10,Jony Álamo,ESP,MF,Elche,18,2001,1,73,73,2.1,0.8,1,73,0,0,,15,1.00,2,1,+1,+1.23,+1.82,0.6,0.8,-0.2,-0.29,+0.54
11,David Alba,ESP,MF,Getafe,21,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
12,Jordi Alba,ESP,DF|FW,Barcelona,31,1989,35,3025,86,88.5,33.6,34,88,28,1,45,1,2.14,79,34,+45,+1.34,+0.88,66.4,35.4,+31.1,+0.92,+0.55
13,Raúl Albiol,ESP,DF,Villarreal,34,1985,35,3115,89,91.1,34.6,35,89,31,0,,2,1.40,51,42,+9,+0.26,-1.81,51.1,38.8,+12.3,+0.35,-0.13
14,Paco Alcácer,ESP,FW,Villarreal,26,1993,27,1544,57,45.1,17.2,19,71,1,8,24,2,1.44,25,22,+3,+0.17,-0.45,23.5,19.1,+4.5,+0.26,-0.19
15,Pedro Alcalá,ESP,DF,Cádiz,31,1989,13,909,70,26.6,10.1,8,87,7,5,42,20,0.77,12,25,-13,-1.29,-0.96,10.7,17.5,-6.8,-0.67,-0.17
16,Rubén Alcaraz,ESP,MF,Valladolid,29,1991,30,2165,72,63.3,24.1,25,82,15,5,22,1,0.90,24,39,-15,-0.62,-0.05,27.6,30.9,-3.3,-0.14,+0.55
17,Iván Alejo,ESP,MF|FW,Cádiz,25,1995,22,827,38,24.2,9.2,6,69,0,16,26,12,1.36,10,13,-3,-0.33,+0.33,9.4,13.7,-4.2,-0.46,+0.11
18,Carles Aleñá,ESP,MF,Barcelona,22,1998,2,48,24,1.4,0.5,0,,0,2,24,14,3.00,1,0,+1,+1.87,+0.65,0.5,2.0,-1.4,-2.66,-3.57
