Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Sabit Abdulai,GHA,MF,Getafe,21,1999,0.7,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,25.0
2,Marcos Acuña,ARG,DF,Sevilla,28,1991,25.9,5,0,0,45,32,2,119,23,42,0,2,0,160,20,33,37.7
3,Bobby Adekanye,NED,FW|MF,Cádiz,21,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,
4,Martin Agirregabiria,ESP,DF|MF,Alavés,24,1996,17.3,1,0,0,23,23,1,32,27,18,0,0,0,81,19,22,46.3
5,Joseph Aidoo,GHA,DF,Celta Vigo,24,1995,14.3,3,0,0,13,13,1,1,25,17,0,0,0,89,42,40,51.2
6,Carlos Akapo,EQG,DF,Cádiz,27,1993,9.6,3,1,1,10,4,0,18,19,14,0,0,0,49,14,3,82.4
7,Paul Akouokou,CIV,MF,Betis,22,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,29,10,8,55.6
8,Jony Álamo,ESP,MF,Elche,18,2001,0.8,0,0,0,0,2,0,0,1,1,0,0,0,7,0,1,0.0
9,Jordi Alba,ESP,DF|FW,Barcelona,31,1989,33.6,9,0,0,20,15,10,119,49,30,0,0,1,218,4,8,33.3
10,Raúl Albiol,ESP,DF,Villarreal,34,1985,34.6,7,0,0,13,16,1,6,22,15,0,0,0,175,65,42,60.7
11,Paco Alcácer,ESP,FW,Villarreal,26,1993,17.2,0,0,0,7,8,17,3,9,3,0,0,0,31,13,44,22.8
12,Pedro Alcalá,ESP,DF,Cádiz,31,1989,10.1,2,0,0,12,4,1,0,16,4,0,0,1,34,17,26,39.5
13,Rubén Alcaraz,ESP,MF,Valladolid,29,1991,24.1,10,0,0,47,44,0,10,31,29,0,0,0,153,52,46,53.1
14,Iván Alejo,ESP,MF|FW,Cádiz,25,1995,9.2,5,0,0,29,22,4,63,3,10,0,0,0,42,13,9,59.1
15,Carles Aleñá,ESP,MF,Barcelona,22,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,50.0
16,Carles Aleñá,ESP,MF|FW,Getafe,22,1998,15.2,1,0,0,20,26,0,60,2,10,0,0,0,75,14,34,29.2
17,Alfon,ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0.0
18,Sergio Álvarez,ESP,MF|DF,Eibar,28,1992,17.4,3,0,0,38,16,0,9,22,25,0,0,0,103,45,45,50.0
19,Yeray Álvarez,ESP,DF,Athletic Club,25,1995,21.6,6,0,0,20,15,1,5,53,12,0,0,0,126,58,45,56.3
20,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,18,2001,0.5,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,
21,Jon Ander Garrido,ESP,MF,Cádiz,30,1989,8.9,1,0,0,13,6,0,2,14,10,1,0,0,45,22,26,45.8
22,Marcos André,BRA,FW,Valladolid,23,1996,13.1,3,0,0,25,26,7,9,2,2,1,0,0,29,40,84,32.3
23,Ángel,ESP,GK,Granada,18,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
24,José Ángel,ESP,DF,Eibar,30,1989,10.0,3,0,0,8,4,0,59,13,8,0,0,0,81,17,12,58.6
25,Miguel Ángel Rubio,ESP,DF,Valladolid,22,1998,1.5,0,0,0,2,1,1,0,3,0,0,0,0,10,9,8,52.9
26,José Antonio Miranda,EQG,MF|DF,Getafe,22,1998,0.3,1,0,0,2,2,0,2,0,0,0,0,0,1,2,0,100.0
27,Aritz Arambarri,ESP,DF,Real Sociedad,22,1998,0.3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,50.0
28,Mauro Arambarri,URU,MF,Getafe,24,1995,33.1,11,0,0,58,73,1,123,42,39,0,0,0,204,54,53,50.5
29,Néstor Araujo,MEX,DF,Celta Vigo,28,1991,27.0,5,0,0,30,4,0,2,43,16,0,0,0,134,61,46,57.0
30,Ronald Araújo,URU,DF,Barcelona,21,1999,16.8,3,0,0,12,17,2,0,20,11,1,1,0,104,51,22,69.9
31,Anaitz Arbilla,ESP,DF,Eibar,33,1987,31.2,8,0,0,36,13,0,43,69,26,0,2,0,245,68,53,56.2
32,Unai Arietaleanizbeaskoa,ESP,FW|MF,Eibar,21,1999,0.5,1,0,0,3,1,1,0,0,0,0,0,0,1,0,3,0.0
33,Sergio Arribas,ESP,MF|FW,Real Madrid,18,2001,1.5,1,0,0,1,2,2,1,4,1,0,0,0,11,2,2,50.0
34,Sergio Asenjo,ESP,GK,Villarreal,31,1989,36.0,2,0,0,1,2,0,0,0,0,0,1,0,40,7,0,100.0
35,Marco Asensio,ESP,FW|MF,Real Madrid,24,1996,20.8,1,0,0,6,28,6,97,11,6,0,0,0,84,10,7,58.8
36,Iago Aspas,ESP,FW,Celta Vigo,32,1987,31.8,9,0,0,24,53,13,28,16,3,0,1,0,113,16,45,26.2
37,Miguel Atienza,ESP,MF,Eibar,21,1999,9.3,1,0,0,10,2,0,4,9,9,0,0,0,57,25,16,61.0
38,Ezequiel Ávila,ARG,FW|MF,Osasuna,26,1994,2.2,0,0,0,4,5,2,2,1,2,0,0,0,9,3,6,33.3
39,Ramon Azeez,NGA,MF,Granada,27,1992,1.1,0,0,0,1,1,0,1,1,1,0,0,0,4,4,0,100.0
40,Carlos Bacca,COL,FW,Villarreal,33,1986,8.7,1,0,0,10,6,6,7,3,5,0,0,0,19,9,13,40.9
41,Édgar Badía,ESP,GK,Elche,28,1992,30.0,0,0,0,0,3,0,0,0,0,0,0,0,50,6,2,75.0
42,Alex Baena,ESP,MF,Villarreal,19,2001,1.5,0,0,0,2,4,0,4,1,3,0,0,0,3,0,2,0.0
43,Miguel Baeza,ESP,MF|FW,Celta Vigo,20,2000,6.0,0,0,0,5,8,2,12,3,6,0,0,0,21,8,10,44.4
44,Mikel Balenziaga,ESP,DF,Athletic Club,32,1988,18.8,0,0,0,17,15,1,44,7,15,0,0,0,84,14,16,46.7
45,Barcia,ESP,DF,Granada,19,2000,1.0,1,0,0,2,1,0,1,3,1,1,0,0,7,2,0,100.0
46,Enis Bardhi,MKD,MF,Levante,25,1995,18.7,4,0,0,27,24,4,65,21,12,0,0,0,120,5,19,20.8
47,Kike Barja,ESP,MF|FW,Osasuna,23,1997,15.9,2,0,0,15,23,2,72,16,5,1,0,0,103,21,15,58.3
48,Marc Baró,ESP,DF,Cádiz,20,1999,1.0,0,0,0,1,3,0,6,2,1,0,0,0,4,0,0,
49,Antonio Barragán,ESP,DF,Elche,33,1987,24.8,8,0,0,35,25,2,53,33,14,1,1,0,92,33,19,63.5
50,Ander Barrenetxea,ESP,MF|FW,Real Sociedad,18,2001,14.5,7,0,0,40,20,4,34,6,19,0,0,0,78,3,21,12.5
51,Marc Bartra,ESP,DF,Betis,29,1991,18.8,3,0,0,29,15,2,2,40,16,0,4,0,86,58,41,58.6
52,Álvaro Bastida,ESP,MF,Cádiz,16,2004,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
53,Rodrigo Battaglia,ARG,MF,Alavés,29,1991,27.7,10,1,0,35,30,1,3,29,16,0,0,0,139,43,22,66.2
54,Jon Bautista,ESP,FW,Real Sociedad,25,1995,4.1,3,0,0,11,6,2,4,2,3,0,0,0,16,23,23,50.0
55,Fran Beltrán,ESP,MF|FW,Celta Vigo,21,1999,15.5,3,0,0,16,10,0,6,16,22,0,0,0,107,4,21,16.0
56,Sergio Benito,ESP,FW,Valladolid,21,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,Karim Benzema,FRA,FW,Real Madrid,32,1987,32.2,2,0,0,17,25,23,18,8,6,0,0,0,69,26,38,40.6
58,Yuri Berchiche,ESP,DF,Athletic Club,30,1990,18.7,3,0,0,17,30,1,76,11,19,1,0,0,109,24,12,66.7
59,Álex Berenguer,ESP,MF|FW,Athletic Club,25,1995,25.3,4,0,0,48,46,18,147,18,31,1,0,0,110,23,42,35.4
60,Pedro Bigas,ESP,DF,Eibar,29,1990,17.0,1,0,0,21,6,0,9,23,9,0,2,0,93,50,39,56.2
61,Alejandro Blanco,ESP,MF,Valencia,21,1998,6.4,1,0,0,4,8,2,10,8,4,0,0,0,24,2,8,20.0
62,Rubén Blanco,ESP,GK,Celta Vigo,25,1995,18.2,0,1,0,1,2,0,0,0,0,0,0,0,17,1,0,100.0
63,Alejandro Blesa,ESP,MF,Levante,18,2002,0.1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
64,Yann Bodiger,FRA,MF,Cádiz,25,1995,2.8,0,0,0,8,3,0,2,8,2,0,0,0,17,5,16,23.8
65,Yassine Bounou,MAR,GK,Sevilla,29,1991,33.0,3,0,0,0,4,0,0,0,1,0,0,1,31,7,0,100.0
66,Lucas Boyé,ARG,FW,Elche,24,1996,29.9,9,1,1,95,34,10,11,19,31,0,0,0,93,43,102,29.7
67,Martin Braithwaite,DEN,FW,Barcelona,29,1991,13.1,3,0,0,11,20,15,5,6,4,0,0,0,39,16,14,53.3
68,Darko Brašanac,SRB,MF,Osasuna,28,1992,10.1,4,0,0,27,7,1,11,7,6,0,0,0,43,27,17,61.4
69,Álvaro Bravo,ESP,MF,Granada,22,1998,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100.0
70,Claudio Bravo,CHI,GK,Betis,37,1983,20.0,3,0,0,0,0,0,0,0,0,0,0,0,24,4,0,100.0
71,Yan Brice Eteki,CMR,MF,Granada,22,1997,14.7,4,1,0,45,20,0,3,13,15,0,2,0,74,22,26,45.8
72,Juan Brunet,ARG,MF,Granada,22,1998,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7
73,Ante Budimir,CRO,FW,Osasuna,29,1991,18.1,3,0,0,30,31,19,2,2,12,0,0,0,55,134,83,61.8
74,Esteban Burgos,ARG,DF,Eibar,28,1992,12.3,5,0,0,14,3,1,0,23,6,0,0,0,66,30,38,44.1
75,Burgui,ESP,MF,Alavés,26,1993,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
76,Sergio Busquets,ESP,MF,Barcelona,32,1988,28.0,9,0,0,45,60,0,3,53,35,0,0,0,182,40,39,50.6
