Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Sabit Abdulai,GHA,MF,Getafe,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Marcos Acuña,ARG,DF,Sevilla,28,1991,25.9,68,2.63,47,12,6,2,0,1,8,0.31,5,2,0,1,0,0
3,Bobby Adekanye,NED,FW|MF,Cádiz,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Martin Agirregabiria,ESP,DF|MF,Alavés,24,1996,17.3,28,1.62,16,9,0,0,3,0,3,0.17,2,1,0,0,0,0
5,Joseph Aidoo,GHA,DF,Celta Vigo,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0
6,Carlos Akapo,EQG,DF,Cádiz,27,1993,9.6,7,0.73,4,2,1,0,0,0,0,0.00,0,0,0,0,0,0
7,Paul Akouokou,CIV,MF,Betis,22,1997,4.2,6,1.43,5,0,0,0,0,1,1,0.24,1,0,0,0,0,0
8,Jony Álamo,ESP,MF,Elche,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0
9,Jordi Alba,ESP,DF|FW,Barcelona,31,1989,33.6,96,2.86,93,2,1,0,0,0,9,0.27,8,0,1,0,0,0
10,Raúl Albiol,ESP,DF,Villarreal,34,1985,34.6,18,0.52,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0
11,Paco Alcácer,ESP,FW,Villarreal,26,1993,17.2,27,1.57,20,1,3,2,1,0,9,0.52,6,0,2,1,0,0
12,Pedro Alcalá,ESP,DF,Cádiz,31,1989,10.1,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Rubén Alcaraz,ESP,MF,Valladolid,29,1991,24.1,28,1.16,23,0,0,1,3,1,2,0.08,2,0,0,0,0,0
14,Iván Alejo,ESP,MF|FW,Cádiz,25,1995,9.2,21,2.29,17,1,1,1,1,0,2,0.22,1,0,0,1,0,0
15,Carles Aleñá,ESP,MF,Barcelona,22,1998,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Carles Aleñá,ESP,MF|FW,Getafe,22,1998,15.2,66,4.35,31,15,6,8,6,0,3,0.20,2,0,1,0,0,0
17,Alfon,ESP,MF,Celta Vigo,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Sergio Álvarez,ESP,MF|DF,Eibar,28,1992,17.4,19,1.09,18,0,0,0,1,0,0,0.00,0,0,0,0,0,0
19,Yeray Álvarez,ESP,DF,Athletic Club,25,1995,21.6,12,0.55,10,1,0,1,0,0,0,0.00,0,0,0,0,0,0
20,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,Jon Ander Garrido,ESP,MF,Cádiz,30,1989,8.9,10,1.13,9,0,0,0,1,0,2,0.23,1,0,0,0,1,0
22,Marcos André,BRA,FW,Valladolid,23,1996,13.1,21,1.61,12,0,3,3,3,0,3,0.23,2,0,0,0,1,0
23,Ángel,ESP,GK,Granada,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,José Ángel,ESP,DF,Eibar,30,1989,10.0,20,2.00,16,3,1,0,0,0,0,0.00,0,0,0,0,0,0
25,Miguel Ángel Rubio,ESP,DF,Valladolid,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
26,José Antonio Miranda,EQG,MF|DF,Getafe,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Aritz Arambarri,ESP,DF,Real Sociedad,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
28,Mauro Arambarri,URU,MF,Getafe,24,1995,33.1,63,1.90,36,11,4,5,7,0,3,0.09,2,0,0,1,0,0
29,Néstor Araujo,MEX,DF,Celta Vigo,28,1991,27.0,10,0.37,10,0,0,0,0,0,1,0.04,1,0,0,0,0,0
30,Ronald Araújo,URU,DF,Barcelona,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0
31,Anaitz Arbilla,ESP,DF,Eibar,33,1987,31.2,44,1.41,31,3,4,2,2,2,4,0.13,2,0,1,1,0,0
