Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec
Atalanta,30,,38.0,26392,1779,6640,12068,7924,1147,26385,707,396,56.0,309,43.7,15724,78882,39413,874,658,256,680,406,17945
Benevento,29,,38.0,19178,2349,7076,8190,4126,698,19171,452,273,60.4,179,39.6,9800,53706,27355,512,377,123,513,289,11461
Bologna,37,,38.0,22798,2727,7475,10035,5490,764,22794,628,345,54.9,283,45.1,12688,68899,34588,706,473,176,598,305,14515
Cagliari,32,,38.0,20989,2354,7007,9356,4876,712,20984,605,336,55.5,269,44.5,10944,60997,31667,589,461,122,532,281,12936
Crotone,31,,38.0,21226,2904,8260,9199,3983,577,21217,623,385,61.8,237,38.0,11536,61128,30798,582,386,119,610,366,13427
Fiorentina,30,,38.0,20902,2094,6147,9711,5257,659,20896,575,325,56.5,250,43.5,11680,63011,31755,637,499,114,561,422,13327
Genoa,34,,38.0,22041,2592,7852,10124,4302,575,22037,541,294,54.3,246,45.5,12400,60464,29847,523,393,118,589,305,13839
Hellas Verona,32,,38.0,21344,2127,6507,9961,5150,706,21341,479,292,61.0,187,39.0,11100,57832,29476,599,457,138,578,309,12789
Inter,25,,38.0,25312,2417,7654,11562,6304,1012,25303,454,260,57.3,193,42.5,14452,75884,42467,766,517,198,543,262,18210
Juventus,30,,38.0,27067,2595,7973,12836,6507,1068,27057,684,451,65.9,233,34.1,15418,85068,46167,949,696,272,581,300,19722
Lazio,30,,38.0,24888,2487,7653,11527,5958,883,24878,553,297,53.7,256,46.3,14348,81890,44030,785,618,171,553,304,16794
Milan,29,,38.0,23790,2347,7303,10849,5914,944,23770,670,415,61.9,254,37.9,13083,73292,39841,784,562,187,616,299,15747
Napoli,25,,38.0,25980,2237,7377,12383,6476,987,25972,628,386,61.5,242,38.5,16098,84118,43648,884,614,236,482,255,18764
Parma,42,,38.0,22445,2749,8081,10168,4419,646,22440,589,362,61.5,227,38.5,12613,65609,35173,607,448,136,561,292,14679
Roma,31,,38.0,23628,2212,6881,11582,5422,832,23620,663,397,59.9,266,40.1,13392,78697,41906,863,613,198,510,224,16417
Sampdoria,27,,38.0,21722,2527,7324,9501,5135,697,21716,484,292,60.3,192,39.7,11276,58753,29751,588,441,115,566,287,13319
Sassuolo,28,,38.0,27665,2623,8137,13257,6493,844,27651,718,428,59.6,290,40.4,16432,85555,46650,770,625,182,573,313,20177
Spezia,35,,38.0,23297,2444,7773,10504,5278,756,23292,528,322,61.0,206,39.0,13646,72052,35896,627,452,174,606,295,15415
Torino,29,,38.0,21242,2335,7170,9771,4561,660,21236,635,388,61.1,246,38.7,11765,63238,32606,617,474,99,576,297,13252
Udinese,33,,38.0,21424,2297,6915,9602,5119,737,21420,611,376,61.5,233,38.1,12449,66592,34279,672,502,145,604,330,13800
