Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
116,Leander Dendoncker,BEL,MF,Wolves,26,1995,21.7,42,17,25,14,3,22,50,44.0,28,37,10,27,9,51,38,1
117,Emmanuel Dennis,NGA,FW|MF,Watford,23,1997,28.7,51,35,20,22,9,17,52,32.7,35,36,2,34,15,66,13,0
118,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,22,1998,23.4,39,24,20,14,5,19,40,47.5,21,37,8,29,21,60,26,1
119,Ibrahima Diallo,FRA,MF,Southampton,22,1999,11.4,22,11,10,9,3,10,24,41.7,14,7,0,7,9,31,10,0
120,Rúben Dias,POR,DF,Manchester City,24,1997,26.7,26,19,11,12,3,8,15,53.3,7,19,13,6,23,49,66,0
121,Luis Díaz,COL,FW,Liverpool,24,1997,10.6,9,7,3,5,1,2,8,25.0,6,7,0,7,4,13,2,0
122,Eric Dier,ENG,DF,Tottenham,27,1994,34.1,15,9,6,8,1,7,14,50.0,7,37,32,5,27,42,142,1
123,Lucas Digne,FRA,DF,Aston Villa,28,1993,14.1,13,10,8,3,2,9,19,47.4,10,15,8,7,23,36,40,0
124,Lucas Digne,FRA,DF,Everton,28,1993,13.0,33,19,26,4,3,21,28,75.0,7,16,5,11,14,47,30,0
125,Issa Diop,FRA,DF,West Ham,24,1997,10.7,10,8,5,5,0,4,11,36.4,7,14,13,1,7,17,44,0
126,Moussa Djenepo,MLI,MF,Southampton,23,1998,5.1,9,3,3,5,1,3,11,27.3,8,6,1,5,2,11,6,1
127,Lewis Dobbin,ENG,FW|MF,Everton,18,2003,0.4,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0
128,Matt Doherty,IRL,DF,Tottenham,29,1992,9.7,18,12,5,11,2,8,14,57.1,6,11,2,9,13,31,20,0
129,Gabriel Dos Santos,BRA,DF,Arsenal,23,1997,34.0,50,30,36,12,2,30,41,73.2,11,34,26,8,13,63,112,4
130,Abdoulaye Doucouré,MLI,MF,Everton,28,1993,28.2,75,43,30,37,8,32,71,45.1,39,33,8,25,28,103,32,0
131,Kieran Dowell,ENG,FW|MF,Norwich City,23,1997,10.1,18,7,8,7,3,9,32,28.1,23,10,1,9,7,25,4,0
132,Cody Drameh,ENG,DF|MF,Leeds United,19,2001,1.4,4,2,3,1,0,1,3,33.3,2,0,0,0,1,5,4,0
133,Martin Dúbravka,SVK,GK,Newcastle Utd,32,1989,26.0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,8,2
134,Shane Duffy,IRL,DF,Brighton,29,1992,16.0,15,12,12,3,0,8,14,57.1,6,24,18,6,16,31,76,1
135,Paul Dummett,WAL,DF,Newcastle Utd,29,1991,2.2,7,3,3,4,0,5,8,62.5,3,5,0,5,3,10,5,0
136,Lewis Dunk,ENG,DF,Brighton,29,1991,28.6,10,8,5,5,0,5,11,45.5,6,32,28,4,27,37,113,3
137,Ederson,BRA,GK,Manchester City,27,1993,37.0,2,1,2,0,0,0,2,0.0,2,0,0,0,0,2,12,0
138,Odsonne Édouard,FRA,FW,Crystal Palace,23,1998,17.4,16,10,2,7,7,7,21,33.3,14,20,5,15,0,16,18,0
139,CJ Egan-Riley,ENG,DF,Manchester City,18,2003,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
140,Anthony Elanga,SWE,FW,Manchester Utd,19,2002,13.5,26,20,12,12,2,15,29,51.7,14,17,1,16,9,35,7,0
141,Harvey Elliott,ENG,MF,Liverpool,18,2003,3.8,3,0,1,1,1,0,6,0.0,6,8,1,7,4,7,2,0
142,Mohamed Elneny,EGY,MF,Arsenal,29,1992,9.0,16,8,10,5,1,7,12,58.3,5,7,1,6,14,30,13,0
143,Mohamed Elyounoussi,NOR,MF|FW,Southampton,26,1994,22.7,36,17,14,15,7,11,39,28.2,28,23,2,21,12,48,28,0
144,Emerson,BRA,DF|MF,Tottenham,22,1999,25.4,72,47,50,16,6,36,67,53.7,31,25,2,23,22,94,92,1
145,Christian Eriksen,DEN,MF,Brentford,29,1992,10.4,13,6,4,5,4,8,17,47.1,9,9,1,8,9,22,14,0
146,Oghenekaro Etebo,NGA,MF,Watford,25,1995,4.5,11,8,7,4,0,3,8,37.5,5,3,1,2,5,16,5,0
147,Jonny Evans,NIR,DF,Leicester City,33,1988,15.0,24,14,14,8,2,14,22,63.6,8,17,13,4,20,44,59,0
148,Eberechi Eze,ENG,MF|FW,Crystal Palace,23,1998,6.7,10,6,5,2,3,6,11,54.5,5,4,1,3,5,15,1,0
149,Łukasz Fabiański,POL,GK,West Ham,36,1985,37.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,0
150,Fabinho,BRA,MF,Liverpool,27,1993,25.7,46,25,17,23,6,24,70,34.3,46,33,10,23,39,85,25,1
151,Kiko Femenía,ESP,DF,Watford,30,1991,23.8,35,22,23,10,2,21,37,56.8,16,24,8,16,37,72,51,0
