Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
599,Daniel Wass,DEN,DF|MF,Valencia,29,1989,32,2354,74,68.8,26.2,26,85,18,6,26,5,1.66,41,27,+14,+0.54,+0.37,46.6,32.9,+13.7,+0.52,+0.18
600,Axel Werner,ARG,GK,Huesca,22,1996,6,540,90,15.8,6.0,6,90,6,0,,8,0.67,6,16,-10,-1.67,-1.29,6.8,9.7,-3.0,-0.50,-0.30
601,Iñaki Williams,GHA,FW,Athletic Club,24,1994,38,3025,80,88.5,33.6,36,83,19,2,22,0,1.39,38,39,-1,-0.03,+0.65,39.0,38.7,+0.3,+0.01,+0.58
602,Maximilian Wöber,AUT,DF,Sevilla,20,1998,7,536,77,15.7,6.0,6,85,5,1,28,0,1.00,11,8,+3,+0.50,+0.13,13.7,6.3,+7.4,+1.25,+0.82
603,Rubén Yáñez,ESP,GK,Getafe,24,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,
604,Yoel,ESP,GK,Valladolid,29,1988,3,270,90,7.9,3.0,3,90,3,0,,31,0.67,4,6,-2,-0.67,-0.18,4.4,4.3,+0.1,+0.04,+0.54
605,Yoel,ESP,GK,Eibar,29,1988,0,,,,,0,,0,0,,2,,,,,,,,,,,
606,Okay Yokuşlu,TUR,MF,Celta Vigo,24,1994,30,2198,73,64.3,24.4,26,82,15,4,19,4,1.30,35,45,-10,-0.41,-0.48,34.7,41.4,-6.8,-0.28,+0.29
607,Joseba Zaldúa,ESP,DF,Real Sociedad,26,1992,26,2139,82,62.5,23.8,25,85,21,1,21,3,1.35,29,29,0,0.00,+0.07,31.6,31.0,+0.6,+0.03,-0.01
608,Nabil El Zhar,MAR,MF|FW,Leganés,31,1986,27,966,36,28.2,10.7,9,74,3,18,16,9,0.78,10,15,-5,-0.47,-0.43,12.5,12.7,-0.2,-0.02,-0.01
609,Luca Zidane,FRA,GK,Real Madrid,20,1998,1,90,90,2.6,1.0,1,90,1,0,,7,3.00,3,2,+1,+1.00,+0.57,4.1,1.7,+2.5,+2.46,+1.99
610,Igor Zubeldia,ESP,MF,Real Sociedad,21,1997,33,2549,77,74.5,28.3,29,85,23,4,18,2,1.39,28,37,-9,-0.32,-1.14,31.1,36.8,-5.7,-0.20,-0.91
611,Andoni Zubiaurre,ESP,GK,Real Sociedad,21,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
612,Martín Zubimendi,ESP,MF,Real Sociedad,19,1999,1,7,7,0.2,0.1,0,,0,1,6,2,3.00,0,1,-1,-12.86,-12.86,0.5,0.0,+0.5,+6.05,+6.04
613,David Zurutuza,ESP,MF,Real Sociedad,32,1986,21,1222,58,35.7,13.6,13,78,6,8,26,3,1.38,20,15,+5,+0.37,+0.61,19.6,16.7,+2.9,+0.21,+0.28
