Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Antonio Adán,ESP,GK,Atlético Madrid,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,
2,Sergio Álvarez,ESP,GK,Celta Vigo,31,1986,13,13,1170,13.0,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0
3,Miguel Ángel Moyá,ESP,GK,Real Sociedad,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,
4,Sergio Asenjo,ESP,GK,Villarreal,29,1989,32,32,2880,32.0,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3
5,Rubén Blanco,ESP,GK,Celta Vigo,23,1995,25,25,2250,25.0,40,1.60,109,69,67.0,7,6,12,6,24.0,5,4,0,1,0.0
6,Yassine Bounou,MAR,GK,Girona,27,1991,32,32,2862,31.8,43,1.35,166,124,77.7,8,10,14,8,25.0,6,6,0,0,0.0
7,Leandro Chichizola,ARG,GK,Getafe,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
8,Jasper Cillessen,NED,GK,Barcelona,29,1989,3,3,270,3.0,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0.0
9,Thibaut Courtois,BEL,GK,Real Madrid,26,1992,27,27,2430,27.0,36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,1,14.3
10,Iván Cuéllar,ESP,GK,Leganés,34,1984,34,34,3056,33.9,38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,0.0
11,Javier Díaz,ESP,GK,Sevilla,21,1997,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0
12,Stole Dimitrievski,MKD,GK,Rayo Vallecano,24,1993,21,21,1890,21.0,35,1.67,95,59,69.5,5,4,12,3,14.3,7,6,1,0,14.3
13,Marko Dmitrović,SRB,GK,Eibar,26,1992,24,24,2160,24.0,30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,0,25.0
14,Jaume Doménech,ESP,GK,Valencia,27,1990,4,4,360,4.0,1,0.25,13,12,92.3,2,2,0,3,75.0,0,0,0,0,
15,Aitor Fernández,ESP,GK,Levante,27,1991,16,16,1440,16.0,24,1.50,83,60,75.9,4,5,7,2,12.5,4,4,0,0,0.0
16,Andrés Fernández,ESP,GK,Villarreal,31,1986,6,6,540,6.0,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,0.0
17,Alberto García,ESP,GK,Rayo Vallecano,33,1985,17,17,1530,17.0,35,2.06,87,50,60.9,3,4,10,4,23.5,4,1,3,0,75.0
18,Iago Herrerín,ESP,GK,Athletic Club,30,1988,31,31,2790,31.0,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0.0
19,Gorka Iraizoz,ESP,GK,Girona,37,1981,7,6,558,6.2,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,0.0
20,Aleksandar Jovanović,SRB,GK,Huesca,25,1992,12,12,1080,12.0,19,1.58,46,28,63.0,1,4,7,0,0.0,2,2,0,0,0.0
21,Diego López,ESP,GK,Espanyol,36,1981,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0
22,Pau López,ESP,GK,Betis,23,1994,33,33,2970,33.0,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25.0
23,Andriy Lunin,UKR,GK,Leganés,19,1999,5,4,364,4.1,5,1.24,19,13,78.9,1,0,3,2,50.0,2,1,1,0,50.0
24,Jordi Masip,ESP,GK,Valladolid,29,1989,35,35,3150,35.0,45,1.29,143,96,72.0,10,9,16,9,25.7,8,5,3,0,37.5
25,Keylor Navas,CRC,GK,Real Madrid,31,1986,10,10,900,10.0,8,0.80,31,23,74.2,6,2,2,4,40.0,0,0,0,0,
26,Neto,BRA,GK,Valencia,29,1989,34,34,3060,34.0,34,1.00,139,106,80.6,13,14,7,10,29.4,8,7,1,0,12.5
27,Jan Oblak,SVN,GK,Atlético Madrid,25,1993,37,37,3330,37.0,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0.0
28,Oier Olazábal,ESP,GK,Levante,28,1989,21,21,1890,21.0,40,1.90,135,95,73.3,7,5,9,5,23.8,5,4,1,0,20.0
29,Fernando Pacheco,ESP,GK,Alavés,26,1992,35,35,3150,35.0,46,1.31,154,110,74.0,11,11,13,8,22.9,6,6,0,0,0.0
30,Asier Riesgo,ESP,GK,Eibar,34,1983,15,14,1260,14.0,20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,0,
31,Joel Robles,ESP,GK,Betis,28,1990,5,5,450,5.0,5,1.00,21,16,81.0,2,1,2,1,20.0,1,1,0,0,0.0
