Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Antonio Adán,ESP,GK,Atlético Madrid,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Aday,ESP,DF|MF,Girona,30,1987,7.2,9,8,2,5,2,6,7,85.7,1,1,0,1,7,16,17,1
3,Aritz Aduriz,ESP,FW,Athletic Club,37,1981,10.5,4,2,1,1,2,1,7,14.3,6,2,1,1,0,4,4,0
4,Luis Advíncula,PER,DF,Rayo Vallecano,28,1990,26.5,52,38,38,12,2,21,31,67.7,10,22,2,20,19,71,60,1
5,Martin Agirregabiria,ESP,DF,Alavés,22,1996,22.6,45,29,32,10,3,28,46,60.9,18,33,11,22,27,72,65,1
6,Juan Aguilera,ESP,MF,Huesca,32,1985,3.8,2,2,0,1,1,1,4,25.0,3,4,2,2,4,6,2,0
7,Carlos Akapo,EQG,DF,Huesca,25,1993,11.4,28,15,18,8,2,19,33,57.6,14,12,2,10,23,51,36,0
8,Sergio Akieme,ESP,DF,Rayo Vallecano,20,1997,2.0,3,3,3,0,0,2,2,100.0,0,0,0,0,1,4,5,0
9,Jordi Alba,ESP,DF,Barcelona,29,1989,33.2,42,22,20,15,7,20,48,41.7,28,24,6,18,60,102,76,1
10,Pedro Alcalá,ESP,DF,Girona,29,1989,20.8,32,23,23,9,0,15,23,65.2,8,21,18,3,36,68,120,0
11,Rubén Alcaraz,ESP,MF,Valladolid,27,1991,33.1,96,54,50,40,6,32,89,36.0,57,59,10,49,38,134,52,1
12,Álex Alegría,ESP,FW|MF,Rayo Vallecano,25,1992,1.6,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0
13,Iván Alejo,ESP,MF,Getafe,23,1995,1.6,2,0,0,2,0,0,4,0.0,4,2,0,2,0,2,3,0
14,Carles Aleñá,ESP,MF,Barcelona,20,1998,7.1,7,4,0,6,1,2,8,25.0,6,4,0,4,2,9,0,0
15,Alexander,ARG,FW,Leganés,29,1988,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
