Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
32,Anaitz Arbilla,ESP,DF,Eibar,31,1987,21.7,863,1152,74.9,20574,7115,222,266,83.5,408,478,85.4,228,380,60.0,2,1.1,1.3,+0.9,4,124,5,1,109
33,Santiago Arias,COL,DF,Atlético Madrid,26,1992,19.7,787,1015,77.5,11137,4647,460,515,89.3,258,352,73.3,32,74,43.2,1,1.3,1.3,-0.3,14,47,22,7,84
34,José Arnaiz,ESP,MF|FW,Leganés,23,1995,1.3,25,32,78.1,342,31,14,19,73.7,11,12,91.7,0,0,,0,0.1,0.0,-0.1,1,0,0,0,2
35,Sergio Asenjo,ESP,GK,Villarreal,29,1989,32.0,544,826,65.9,19230,14913,41,41,100.0,230,236,97.5,272,541,50.3,0,0.0,0.0,0.0,0,17,0,0,1
36,Marco Asensio,ESP,FW,Real Madrid,22,1996,19.8,839,1024,81.9,12382,2878,513,566,90.6,249,306,81.4,52,81,64.2,4,5.0,5.1,-1.0,30,49,45,15,95
37,Iago Aspas,ESP,FW|MF,Celta Vigo,30,1987,25.0,731,919,79.5,11112,2271,393,462,85.1,217,263,82.5,67,84,79.8,6,6.7,3.9,-0.7,57,46,27,2,89
38,Ezequiel Ávila,ARG,FW|MF,Huesca,24,1994,22.2,296,583,50.8,5882,2026,140,226,61.9,88,173,50.9,56,115,48.7,2,3.6,2.1,-1.6,22,48,17,3,78
39,Abdoulaye Ba,SEN,DF,Rayo Vallecano,27,1991,23.4,867,1054,82.3,17985,6935,267,285,93.7,447,498,89.8,143,245,58.4,0,0.1,0.1,-0.1,2,24,1,0,44
40,Carlos Bacca,COL,FW,Villarreal,31,1986,14.1,185,277,66.8,2610,623,117,164,71.3,43,66,65.2,13,20,65.0,1,1.6,1.1,-0.6,23,12,11,0,24
41,Gareth Bale,WAL,FW,Real Madrid,29,1989,19.8,567,791,71.7,9102,1919,339,393,86.3,154,237,65.0,57,97,58.8,3,2.9,2.9,+0.1,18,48,22,9,62
42,Mikel Balenziaga,ESP,DF,Athletic Club,30,1988,5.8,169,227,74.4,2440,913,97,111,87.4,59,81,72.8,5,20,25.0,0,0.7,0.6,-0.7,3,7,3,1,11
43,Éver Banega,ARG,MF,Sevilla,30,1988,29.6,1823,2241,81.3,37173,13708,689,764,90.2,781,903,86.5,321,486,66.0,5,4.0,3.6,+1.0,53,253,32,6,318
44,Léo Baptistão,BRA,FW|MF,Espanyol,25,1992,13.7,278,388,71.6,4103,953,156,191,81.7,101,126,80.2,13,24,54.2,2,1.4,1.4,+0.6,18,18,13,0,30
45,Enis Bardhi,MKD,MF,Levante,23,1995,31.5,864,1188,72.7,13783,4114,432,528,81.8,291,364,79.9,83,171,48.5,4,3.8,2.7,+0.2,29,94,26,6,150
46,Antonio Barragán,ESP,DF|FW,Betis,31,1987,10.4,527,637,82.7,7971,2800,310,343,90.4,157,190,82.6,37,62,59.7,0,0.5,0.8,-0.5,9,21,17,5,44
47,Ander Barrenetxea,ESP,FW|MF,Real Sociedad,16,2001,4.4,82,111,73.9,1071,226,55,66,83.3,22,31,71.0,2,5,40.0,0,0.3,0.2,-0.3,7,4,3,0,9
48,Marc Bartra,ESP,DF,Betis,27,1991,32.5,1991,2278,87.4,37979,13815,707,752,94.0,1059,1131,93.6,203,345,58.8,0,0.1,0.6,-0.1,4,125,5,0,109
49,Borja Bastón,ESP,FW,Alavés,25,1992,16.0,197,320,61.6,2358,429,136,189,72.0,42,74,56.8,5,9,55.6,1,1.3,0.6,-0.3,8,11,4,2,16
50,Michy Batshuayi,BEL,FW,Valencia,24,1993,5.9,101,135,74.8,1583,255,60,72,83.3,24,35,68.6,13,13,100.0,0,0.8,0.4,-0.8,10,4,4,0,8
51,Jon Bautista,ESP,FW,Real Sociedad,23,1995,6.6,84,137,61.3,1059,173,55,84,65.5,20,32,62.5,2,4,50.0,0,0.9,0.6,-0.9,4,7,0,0,6
52,Bebé,CPV,FW|MF,Rayo Vallecano,28,1990,14.5,304,515,59.0,5175,1195,161,206,78.2,88,148,59.5,39,99,39.4,1,3.4,2.1,-2.4,22,21,16,16,34
53,Bebé,CPV,MF,Eibar,28,1990,0.7,22,34,64.7,347,63,13,13,100.0,7,15,46.7,1,4,25.0,0,0.1,0.1,-0.1,1,0,1,1,1
54,Fran Beltrán,ESP,MF,Celta Vigo,19,1999,16.9,783,865,90.5,13504,2928,346,371,93.3,335,364,92.0,78,86,90.7,0,0.8,0.8,-0.8,10,55,6,0,67
55,Wissam Ben Yedder,FRA,FW,Sevilla,27,1990,31.2,570,795,71.7,7544,1660,372,466,79.8,134,185,72.4,26,56,46.4,9,7.4,5.5,+1.6,44,48,31,3,100
56,Karim Benzema,FRA,FW,Real Madrid,30,1987,32.8,985,1213,81.2,13841,2432,630,733,85.9,243,291,83.5,66,83,79.5,6,6.0,4.5,0.0,48,84,52,4,135
57,Yuri Berchiche,ESP,DF|FW,Athletic Club,28,1990,34.7,1384,1753,79.0,21246,7938,768,873,88.0,504,619,81.4,71,153,46.4,2,2.0,2.3,0.0,19,80,32,14,137
58,Markel Bergara,ESP,MF,Getafe,32,1986,0.6,13,18,72.2,225,85,5,6,83.3,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,1,1,0,2
59,Pedro Bigas,ESP,DF,Eibar,27,1990,6.5,245,300,81.7,5756,1789,49,55,89.1,130,148,87.8,62,87,71.3,1,0.3,0.2,+0.7,1,24,2,0,34
60,Alejandro Blanco,ESP,FW|MF,Alavés,19,1998,0.2,4,6,66.7,32,11,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
61,Rubén Blanco,ESP,GK,Celta Vigo,23,1995,25.0,534,818,65.3,17769,13582,65,67,97.0,238,239,99.6,230,507,45.4,0,0.1,0.1,-0.1,2,11,1,0,0
62,Pablo de Blasis,ARG,DF|MF,Eibar,30,1988,16.9,550,803,68.5,8961,3616,287,341,84.2,181,253,71.5,55,146,37.7,0,2.4,1.7,-2.4,22,66,30,15,79
63,Emmanuel Boateng,GHA,FW,Levante,22,1996,7.8,66,105,62.9,797,114,48,67,71.6,9,21,42.9,3,6,50.0,0,0.1,0.1,-0.1,2,5,0,0,3
64,Kevin-Prince Boateng,GHA,FW,Barcelona,31,1987,2.7,46,61,75.4,563,63,32,39,82.1,8,11,72.7,2,3,66.7,0,0.1,0.1,-0.1,2,1,0,0,2
65,Daniele Bonera,ITA,DF,Villarreal,37,1981,2.6,84,93,90.3,1842,687,19,20,95.0,48,50,96.0,17,22,77.3,0,0.0,0.0,0.0,0,5,0,0,3
66,Ryad Boudebouz,ALG,MF|FW,Celta Vigo,28,1990,8.0,301,397,75.8,4754,1412,162,177,91.5,90,122,73.8,32,59,54.2,2,2.5,2.4,-0.5,17,31,13,5,40
67,Ryad Boudebouz,ALG,MF|FW,Betis,28,1990,6.0,282,343,82.2,4075,727,159,178,89.3,89,107,83.2,16,30,53.3,0,1.0,1.0,-1.0,10,14,7,2,43
68,Sofiane Boufal,MAR,MF|FW,Celta Vigo,24,1993,23.2,659,872,75.6,9701,2415,382,441,86.6,188,257,73.2,48,91,52.7,3,3.6,3.8,-0.6,40,47,31,2,95
69,Yassine Bounou,MAR,GK,Girona,27,1991,31.8,660,984,67.1,21715,15369,51,51,100.0,312,319,97.8,296,611,48.4,0,0.0,0.0,0.0,0,11,0,0,0
70,Martin Braithwaite,DEN,FW,Leganés,27,1991,15.6,176,245,71.8,2286,367,125,157,79.6,36,53,67.9,7,11,63.6,5,1.4,1.2,+3.6,14,13,4,0,23
71,Darko Brašanac,SRB,MF,Alavés,26,1992,17.6,501,637,78.6,8261,2543,236,277,85.2,202,247,81.8,41,66,62.1,1,0.4,0.4,+0.6,9,52,5,1,67
72,Rajko Brežančić,SRB,DF,Huesca,28,1989,0.7,15,24,62.5,279,111,8,9,88.9,6,9,66.7,1,5,20.0,0,0.0,0.0,0.0,0,1,1,0,4
73,Burgui,ESP,MF|FW,Alavés,24,1993,6.2,164,216,75.9,2599,827,88,103,85.4,57,75,76.0,15,23,65.2,0,0.5,0.5,-0.5,12,15,7,2,28
74,Sergio Busquets,ESP,MF,Barcelona,30,1988,30.2,2152,2405,89.5,37276,11486,910,996,91.4,925,1006,91.9,232,273,85.0,1,1.5,1.7,-0.5,15,239,13,0,198
75,Unai Bustinza,ESP,DF,Leganés,26,1992,22.5,717,1051,68.2,14328,6245,275,327,84.1,316,424,74.5,118,269,43.9,1,0.7,0.7,+0.3,9,71,11,6,89
76,Erick Cabaco,URU,DF,Levante,23,1995,18.1,514,710,72.4,10250,4914,208,236,88.1,219,281,77.9,79,171,46.2,0,0.1,0.3,-0.1,3,64,6,0,65
77,Gustavo Cabral,ARG,DF,Celta Vigo,32,1985,21.1,793,912,87.0,15514,5017,237,256,92.6,450,497,90.5,92,133,69.2,0,0.3,0.2,-0.3,5,20,2,0,44
78,Leandro Cabrera,URU,DF,Getafe,27,1991,31.0,556,1126,49.4,14398,7857,127,214,59.3,264,448,58.9,163,401,40.6,0,0.8,0.7,-0.8,7,92,10,5,96
79,Jordi Calavera,ESP,DF,Eibar,22,1995,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
80,Fernando Calero,ESP,DF,Valladolid,22,1995,34.8,1218,1466,83.1,23897,9547,414,450,92.0,640,715,89.5,150,262,57.3,0,0.3,0.6,-0.3,5,102,7,0,102
81,Jonathan Calleri,ARG,FW,Alavés,24,1993,31.9,418,743,56.3,5955,1412,242,376,64.4,113,203,55.7,29,60,48.3,2,3.6,2.1,-1.6,31,38,20,7,76
82,Juanjo Camacho,ESP,MF|DF,Huesca,37,1980,0.4,12,24,50.0,103,49,9,14,64.3,1,4,25.0,0,3,0.0,0,0.2,0.2,-0.2,2,0,0,0,2
83,Sergio Camello,ESP,FW,Atlético Madrid,17,2001,0.5,8,10,80.0,100,25,6,6,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,0
84,José Campaña,ESP,MF,Levante,25,1993,35.7,1617,2021,80.0,27765,9200,755,863,87.5,611,722,84.6,177,302,58.6,9,5.1,5.0,+3.9,58,162,26,6,215
85,Sergio Canales,ESP,MF,Betis,27,1991,29.5,1581,1898,83.3,25620,5038,787,846,93.0,585,664,88.1,133,254,52.4,2,4.8,5.5,-2.8,55,106,38,9,181
86,Ander Capa,ESP,DF|FW,Athletic Club,26,1992,18.2,670,930,72.0,10178,4018,368,420,87.6,231,323,71.5,44,103,42.7,0,1.0,1.2,-1.0,12,48,23,6,70
87,Marc Cardona,ESP,FW|MF,Eibar,23,1995,6.7,121,175,69.1,1478,331,75,96,78.1,27,38,71.1,3,9,33.3,1,0.7,0.7,+0.3,5,9,1,1,9
88,Daniel Carriço,POR,DF,Sevilla,29,1988,23.7,802,1009,79.5,15263,6512,312,349,89.4,372,435,85.5,103,189,54.5,1,0.3,1.4,+0.7,5,57,8,1,65
89,Guido Carrillo,ARG,FW,Leganés,27,1991,22.1,410,650,63.1,5337,935,265,373,71.0,114,175,65.1,13,30,43.3,1,1.4,1.0,-0.4,21,41,7,0,55
90,Dani Carvajal,ESP,DF,Real Madrid,26,1992,23.4,1575,1840,85.6,25791,7946,831,911,91.2,558,631,88.4,147,197,74.6,2,3.6,2.8,-1.6,30,89,20,5,121
91,William Carvalho,POR,MF,Betis,26,1992,26.5,1696,1912,88.7,28860,7849,806,876,92.0,660,717,92.1,176,223,78.9,5,1.8,2.4,+3.2,18,195,24,0,199
92,Casemiro,BRA,MF,Real Madrid,26,1992,25.7,1431,1641,87.2,26905,7567,644,712,90.4,527,574,91.8,223,281,79.4,0,0.9,0.8,-0.9,14,108,14,2,111
93,Santiago Cáseres,ARG,MF,Villarreal,21,1997,17.6,784,866,90.5,15268,3775,300,322,93.2,349,374,93.3,122,145,84.1,1,1.1,0.6,-0.1,15,73,5,0,101
94,Catena,ESP,DF,Rayo Vallecano,23,1994,2.0,85,99,85.9,1653,581,25,25,100.0,45,49,91.8,10,17,58.8,0,0.0,0.0,0.0,0,3,0,0,9
95,Santi Cazorla,ESP,MF|FW,Villarreal,33,1984,29.4,1415,1750,80.9,26810,9060,619,675,91.7,548,635,86.3,213,357,59.7,10,6.8,6.8,+3.2,71,170,51,10,255
96,Dani Ceballos,ESP,MF|FW,Real Madrid,21,1996,13.9,953,1037,91.9,15425,3344,520,551,94.4,346,362,95.6,74,84,88.1,0,1.2,1.2,-1.2,24,93,14,2,140
97,Charles,BRA,FW,Eibar,34,1984,19.3,381,561,67.9,4743,882,241,321,75.1,91,140,65.0,11,17,64.7,1,1.4,2.1,-0.4,15,33,14,0,55
