Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
25,Neto,BRA,GK,Bournemouth,33,1989,26.5,39,4,0,8,1,39.7,0.26,+1.7,+0.06,160,437,36.6,601,136,47.4,37.8,231,65.8,44.6,510,35,6.9,25,0.94,12.1
26,Robin Olsen,SWE,GK,Aston Villa,32,1990,3.1,8,1,0,3,0,6.2,0.29,-1.8,-0.57,15,62,24.2,101,18,44.6,37.6,28,60.7,46.8,45,5,11.1,3,0.96,14.2
27,Stefan Ortega,GER,GK,Manchester City,29,1992,3.0,1,0,0,0,0,4.1,0.27,+3.1,+1.02,11,24,45.8,155,16,14.8,23.9,12,8.3,20.3,26,1,3.8,7,2.33,21.1
28,Jordan Pickford,ENG,GK,Everton,28,1994,37.0,57,5,2,4,0,60.0,0.31,+3.0,+0.08,270,801,33.7,992,151,58.1,43.0,315,71.4,52.7,566,22,3.9,52,1.41,16.2
29,Nick Pope,ENG,GK,Newcastle Utd,30,1992,36.2,32,2,0,8,1,31.3,0.24,+0.3,+0.01,120,368,32.6,683,232,33.1,33.0,207,68.6,50.7,411,34,8.3,74,2.04,18.2
30,Aaron Ramsdale,ENG,GK,Arsenal,24,1998,38.0,43,3,0,6,1,40.0,0.28,-2.0,-0.05,109,429,25.4,956,174,35.4,33.3,153,59.5,49.2,381,22,5.8,43,1.13,16.1
31,David Raya,ESP,GK,Brentford,26,1995,38.0,46,2,0,9,3,48.0,0.24,+5.0,+0.13,347,882,39.3,1367,160,50.7,39.5,269,70.3,51.8,598,52,8.7,54,1.42,15.8
32,Joel Robles,ESP,GK,Leeds United,32,1990,4.0,11,2,0,0,0,10.5,0.32,-0.5,-0.12,18,71,25.4,90,20,52.2,41.1,32,75.0,49.4,43,2,4.7,3,0.75,11.6
33,Marek Rodák,SVK,GK,Fulham,25,1996,2.0,2,0,0,0,0,2.0,0.51,0.0,+0.01,16,47,34.0,46,3,73.9,46.0,15,86.7,60.0,26,1,3.8,2,1.00,14.0
34,José Sá,POR,GK,Wolves,29,1993,36.0,55,2,0,6,1,48.4,0.28,-5.6,-0.16,120,435,27.6,935,182,29.3,30.9,260,61.9,46.2,540,43,8.0,28,0.78,12.6
35,Robert Sánchez,ESP,GK,Brighton,24,1997,23.0,30,5,0,4,3,24.2,0.25,-2.8,-0.12,60,205,29.3,645,103,24.2,28.9,131,37.4,35.1,229,17,7.4,13,0.57,12.3
36,Jason Steele,ENG,GK,Brighton,31,1990,15.0,23,1,0,2,3,18.5,0.29,-1.5,-0.10,34,74,45.9,483,48,14.9,24.2,55,3.6,13.9,126,10,7.9,19,1.27,15.7
37,Mark Travers,IRL,GK,Bournemouth,23,1999,11.5,32,2,0,8,2,24.0,0.34,-6.0,-0.52,71,154,46.1,250,54,35.6,31.9,118,55.1,43.8,229,5,2.2,5,0.43,10.5
38,Danny Ward,WAL,GK,Leicester City,29,1993,26.0,46,2,2,6,4,36.5,0.29,-5.5,-0.21,94,303,31.0,750,154,29.7,30.4,190,42.1,35.1,355,20,5.6,42,1.62,15.9
39,Joseph Whitworth,ENG,GK,Crystal Palace,18,2004,2.0,5,0,0,0,0,2.3,0.23,-2.7,-1.33,8,27,29.6,68,8,29.4,30.1,15,46.7,36.7,25,1,4.0,3,1.50,15.4
