Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
449,Ivan Radovanović,SRB,MF,Genoa,30,1988,14.6,0,17,5,29.4,1.16,0.34,0.00,0.00,24.3,0,0,0,0.9,0.9,0.06,-0.9,-0.9
450,Ionuț Radu,ROU,GK,Genoa,22,1997,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
451,Ștefan Radu,ROU,DF,Lazio,32,1986,25.6,1,4,1,25.0,0.16,0.04,0.25,1.00,26.0,0,0,0,0.1,0.1,0.03,+0.9,+0.9
452,Boris Radunović,SRB,GK,Hellas Verona,23,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
453,Rafael,BRA,GK,Cagliari,37,1982,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
454,Daniele Ragatzu,ITA,MF|FW,Cagliari,27,1991,3.5,1,8,4,50.0,2.30,1.15,0.13,0.25,14.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2
455,Gastón Ramírez,URU,MF|FW,Sampdoria,28,1990,15.5,7,37,15,40.5,2.39,0.97,0.11,0.27,19.8,5,3,3,5.9,3.5,0.09,+1.1,+0.5
456,Aaron Ramsey,WAL,MF,Juventus,28,1990,11.7,3,28,9,32.1,2.40,0.77,0.11,0.33,17.5,0,0,0,2.5,2.5,0.09,+0.5,+0.5
457,Luca Ranieri,ITA,DF,Fiorentina,20,1999,2.6,0,3,0,0.0,1.16,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
458,Andrea Ranocchia,ITA,DF,Inter,31,1988,5.8,0,4,0,0.0,0.68,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.13,-0.5,-0.5
459,Giacomo Raspadori,ITA,MF|FW,Sassuolo,19,2000,2.9,2,11,5,45.5,3.75,1.70,0.18,0.40,13.8,0,0,0,1.3,1.3,0.12,+0.7,+0.7
