Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
1,Enrico Alfonso,ITA,GK,Brescia,31,1988,3.1,4,0,0,0,0,2.6,0.23,-1.4,-0.47,8,27,29.6,56,9,35.7,33.3,24,29.2,29.0,54,0,0.0,4,1.29,12.9
2,Lorenzo Andrenacci,ITA,GK,Brescia,24,1995,5.9,16,0,1,1,0,12.8,0.29,-3.2,-0.54,24,60,40.0,96,45,28.1,31.8,66,50.0,40.8,98,3,3.1,1,0.17,10.1
3,Emil Audero,ITA,GK,Sampdoria,22,1997,36.0,60,7,0,10,4,47.9,0.25,-8.1,-0.23,187,519,36.0,742,132,45.7,37.2,291,61.9,44.6,603,16,2.7,32,0.89,14.0
4,Asmir Begović,BIH,GK,Milan,32,1987,1.4,3,1,0,0,0,4.0,0.43,+1.0,+0.73,3,10,30.0,26,5,26.9,30.5,12,25.0,33.1,16,0,0.0,0,0.00,
5,Etrit Berisha,ALB,GK,SPAL,30,1989,26.0,44,6,1,2,2,45.4,0.27,+3.4,+0.13,164,389,42.2,642,142,39.6,34.0,233,57.9,44.1,419,12,2.9,21,0.81,14.3
6,Federico Brancolini,ITA,GK,Fiorentina,18,2001,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,2,0,0.0,24.0,1,100.0,66.0,0,0,,0,0.00,18.0
7,Gianluigi Buffon,ITA,GK,Juventus,41,1978,9.0,10,1,0,0,0,7.6,0.20,-2.4,-0.27,12,26,46.2,154,42,13.6,25.1,54,9.3,21.5,109,3,2.8,7,0.78,13.6
8,Simone Colombi,ITA,GK,Parma,28,1991,4.0,4,1,0,0,0,6.2,0.28,+2.2,+0.56,9,24,37.5,59,14,28.8,29.3,42,16.7,23.1,61,1,1.6,0,0.00,7.8
9,Andrea Consigli,ITA,GK,Sassuolo,32,1987,31.0,55,7,1,9,3,45.0,0.27,-7.0,-0.23,90,268,33.6,778,141,27.4,28.8,205,26.8,27.8,432,19,4.4,30,0.97,13.6
10,Angelo da Costa Júnior,BRA,GK,Bologna,35,1983,1.0,1,0,0,0,0,0.2,0.10,-0.8,-0.79,0,2,0.0,22,4,9.1,27.0,4,0.0,15.8,8,0,0.0,1,1.00,33.0
11,Alessio Cragno,ITA,GK,Cagliari,25,1994,16.0,21,1,0,2,1,21.6,0.22,+1.6,+0.10,68,224,30.4,314,74,45.5,37.0,156,51.9,39.9,274,12,4.4,7,0.44,10.6
12,Gianluigi Donnarumma,ITA,GK,Milan,20,1999,35.6,42,4,0,4,1,39.7,0.23,-1.3,-0.04,177,406,43.6,878,178,32.3,31.3,259,47.1,36.9,473,27,5.7,37,1.04,13.9
13,Bartłomiej Drągowski,POL,GK,Fiorentina,21,1997,31.0,43,6,2,5,0,42.7,0.25,-0.3,-0.01,109,338,32.2,677,196,34.9,33.6,221,46.2,39.1,440,13,3.0,30,0.97,14.2
14,Wladimiro Falcone,ITA,GK,Sampdoria,24,1995,2.0,5,1,0,0,0,5.6,0.36,+0.6,+0.32,5,25,20.0,43,10,34.9,29.8,18,55.6,44.9,27,0,0.0,2,1.00,16.4
15,Daniel Fuzato,BRA,GK,Roma,22,1997,1.0,1,0,0,1,0,0.4,0.22,-0.6,-0.57,3,14,21.4,34,4,29.4,33.1,10,40.0,33.2,14,1,7.1,1,1.00,11.5
16,Gabriel,BRA,GK,Lecce,26,1992,33.3,76,10,1,9,3,70.4,0.27,-2.6,-0.08,124,310,40.0,646,194,31.1,32.0,326,33.4,30.7,597,27,4.5,15,0.45,11.0
17,Pierluigi Gollini,ITA,GK,Atalanta,24,1995,32.0,42,6,2,4,3,36.7,0.26,-2.3,-0.07,165,381,43.3,766,161,32.1,34.0,208,64.9,50.0,314,5,1.6,57,1.78,18.1
18,Samir Handanović,SVN,GK,Inter,35,1984,35.0,32,2,0,3,1,29.3,0.24,-1.7,-0.05,111,222,50.0,853,189,18.2,27.2,267,25.1,28.9,490,24,4.9,19,0.54,11.8
19,Jesse Joronen,FIN,GK,Brescia,26,1993,29.0,59,9,0,8,3,53.6,0.25,-2.4,-0.08,138,380,36.3,579,164,44.9,36.9,275,43.6,38.3,530,17,3.2,12,0.41,9.0
20,Karlo Letica,CRO,GK,SPAL,22,1997,10.0,29,0,2,1,1,18.9,0.28,-9.1,-0.91,55,155,35.5,219,54,44.7,37.2,95,60.0,45.4,168,5,3.0,3,0.30,10.3
21,Pau López,ESP,GK,Roma,24,1994,32.0,45,8,1,4,0,44.3,0.27,-0.7,-0.02,143,317,45.1,838,175,29.1,31.4,208,35.1,34.9,373,9,2.4,44,1.38,18.2
22,Alex Meret,ITA,GK,Napoli,22,1997,21.7,33,5,0,2,1,27.7,0.27,-4.3,-0.20,31,103,30.1,466,86,17.2,25.5,139,16.5,22.9,241,4,1.7,15,0.69,14.3
23,Antonio Mirante,ITA,GK,Roma,36,1983,5.0,5,1,0,0,0,8.7,0.34,+3.7,+0.73,24,49,49.0,142,30,31.0,30.7,29,17.2,28.3,83,1,1.2,8,1.60,14.9
24,Juan Musso,ARG,GK,Udinese,25,1994,38.0,51,8,2,4,0,52.1,0.22,+1.1,+0.03,184,421,43.7,812,171,34.5,32.7,358,39.4,34.1,581,25,4.3,20,0.53,11.6
25,Robin Olsen,SWE,GK,Cagliari,29,1990,16.9,24,4,0,1,2,23.2,0.22,+1.2,+0.07,87,246,35.4,328,62,49.7,40.2,159,52.2,42.4,293,8,2.7,5,0.30,10.1
26,David Ospina,COL,GK,Napoli,30,1988,16.3,17,2,1,2,0,14.8,0.25,-2.2,-0.13,34,77,44.2,383,55,16.2,25.7,85,17.6,22.1,184,11,6.0,17,1.04,16.2
27,Daniele Padelli,ITA,GK,Inter,33,1985,3.0,4,1,0,2,0,3.7,0.34,-0.3,-0.10,3,17,17.6,69,14,20.3,29.9,24,12.5,25.2,55,2,3.6,2,0.67,12.2
28,Gianluca Pegolo,ITA,GK,Sassuolo,38,1981,5.0,4,0,0,0,1,5.7,0.22,+2.7,+0.54,12,29,41.4,122,24,18.9,24.2,36,16.7,19.9,71,1,1.4,5,1.00,17.4
29,Mattia Perin,ITA,GK,Genoa,26,1992,21.0,38,1,1,3,1,34.6,0.33,-2.4,-0.12,129,373,34.6,538,90,51.3,40.1,189,51.3,41.6,341,18,5.3,12,0.57,12.8
30,Carlo Pinsoglio,ITA,GK,Juventus,29,1990,0.2,0,0,0,0,0,0.0,,0.0,0.00,0,0,,1,0,0.0,17.0,2,0.0,19.0,0,0,,0,0.00,
