Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
1,Issah Abbas,GHA,FW,Mainz 05,19,1998,0.1,0,1,0,0.0,10.00,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0
2,David Abraham,ARG,DF,Eint Frankfurt,32,1986,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,11.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8
3,Amir Abrashi,ALB,MF,Freiburg,28,1990,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
4,Tyler Adams,USA,MF,RB Leipzig,19,1999,8.0,0,2,1,50.0,0.25,0.12,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
5,Antonis Aidonis,GER,DF,Stuttgart,17,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
6,Manuel Akanji,SUI,DF,Dortmund,23,1995,24.5,1,7,2,28.6,0.29,0.08,0.14,0.50,13.2,0,0,0,0.5,0.5,0.07,+0.5,+0.5
7,Chadrac Akolo,COD,MF|FW,Stuttgart,23,1995,5.8,0,14,3,21.4,2.40,0.51,0.00,0.00,20.2,0,0,0,0.9,0.9,0.07,-0.9,-0.9
8,Kevin Akpoguma,NGA,DF,Hoffenheim,23,1995,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
9,Kevin Akpoguma,NGA,DF,Hannover 96,23,1995,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
10,David Alaba,AUT,DF,Bayern Munich,26,1992,28.1,3,47,16,34.0,1.67,0.57,0.06,0.19,25.8,16,0,0,3.2,3.2,0.07,-0.2,-0.2
