Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec
Augsburg,30,,34.0,18950,2152,6550,8752,3877,593,18945,407,217,53.3,190,46.7,9631,52308,26312,515,364,80,504,336,10914
Bayern Munich,24,,34.0,27295,1572,6398,13813,7296,1226,27291,683,426,62.4,257,37.6,16384,90227,49369,960,728,243,469,315,20325
Dortmund,23,,34.0,25919,1845,6539,13672,5943,829,25915,737,440,59.7,297,40.3,15941,85698,43630,784,610,207,530,381,18684
Düsseldorf,24,,34.0,18363,2081,6608,8212,3744,572,18356,435,232,53.3,203,46.7,9580,52985,27987,553,346,125,466,257,10988
Eint Frankfurt,30,,34.0,18899,1922,5739,9079,4331,700,18895,522,293,56.1,229,43.9,9030,54681,30101,625,406,175,528,365,10463
Freiburg,28,,34.0,18724,2188,6576,8638,3667,531,18719,441,236,53.5,205,46.5,8730,53596,28408,507,369,118,464,300,11288
Hannover 96,32,,34.0,19244,2233,6547,9176,3739,533,19241,529,277,52.4,252,47.6,9719,58489,30454,572,405,116,558,389,11258
Hertha BSC,26,,34.0,20051,2083,6050,10251,3961,611,20047,515,305,59.2,209,40.6,11616,56652,27835,562,450,135,554,332,12228
Hoffenheim,29,,34.0,21996,1995,6560,10363,5317,940,21989,596,356,59.7,240,40.3,12546,73337,41580,950,613,194,499,361,14348
Leverkusen,21,,34.0,25994,1974,6954,13384,5848,864,25989,555,326,58.7,229,41.3,13049,71263,37329,719,484,162,581,394,18139
M'Gladbach,22,,34.0,22515,2107,7022,10979,4688,718,22508,488,280,57.4,207,42.4,12727,78751,45660,775,517,130,473,300,15624
Mainz 05,28,,34.0,19264,2020,5988,8762,4754,643,19261,556,316,56.8,240,43.2,10481,57318,29507,624,472,134,513,393,11364
Nürnberg,27,,34.0,17943,2357,6850,7849,3432,460,17937,468,253,54.1,215,45.9,8687,51985,27835,483,341,72,486,293,10490
RB Leipzig,23,,34.0,21038,1638,5254,10359,5654,829,21031,555,312,56.2,243,43.8,9533,57137,31646,733,535,177,574,391,12363
Schalke 04,32,,34.0,18476,1848,5885,8933,3940,652,18467,610,358,58.7,252,41.3,9416,58880,31863,676,473,140,525,377,10710
Stuttgart,26,,34.0,19205,2097,6327,8926,4127,587,19204,397,239,60.2,158,39.8,9075,51465,26774,506,391,92,499,308,11120
Werder Bremen,24,,34.0,22276,2114,6390,10720,5341,719,22272,413,220,53.3,193,46.7,11744,65657,35048,635,500,125,523,332,14280
Wolfsburg,25,,34.0,20950,2357,7146,9574,4433,653,20945,436,256,58.7,180,41.3,11668,66904,35385,618,438,137,489,330,13078
