Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Yunis Abdelhamid,MAR,DF,Reims,34,1987,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1
2,Himad Abdelli,ALG,MF|FW,Angers,22,1999,23.7,64,38,22,32,10,31,67,46.3,36,30,1,29,28,92,15,0
3,Salis Abdul Samed,GHA,MF,Lens,22,2000,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0
4,Laurent Abergel,FRA,MF,Lorient,29,1993,26.0,92,52,59,30,3,39,92,42.4,53,47,8,39,34,126,39,0
5,Matthis Abline,FRA,FW|MF,Auxerre,19,2003,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0
6,Matthis Abline,FRA,FW|MF,Rennes,19,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0
7,Zakaria Aboukhlal,MAR,FW|MF,Toulouse,22,2000,27.5,33,23,13,9,11,14,45,31.1,31,18,1,17,22,55,23,0
8,Mohamed Achi,FRA,FW,Nantes,20,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
9,Martin Adeline,FRA,MF|FW,Reims,18,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0
10,Emmanuel Agbadou,CIV,DF,Reims,25,1997,26.5,71,49,53,16,2,42,65,64.6,23,30,14,16,32,103,107,3
11,Lucien Agoume,FRA,MF,Troyes,20,2002,12.2,42,25,18,15,9,17,33,51.5,16,14,5,9,27,69,24,0
12,Ruben Aguilar,FRA,DF,Monaco,29,1993,13.0,19,9,7,7,5,8,22,36.4,14,13,1,12,18,37,28,1
13,Amar Ahmed,SWE,FW,Troyes,18,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
14,Jean-Eudes Aholou,CIV,MF,Strasbourg,28,1994,14.4,34,20,10,20,4,12,31,38.7,19,25,0,25,24,58,15,0
15,Ludovic Ajorque,FRA,FW,Strasbourg,28,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0
16,Maghnes Akliouche,FRA,MF|FW,Monaco,20,2002,4.5,7,4,4,3,0,2,8,25.0,6,2,0,2,3,10,2,0
17,Doğan Alemdar,TUR,GK,Rennes,19,2002,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
18,Jim Allevinah,GAB,DF|FW,Clermont Foot,27,1995,24.9,39,24,24,11,4,19,62,30.6,43,24,2,22,24,63,26,1
19,Mickaël Alphonse,GLP,DF,Ajaccio,33,1989,15.1,35,23,20,11,4,20,33,60.6,13,17,5,12,35,70,44,1
20,Ibrahim Amadou,FRA,DF|MF,Angers,29,1993,4.7,10,7,6,3,1,7,11,63.6,4,7,3,4,10,20,20,0
21,Ayoub Amraoui,MAR,DF|FW,Nice,18,2004,3.3,6,5,3,3,0,2,5,40.0,3,1,0,1,4,10,4,0
22,Benjamin André,FRA,MF,Lille,31,1990,32.4,128,74,51,60,17,65,121,53.7,56,50,8,42,47,175,60,0
23,Komnen Andrić,SRB,FW,Clermont Foot,27,1995,16.1,13,5,2,7,4,2,15,13.3,13,8,1,7,8,21,13,0
24,Houssem Aouar,ALG,MF,Lyon,24,1998,5.8,12,5,5,5,2,3,9,33.3,6,12,2,10,8,20,3,0
25,Adil Aouchiche,FRA,MF,Lorient,20,2002,2.8,5,2,3,1,1,1,9,11.1,8,1,0,1,4,9,1,0
26,Dennis Appiah,FRA,DF|MF,Nantes,30,1992,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0
27,Stredair Appuah,FRA,DF|MF,Nantes,18,2004,0.7,2,1,0,2,0,0,0,,0,2,0,2,1,3,0,0
28,Taïryk Arconte,FRA,FW,Brest,18,2003,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0
29,Mohamed El Arouch,FRA,MF,Lyon,18,2004,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
30,Lorenz Assignon,TOG,DF,Rennes,22,2000,2.9,6,2,4,2,0,2,4,50.0,2,6,0,6,2,8,9,0
31,Youcef Atal,ALG,DF|MF,Nice,26,1996,8.7,38,22,18,15,5,23,32,71.9,9,9,0,9,14,52,13,0
32,Valentin Atangana Edoa,FRA,MF,Reims,16,2005,1.9,8,3,4,2,2,3,6,50.0,3,2,1,1,0,8,1,0
33,Mathias Autret,FRA,MF|FW,Auxerre,31,1991,14.3,22,10,10,10,2,7,16,43.8,9,14,2,12,12,34,13,0
34,Cédric Avinel,GLP,DF,Ajaccio,35,1986,19.9,13,7,8,5,0,8,12,66.7,4,20,13,7,15,28,91,1
35,Loïc Bade,FRA,DF,Rennes,22,2000,1.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0
36,Benoît Badiashile,FRA,DF,Monaco,21,2001,9.3,10,8,6,4,0,5,10,50.0,5,9,6,3,17,27,40,1
37,Eric Bailly,CIV,DF,Marseille,28,1994,6.0,13,10,6,6,1,7,7,100.0,0,15,12,3,12,25,18,1
38,Dénys Bain,FRA,DF,Auxerre,29,1993,1.4,4,3,3,1,0,1,2,50.0,1,2,1,1,2,6,4,0
39,Brandon Baiye,BEL,MF,Clermont Foot,21,2000,0.6,3,2,2,1,0,2,3,66.7,1,1,0,1,1,4,3,0
40,Cédric Bakambu,COD,MF,Marseille,31,1991,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0
41,Thierno Balde,FRA,DF|MF,Troyes,20,2002,23.9,27,14,19,4,4,18,30,60.0,12,15,3,12,23,50,39,0
42,Carlos Baleba,CMR,MF,Lille,18,2004,5.3,13,11,2,9,2,9,14,64.3,5,13,3,10,1,14,3,2
43,Leonardo Balerdi,ARG,DF,Marseille,23,1999,29.3,57,37,43,12,2,32,45,71.1,13,48,29,19,63,120,91,1
44,Folarin Balogun,USA,FW,Reims,21,2001,33.3,9,5,1,5,3,2,20,10.0,18,20,1,19,3,12,15,0
45,Abdoulaye Bamba,CIV,DF,Angers,32,1990,15.2,22,12,15,5,2,16,19,84.2,3,7,3,4,18,40,38,0
46,Jonathan Bamba,CIV,FW,Lille,26,1996,30.9,37,17,12,14,11,14,45,31.1,31,36,1,35,22,59,14,0
47,Bradley Barcola,FRA,FW|MF,Lyon,19,2002,16.0,25,16,8,10,7,8,39,20.5,31,29,0,29,19,44,10,0
48,Melvin Bard,FRA,DF,Nice,21,2000,27.3,96,60,61,29,6,59,89,66.3,30,35,4,31,64,160,40,1
49,Ross Barkley,ENG,MF|FW,Nice,28,1993,10.7,16,9,7,4,5,7,13,53.8,6,7,2,5,8,24,6,0
50,Mickaël Barreto,FRA,MF,Ajaccio,31,1991,14.7,32,20,12,17,3,8,45,17.8,37,17,0,17,18,50,11,0
51,Cyrille Bayala,BFA,MF,Ajaccio,26,1996,22.3,53,37,16,20,17,23,47,48.9,24,20,3,17,25,78,21,0
52,Yanis Begraoui,MAR,FW|MF,Toulouse,21,2001,0.7,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0
53,Alexis Beka Beka,FRA,MF|DF,Nice,21,2001,6.1,16,5,6,9,1,4,15,26.7,11,9,1,8,12,28,6,0
54,Jérémie Bela,ANG,DF|MF,Clermont Foot,29,1993,8.3,6,4,2,1,3,3,4,75.0,1,10,1,9,9,15,8,0
55,Reda Belahyane,FRA,MF,Nice,18,2004,2.0,8,6,5,3,0,3,5,60.0,2,5,1,4,2,10,0,0
56,Youcef Belaïli,ALG,MF|FW,Ajaccio,30,1992,12.8,18,10,3,9,6,8,20,40.0,12,10,1,9,5,23,4,0
57,Youcef Belaïli,ALG,FW|MF,Brest,30,1992,4.0,5,2,3,2,0,2,7,28.6,5,2,0,2,1,6,1,0
58,Haris Belkebla,ALG,MF,Brest,28,1994,29.5,80,48,35,40,5,44,85,51.8,41,32,6,26,52,132,21,3
