Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Yunis Abdelhamid,MAR,DF,Reims,34,1987,37.0,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0
2,Himad Abdelli,ALG,MF|FW,Angers,22,1999,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0
3,Salis Abdul Samed,GHA,MF,Lens,22,2000,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0
4,Laurent Abergel,FRA,MF,Lorient,29,1993,26.0,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0
5,Matthis Abline,FRA,FW|MF,Auxerre,19,2003,9.0,15,1.67,8,0,5,0,2,0,3,0.33,1,0,1,0,1,0
6,Matthis Abline,FRA,FW|MF,Rennes,19,2003,1.2,7,5.94,2,0,0,3,1,1,2,1.70,0,0,0,0,1,1
7,Zakaria Aboukhlal,MAR,FW|MF,Toulouse,22,2000,27.5,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0
8,Mohamed Achi,FRA,FW,Nantes,20,2002,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
9,Martin Adeline,FRA,MF|FW,Reims,18,2003,1.2,2,1.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Emmanuel Agbadou,CIV,DF,Reims,25,1997,26.5,31,1.17,26,1,0,4,0,0,3,0.11,2,0,0,1,0,0
11,Lucien Agoume,FRA,MF,Troyes,20,2002,12.2,27,2.22,23,3,0,1,0,0,1,0.08,1,0,0,0,0,0
12,Ruben Aguilar,FRA,DF,Monaco,29,1993,13.0,18,1.38,14,1,0,1,1,1,2,0.15,2,0,0,0,0,0
13,Amar Ahmed,SWE,FW,Troyes,18,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Jean-Eudes Aholou,CIV,MF,Strasbourg,28,1994,14.4,28,1.94,21,1,0,1,2,3,2,0.14,2,0,0,0,0,0
