Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
401,Farid El Melali,ALG,DF|FW,Angers,25,1997,9.0,196,282,69.5,3348,952,95,125,76.0,80,107,74.8,15,27,55.6,0,0.2,0.3,-0.2,4,13,4,1,24
402,Birger Meling,NOR,DF,Rennes,27,1994,13.4,671,787,85.3,11341,3382,304,345,88.1,307,345,89.0,47,65,72.3,1,0.9,1.8,+0.1,7,57,15,4,91
403,Nuno Mendes,POR,DF,Paris S-G,20,2002,17.2,793,932,85.1,11300,3442,450,500,90.0,266,303,87.8,30,43,69.8,6,2.8,3.6,+3.2,24,56,18,6,77
404,Pedro Mendes,POR,DF,Montpellier,31,1990,0.1,1,3,33.3,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
405,Thiago Mendes,BRA,MF|DF,Lyon,30,1992,22.9,1445,1672,86.4,26348,9319,568,619,91.8,658,709,92.8,163,263,62.0,1,0.6,1.8,+0.4,10,156,13,0,170
406,Antoine Mendy,FRA,DF,Nice,18,2004,5.8,262,325,80.6,4265,1050,125,138,90.6,112,132,84.8,18,40,45.0,1,0.4,0.3,+0.6,6,11,7,3,21
407,Arial Mendy,SEN,DF,Clermont Foot,27,1994,2.5,82,120,68.3,1347,382,42,55,76.4,32,45,71.1,7,14,50.0,0,0.1,0.3,-0.1,1,7,4,2,7
408,Batista Mendy,FRA,MF|DF,Angers,22,2000,31.8,1234,1432,86.2,22322,7144,471,532,88.5,608,670,90.7,112,161,69.6,0,1.2,1.8,-1.2,17,159,22,2,195
409,Gideon Mensah,GHA,DF,Auxerre,24,1998,25.1,1126,1457,77.3,19117,7266,558,635,87.9,454,558,81.4,89,193,46.1,0,2.1,2.1,-2.1,25,97,20,12,116
410,Quentin Merlin,FRA,DF,Nantes,20,2002,19.9,857,1169,73.3,16268,5919,345,409,84.4,382,495,77.2,111,221,50.2,2,3.3,3.3,-1.3,34,73,23,13,94
411,Lionel Messi,ARG,FW|MF,Paris S-G,35,1987,31.5,1641,2050,80.0,25475,8767,908,1034,87.8,495,597,82.9,154,235,65.5,16,13.4,16.2,+2.6,93,223,120,2,300
412,Amine Messoussa,FRA,FW,Lille,17,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
413,Arkadiusz Milik,POL,FW,Marseille,28,1994,1.4,28,37,75.7,311,43,14,18,77.8,9,11,81.8,0,0,,0,0.2,0.0,-0.2,1,2,0,0,1
414,Takumi Minamino,JPN,MF|FW,Monaco,27,1995,8.0,168,259,64.9,2530,689,80,109,73.4,57,75,76.0,13,37,35.1,3,1.4,1.9,+1.6,10,13,12,0,28
415,Terem Moffi,NGA,FW,Nice,23,1999,14.8,186,232,80.2,2484,375,111,134,82.8,58,65,89.2,4,5,80.0,3,2.9,1.1,+0.1,27,7,7,1,20
416,Terem Moffi,NGA,FW,Lorient,23,1999,15.4,154,208,74.0,2056,532,89,117,76.1,54,66,81.8,3,5,60.0,0,0.5,0.7,-0.5,9,14,5,0,20
417,Mostafa Mohamed,EGY,FW,Nantes,24,1997,21.5,215,351,61.3,3003,648,116,183,63.4,65,95,68.4,15,24,62.5,2,1.7,1.1,+0.3,15,17,5,1,22
418,Florent Mollet,FRA,MF,Nantes,30,1991,12.1,444,565,78.6,7342,2315,201,225,89.3,178,210,84.8,43,90,47.8,2,2.8,2.2,-0.8,23,41,11,4,73
419,Marlos Moreno,COL,MF|DF,Troyes,25,1996,0.1,3,4,75.0,40,10,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
420,Lebo Mothiba,RSA,FW|MF,Strasbourg,26,1996,4.8,75,98,76.5,969,140,42,49,85.7,25,32,78.1,1,6,16.7,0,0.1,0.1,-0.1,1,5,1,0,7
421,Steve Mounié,BEN,FW,Brest,27,1994,18.4,253,458,55.2,3503,841,139,238,58.4,89,147,60.5,5,15,33.3,0,0.8,1.3,-0.8,13,26,3,0,32
422,Bevic Moussiti-Oko,CGO,FW,Ajaccio,27,1995,7.8,90,163,55.2,1205,235,52,82,63.4,23,50,46.0,5,10,50.0,0,0.8,0.4,-0.8,5,10,2,0,10
423,Samuel Moutoussamy,COD,MF,Nantes,25,1996,26.7,1053,1226,85.9,17981,5126,457,509,89.8,456,506,90.1,94,130,72.3,2,1.0,1.6,+1.0,18,124,13,1,156
424,François Mughe,CMR,MF,Marseille,18,2004,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
425,Nordi Mukiele,FRA,DF,Paris S-G,24,1997,12.6,585,674,86.8,8570,2494,320,342,93.6,220,253,87.0,19,29,65.5,3,2.1,1.4,+0.9,10,17,9,2,26
426,Marshall Munetsi,ZIM,MF,Reims,26,1996,30.0,651,886,73.5,10519,3417,306,394,77.7,248,313,79.2,56,109,51.4,3,3.1,2.1,-0.1,31,71,11,2,95
427,Yvon Mvogo,SUI,GK,Lorient,28,1994,20.1,466,622,74.9,12098,8637,114,114,100.0,211,211,100.0,136,287,47.4,0,0.0,0.0,0.0,0,5,0,0,0
428,Nathan N'Goumou,FRA,FW,Toulouse,22,2000,1.0,25,30,83.3,352,110,18,22,81.8,5,6,83.3,1,1,100.0,0,0.3,0.4,-0.3,1,2,4,1,5
429,Youssouf Ndayishimiye,BDI,MF|DF,Nice,23,1998,6.3,337,374,90.1,6228,1553,130,139,93.5,165,178,92.7,35,47,74.5,0,0.1,0.4,-0.1,1,32,3,1,30
430,Papa Ndiaga Yade,SEN,DF|MF,Troyes,22,2000,6.3,250,347,72.0,3664,1248,151,175,86.3,72,107,67.3,16,42,38.1,2,1.3,0.8,+0.7,10,9,7,5,16
431,Neymar,BRA,MF|FW,Paris S-G,30,1992,17.2,1011,1262,80.1,14702,5435,568,659,86.2,297,359,82.7,71,124,57.3,11,8.8,7.4,+2.2,49,135,48,2,161
432,Ibrahima Niane,SEN,FW,Angers,23,1999,12.6,175,232,75.4,2553,471,93,119,78.2,55,72,76.4,10,13,76.9,0,0.5,0.6,-0.5,8,17,4,0,24
433,M'Baye Niang,SEN,FW,Auxerre,27,1994,16.5,188,297,63.3,2848,688,100,147,68.0,66,96,68.8,12,21,57.1,0,0.6,0.6,-0.6,7,13,7,1,30
434,Rasmus Nicolaisen,DEN,DF,Toulouse,25,1997,33.3,1484,1763,84.2,29502,11304,479,556,86.2,790,870,90.8,188,289,65.1,2,0.8,0.7,+1.2,5,81,3,0,114
435,Arnaud Nordin,FRA,FW,Montpellier,24,1998,26.7,485,661,73.4,7015,1948,268,334,80.2,156,213,73.2,26,44,59.1,3,2.9,2.0,+0.1,20,28,19,3,63
436,Riad Nouri,FRA,MF|FW,Ajaccio,37,1985,18.8,425,627,67.8,6625,2227,225,288,78.1,150,208,72.1,31,82,37.8,1,2.2,2.2,-1.2,25,33,14,12,39
437,Alexander Nübel,GER,GK,Monaco,25,1996,38.0,851,1141,74.6,25434,18986,120,121,99.2,358,367,97.5,369,649,56.9,0,0.0,0.3,0.0,1,4,0,0,1
438,Gerzino Nyamsi,FRA,DF,Strasbourg,25,1997,17.5,710,841,84.4,14214,5117,207,234,88.5,421,460,91.5,74,131,56.5,1,0.1,0.3,+0.9,3,55,6,0,68
439,Wilson Odobert,FRA,MF|FW,Troyes,17,2004,19.6,408,538,75.8,6175,1444,226,281,80.4,134,175,76.6,26,37,70.3,2,1.8,1.4,+0.2,23,27,13,5,47
440,Florent Ogier,FRA,DF,Clermont Foot,33,1989,18.9,741,935,79.3,13955,6170,278,317,87.7,348,414,84.1,93,168,55.4,1,1.3,0.6,-0.3,5,47,3,0,57
441,Warmed Omari,FRA,DF,Rennes,22,2000,15.1,911,982,92.8,19205,5888,203,223,91.0,573,592,96.8,125,147,85.0,0,0.4,0.6,-0.4,5,42,2,0,58
442,Jonas Omlin,SUI,GK,Montpellier,28,1994,13.0,295,415,71.1,8042,5958,53,54,98.1,155,158,98.1,86,202,42.6,0,0.0,0.0,0.0,0,4,0,0,0
443,Ado Onaiwu,JPN,FW,Toulouse,26,1995,12.0,252,337,74.8,3501,718,145,187,77.5,78,100,78.0,10,15,66.7,1,1.1,1.4,-0.1,8,19,10,1,30
444,Jean Onana,CMR,MF|DF,Lens,22,2000,9.0,412,478,86.2,6872,1606,185,204,90.7,177,203,87.2,31,43,72.1,0,0.4,0.3,-0.4,6,38,3,1,29
445,Loïs Openda,BEL,FW,Lens,22,2000,28.0,297,443,67.0,4347,944,143,203,70.4,104,137,75.9,16,35,45.7,4,4.0,3.7,0.0,24,18,17,2,42
446,Dango Ouattara,BFA,FW|MF,Lorient,20,2002,17.2,267,444,60.1,3726,1232,151,220,68.6,85,152,55.9,13,34,38.2,5,3.1,3.0,+1.9,23,20,23,2,39
447,Zinédine Ould Khaled,FRA,MF|FW,Angers,22,2000,0.6,34,36,94.4,514,128,21,21,100.0,12,12,100.0,1,1,100.0,0,0.0,0.0,0.0,0,3,1,0,5
448,Azzedine Ounahi,MAR,MF|FW,Marseille,22,2000,1.3,87,94,92.6,1264,252,49,51,96.1,24,27,88.9,6,6,100.0,0,0.2,0.1,-0.2,1,9,0,0,5
449,Azzedine Ounahi,MAR,MF|FW,Angers,22,2000,12.5,542,630,86.0,8826,2723,286,314,91.1,184,210,87.6,50,70,71.4,0,1.6,1.8,-1.6,17,70,12,1,87
450,Adam Ounas,ALG,FW|MF,Lille,25,1996,11.8,403,569,70.8,7134,2189,190,234,81.2,153,218,70.2,48,83,57.8,1,2.8,2.9,-1.8,26,34,32,4,66
451,Ante Palaversa,CRO,MF,Troyes,22,2000,0.3,14,17,82.4,281,82,5,5,100.0,5,6,83.3,3,5,60.0,0,0.1,0.0,-0.1,2,1,0,0,0
452,Nicolas Pallois,FRA,DF,Nantes,34,1987,24.6,977,1171,83.4,20669,7510,281,313,89.8,522,577,90.5,163,256,63.7,0,0.4,1.2,-0.4,4,88,8,2,86
453,Erik Palmer-Brown,USA,DF,Troyes,25,1997,35.5,1212,1435,84.5,22021,9290,489,533,91.7,601,669,89.8,95,185,51.4,0,0.4,1.3,-0.4,7,64,8,1,75
454,Lucas Paquetá,BRA,MF,Lyon,24,1997,1.8,110,126,87.3,1981,536,54,60,90.0,36,40,90.0,16,21,76.2,0,0.2,0.7,-0.2,3,14,3,1,8
455,Leandro Paredes,ARG,MF,Paris S-G,28,1994,0.6,68,70,97.1,1060,325,36,38,94.7,25,25,100.0,4,4,100.0,1,0.4,0.4,+0.6,2,7,1,0,6
456,Dimitri Payet,FRA,MF|FW,Marseille,35,1987,9.3,386,520,74.2,7048,2234,173,210,82.4,146,187,78.1,53,89,59.6,3,3.5,3.4,-0.5,31,37,28,1,71
457,Théo Pellenard,FRA,DF,Auxerre,28,1994,1.1,11,21,52.4,216,175,4,5,80.0,5,8,62.5,2,6,33.3,0,0.0,0.0,0.0,0,4,0,0,2
458,Timothee Pembele,FRA,DF,Paris S-G,19,2002,2.9,71,89,79.8,939,189,44,49,89.8,20,24,83.3,2,5,40.0,1,0.3,0.4,+0.7,2,2,0,0,5
459,Patrick Pentz,AUT,GK,Reims,25,1997,7.0,141,211,66.8,3725,2480,34,36,94.4,61,61,100.0,44,112,39.3,0,0.0,0.0,0.0,0,3,0,0,0
460,Nicolas Pépé,CIV,FW|MF,Nice,27,1995,16.6,558,694,80.4,8009,1739,327,376,87.0,159,198,80.3,35,54,64.8,0,2.6,3.1,-2.6,28,29,19,4,53
461,Brayann Pereira,FRA,DF,Auxerre,19,2003,2.0,56,79,70.9,812,282,32,38,84.2,21,32,65.6,3,6,50.0,0,0.0,0.0,0.0,0,1,0,0,4
462,Danilo Pereira,POR,DF|MF,Paris S-G,30,1991,26.8,1950,2068,94.3,32419,10970,909,946,96.1,859,899,95.6,136,164,82.9,0,0.5,0.9,-0.5,4,200,7,0,154
463,Mathias Pereira Lage,POR,MF|FW,Brest,25,1996,14.0,257,387,66.4,4010,1256,135,169,79.9,77,114,67.5,27,63,42.9,1,1.6,1.3,-0.6,14,25,3,2,30
464,Gaëtan Perrin,FRA,MF|FW,Auxerre,26,1996,15.5,315,434,72.6,5718,1802,140,175,80.0,122,158,77.2,41,67,61.2,1,1.9,1.5,-0.9,25,39,18,4,69
465,Lucas Perrin,FRA,DF,Strasbourg,23,1998,19.6,678,829,81.8,13175,5389,231,261,88.5,353,400,88.3,82,144,56.9,1,1.0,1.5,0.0,8,56,9,2,50
