Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
558,Hamari Traoré,MLI,DF,Rennes,28,1992,33.3,2016,2452,82.2,34780,10980,916,1032,88.8,925,1063,87.0,159,271,58.7,1,3.1,4.2,-2.1,35,183,52,21,204
559,Ismaël Traoré,CIV,DF,Angers,33,1986,33.3,1461,1745,83.7,27933,12213,494,538,91.8,808,889,90.9,146,272,53.7,3,0.9,0.9,+2.1,9,85,5,1,83
560,Miguel Trauco,PER,DF,Saint-Étienne,27,1992,22.6,1083,1432,75.6,18014,8760,558,621,89.9,410,525,78.1,91,205,44.4,2,3.1,2.8,-1.1,30,86,30,14,90
561,Alexis Trouillet,FRA,MF|FW,Nice,19,2000,1.2,57,68,83.8,1054,277,25,27,92.6,26,30,86.7,6,9,66.7,0,0.1,0.1,-0.1,2,9,1,0,8
562,Adrien Truffert,FRA,DF|MF,Rennes,18,2001,21.7,1064,1279,83.2,15992,4042,603,664,90.8,403,484,83.3,41,81,50.6,3,2.7,2.4,+0.3,21,55,18,11,77
563,Marvin Tshibuabua,FRA,DF,Saint-Étienne,18,2002,0.5,13,18,72.2,297,125,2,2,100.0,9,11,81.8,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0
564,Matthieu Udol,FRA,DF,Metz,24,1996,19.2,775,959,80.8,12133,4433,418,462,90.5,295,348,84.8,44,103,42.7,3,2.7,1.8,+0.3,23,35,16,10,58
565,Naomichi Ueda,JPN,DF,Nîmes,25,1994,7.9,287,373,76.9,6341,2293,64,74,86.5,173,193,89.6,46,100,46.0,0,0.3,0.3,-0.3,5,21,4,0,21
566,Lesley Ugochukwu,FRA,MF,Rennes,16,2004,0.7,36,38,94.7,652,144,11,12,91.7,21,21,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,1
567,Hwang Ui-jo,KOR,FW|MF,Bordeaux,27,1992,27.8,378,482,78.4,4871,509,257,294,87.4,98,123,79.7,5,13,38.5,3,2.7,1.8,+0.3,21,15,10,4,23
568,Antoine Valerio,FRA,MF,Nîmes,20,1999,0.8,15,18,83.3,250,92,7,7,100.0,7,8,87.5,1,3,33.3,0,0.2,0.1,-0.2,2,0,1,0,4
569,Marco Verratti,ITA,MF,Paris S-G,27,1992,16.6,1632,1792,91.1,23144,7243,932,980,95.1,511,553,92.4,91,131,69.5,2,2.4,2.9,-0.4,24,173,33,1,188
