Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
28,Jessy Moulin,FRA,GK,Saint-Étienne,34,1986,29.0,42,4,3,6,2,30.0,0.26,-10.0,-0.34,99,308,32.1,676,146,28.7,33.4,200,57.0,46.2,377,16,4.2,13,0.45,13.1
29,Paul Nardi,FRA,GK,Lorient,26,1994,23.0,43,4,0,3,0,33.6,0.27,-9.4,-0.41,92,320,28.8,435,109,42.1,36.7,197,69.5,51.4,288,10,3.5,17,0.74,15.1
30,Keylor Navas,CRC,GK,Paris S-G,33,1986,28.0,18,1,0,2,0,26.0,0.26,+8.0,+0.28,65,139,46.8,572,115,18.2,27.2,170,20.6,26.7,308,0,0.0,25,0.89,16.6
31,Jonas Omlin,SUI,GK,Montpellier,26,1994,29.7,51,11,0,4,2,49.2,0.25,+0.2,+0.01,199,454,43.8,737,175,39.9,35.5,246,65.0,48.8,442,24,5.4,16,0.54,13.4
32,Alexandre Oukidja,ALG,GK,Metz,32,1988,34.0,38,9,0,4,1,38.4,0.23,+1.4,+0.04,207,526,39.4,752,184,43.6,38.4,286,69.2,51.2,536,39,7.3,47,1.38,16.1
33,Yohann Pelé,FRA,GK,Marseille,37,1982,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.26,0,0,,20,7,0.0,17.2,3,0.0,18.3,12,0,0.0,1,1.00,12.0
34,Anthony Racioppi,SUI,GK,Dijon,21,1998,21.0,33,3,0,4,0,33.3,0.33,+0.3,+0.02,97,297,32.7,472,103,37.5,33.9,177,67.8,48.1,330,7,2.1,13,0.62,11.5
35,Predrag Rajković,SRB,GK,Reims,24,1995,36.5,49,4,0,7,1,49.9,0.28,+1.9,+0.05,192,640,30.0,1106,159,40.0,36.7,340,58.2,46.6,574,11,1.9,34,0.93,14.5
36,Baptiste Reynet,FRA,GK,Nîmes,29,1990,38.0,71,6,1,7,0,64.1,0.29,-6.9,-0.18,254,731,34.7,1287,148,41.2,36.1,304,66.1,47.1,600,17,2.8,41,1.08,16.1
37,Sergio Rico,ESP,GK,Paris S-G,26,1993,9.0,9,0,0,0,1,10.2,0.29,+2.2,+0.24,6,23,26.1,158,40,10.8,23.2,55,10.9,24.5,110,0,0.0,10,1.11,18.0
38,Romain Salin,FRA,GK,Rennes,36,1984,15.0,14,0,0,4,0,12.9,0.25,-1.1,-0.08,76,198,38.4,425,71,29.2,30.6,122,60.7,47.9,169,3,1.8,39,2.60,20.8
39,Matz Sels,BEL,GK,Strasbourg,28,1992,6.0,13,2,1,3,0,9.2,0.29,-3.8,-0.63,38,101,37.6,124,25,51.6,40.1,50,74.0,54.9,85,4,4.7,2,0.33,7.7
